جائیر	jair
نذیر	nazeer
خاورؔ	khawar
یکم	yakum
اگست	august
1953 ء	1953
کو	ko
لاہور	lahore
پاکستان	pakistan
میں	mein
پیدا	paida
ہوئے	huye
</s>	</s>
اور	aur
اس	is
سے	se
پہلے	pahle
تین	teen
سو	sau
پینتیس	paintees
اور	aur
اس	is
کے	ke
بعد	baad
تین	teen
سو	sau
سینتیس	saintees
بولا	bola
جاتا	jaata
ہے	hai
</s>	</s>
البیلا	albela
</s>	</s>
وہ	wo
لوگ	log
آنکھوں	aankhon
سے	se
اوجھل	ojhal
ہو	ho
گئے	gaye
ہیں	hain
</s>	</s>
جنہیں	jinhein
ہم	ham
دیکھے	dekh
کر	kar
جیتے	jeete
تھے	the
ناصر	nasir
</s>	</s>
وہ	wo
کب	kab
فورٹ	fort
ولیم	william
کالج	college
میں	mein
بھرتی	bharti
ہوئے	huye
اور	aur
کب	kab
تک	tak
منسلک	munsalik
رہے	rahe
اس	is
کے	ke
بارے	baare
میں	mein
معلومات	maaloomaat
موجود	maujood
نہیں	nahin
</s>	</s>
اپریل	april
اور	aur
مئی	may
میں	mein
ایک	ek
وسیع	wasee
کوشش	koshish
کی	ki
گئی	gayi
کہ	ke
کئی	kayi
با	baa
ذوق	zauq
زمروں	zumron
کو	ko
ابتدائی	ibtedayi
اور	aur
ثانوی	saanvi
اسکولوں	schoolon
یونیورسٹیوں	univercityon
کالجوں	collegon
پیشہ	pesha
ورانہ	warana
ناشرین	nashireen
اور	aur
عوام الناس	awamun naas
سے	se
مشغول	mashghool
کیا	kiya
جائے	jaye
جس	jis
کے	ke
لیے	liye
ریڈیو	radio
نشریات	nashriyaat
کا	ka
سہارا	sahara
لیا	liya
گیا	gaya
تھا	tha
</s>	</s>
اس	is
پروٹوکول	protocol
کو	ko
256	256
بٹ	bit
معیاری	miyari
انکرپشن	encryption
آر	r
ایس	s
اے	a
2048	2048
انکرپشن	encryption
اور	aur
ڈیفی	diffie
ہیل	hell
مین	man
سکیور	secure
کی	ki
ایکسچینج	exchange
کی	ki
بنیاد	buniyad
پر	par
تیار	tayyar
کیا	kiya
گیا	gaya
ہے	hai
</s>	</s>
سکینہ	sakina
آئیں	aayin
اور	aur
پوچھا	poochha
میرے	mere
چچا	chacha
کہاں	kahan
</s>	</s>
4 اپریل	april
1979ء	1979
کو	ko
بھٹو	bhutto
کو	ko
راولپنڈی	rawalpindi
جیل	jail
میں	mein
پھانسی	phaansi
دے	de
دی	di
گئی	gayi. 4
</s>	</s>
لوئیس	louis
چا	cha
کے	ke
ایک	ek
اور	aur
ناول	novel
میں	mein
بھی	bhi
چینگ	chang
پنگ	ping
ایک	ek
مختصر	mukhtasar
کردار	kirdaar
میں	mein
نظر	nazar
آتی	aati
ہے	hai
</s>	</s>
اگرچہ	agarche
وہ	wo
نیک	nek
خلیفہ	khalifa
تھا	tha
تا ہم	taaham
اس	us
نے	ne
آتے	aate
ہی	hi
ایسے	aise
ناقص	naaqis
اقدام	iqdaam
اٹھائے	uthaye
جس	jis
سے	se
اس	us
کی	ki
نااہلی	naa ahli
کا	ka
شہرہ	shuhra
ہو	ho
گیا	gaya
</s>	</s>
ایشلنڈ	ashland
پنسلوانیا	pennsylvania
</s>	</s>
اس	us
جنگ	jung
میں	mein
آنحضرت	aan hazrat
صلی اللہ	sallallahu
علیہ	alaihi
و	wa
آلہ	aalihi
وسلم	wasallam
بھی	bhi
شریک	shareek
ہوئے	huye
</s>	</s>
1876ء	1876 iswi
میں	mein
نیشنلسٹ	nationalist
انڈین	indian
ایسوسی ایشن	association
کے	ke
نام	naam
سے	se
ایک	ek
جماعت	jamaat
قائم	qaayem
کی	ki
</s>	</s>
وہ	wo
ٹالی وڈ	tollywood
کی	ki
ان	un
معدودے	maadoode
چند	chand
کامیاب	kamiyab
ترین	tareen
اداکاراؤں	adaakaaraon
میں	mein
سے	se
ایک	ek
ہے	hai
جنہوں	jinhon
نے	ne
بہت	bahut
ہی	hi
کم	kam
وقت	waqt
میں	mein
سو	sau
کروڑ	crore
روپے	rupaye
کے	ke
کلب	club
تک	tak
رسائی	rasaayi
حاصل	haasil
کر	kar
لی	li
</s>	</s>
یہ	ye
کائنات	kaayinat
اور	aur
زندگی	zindagi
کے	ke
بنیادی	buniyadi
مسئلہ	masla
اور	aur
اس	us
کے	ke
حل	hal
کے	ke
بارے	baare
میں	mein
سات	saat
نظریات	nazariyaat
ہیں	hain
</s>	</s>
یا	ya
ہمیشہ	hamesha
ہمیشہ	hamesha
کے	ke
لیے	liye
کھو	kho
دیں	dein
گے	ge
</s>	</s>
تقسیم	taqseem e
ہند	hind
کے	ke
بعد	baad
اس	us
مدرسہ	madrasa
کو	ko
لائل	layal
پور	pur
فیصل آباد	faisalabad
منتقل	muntaqil
کر	kar
دیا	diya
گیا	gaya
اور	aur
اب	ab
بھی	bhi
وہاں	wahaan
تعلیم	taaleem
کا	ka
سلسلہ	silsila
جاری	jaari
ہے	hai
</s>	</s>
اس	us
زمانہ	zamana
کے	ke
اکثر	aksar
مفتیان	muftiyaan
کو	ko
بھی	bhi
یہ	ye
توفیق	taufeeq
نہ	na
ہوئی	hui
ہوگی	hogi
</s>	</s>
خواجہ	khwaja
اللہ	allah
بخش	bakhsh
تونسوی	tonswi
</s>	</s>
انسکرپشن	inscription
آف	of
بنگال	bengal
میں	mein
لکھا	likha
ہے	hai
کہ	ki
مقبرہ	maqbarah
بہرام	bahram
سقا	saqqa
کے	ke
متولی	mutawalli
کے	ke
پاس	paas
ایک	ek
دِیوان	diwaan
تھا	tha
جسے	jise
وہ	wo
بہرام	bahram
سقا	saqqa
کا	ka
دِیوان	diwaan
بتلاتا	batlaata
تھا	tha
</s>	</s>
دریائے	dariaye
کنہار	kunhar
پاکستان	pakistan
کے	ke
صوبہ	sooba
خیبر	khyber
پختونخوا	pakhtunkhwa
کی	ki
وادی	waadi
ناران	naran
میں	mein
لولوسر	lulusar
جھیل	jheel
سے	se
شروع	shuroo
ہوتا	hota
ہے	hai
اور	aur
ملکہ	malka
پربت	parbat
جھیل	jheel
سیف الملوک	saiful malook
مکڑا	makda
چوٹی	choti
اور	aur
وادی	wadi
کاغان	kaghan
کا	ka
پانی	pani
سمیٹتا	sametta
ہوا	huya
دریائے	dariaye
جہلم	jehlum
سے	se
آ	aa
ملتا	milta
ہے	hai
</s>	</s>
انھیں	unhein
کمرے	kamre
کی	ki
بوسیدہ	bauseedah
چھتوں	chhaton
سے	se
ڈر	dar
نہیں	nahin
لگتا	lagta
</s>	</s>
اس	us
کی	ki
شادی	shadi
شہزادی	shahzadi
در	durre
شہوار	shahwaar
سے	se
ہوئی	hui
جو	jo
آخری	aakhri
عثمانی	usmani
خلیفہ	khaleefa
عبد الماجد	abdul majid
دوم	doyam
کی	ki
بیٹی	beti
تھی	thi
</s>	</s>
غزل	ghazal
کے	ke
بارے	baare
میں	mein
کہا	kaha
جاتا	jaata
ہے	hai
کہ	ki
اس	us
کا	ka
سب	sab
سے	se
بڑا	bada
نمائندہ	numainda
جس	jis
نے	ne
اس	us
کو	ko
باقاعدہ	baaqaida
رواج	riwaaj
دیا	diya
تھا	tha
</s>	</s>
یہ	ye
قدیم	qadeem
پاکستان	pakistan
کی	ki
کسی	kisi
مذہبی	mazhabi
رسم	rasm
کی	ki
عکاس	akkasi
ہے	hai
اور	aur
ہر	har
گز	giz
سمیر	sameer
چیز	cheez
نہیں	nahin
ہے	hai
</s>	</s>
بیٹا	beta
عبد اللہ	abdullah
ابن	ibn
علی	ali
—	-
میدان	maidan e
کربلا	karbala
میں	mein
شہید	shaheed
ہوئے	huye
</s>	</s>
آزادی	azadi
کے	ke
بعد	baad
ہجرت	hijrate
ثانیہ	saaniya
کے	ke
موقع	mauqe
پر	par
حبشہ	habsha
چلے	chale
گئے	gaye
</s>	</s>
سرکپ	sarkap
</s>	</s>
یہ	ye
خاص	khaas
وادی	waadi
سندھ	sindh
کی	ki
صفت	sifat
ہے	hai
</s>	</s>
غزل	ghazal
</s>	</s>
4)لائن	4)line
لاسز	lashes
یا	ya
کاپر	copper
لاسز	lashes
کم	kam
ہو	ho
جاتے	jaate
ہیں	hain
</s>	</s>
مصنف	musannif
کے	ke
قتل	qatl
کے	ke
بعد	baad
میر	mir
غلام	ghulam
علی	ali
آزاد	azad
بلگرامی	bilgrami
نے	ne
تقریباً	taqreeban
ایک	ek
سال	saal
کی	ki
جستجو	justaju
سے	se
اِس	is
مسودہ	maswada
ناتمام	naa-tamaam
کو	ko
تلاش	talash
کر	kar
لیا	liya
</s>	</s>
سیرت	seerat
طیبہ	tayyaba
عبد الخالق	abdul khaliq
توکلی،صفحہ29	tokli, safha 29
</s>	</s>
مسند	masnade
گل	gul
منزل	manzil
ِ	e
شبنم	shabnam
ہوئی	hui
</s>	</s>
13	13
دسمبر	december
2001ء	2001
کو	ko
لشکر	lashkare
طیبہ	taiba
اور	aur
جیش	jaishe
محمد	mohammad
کے	ke
دہشت	dahshat
گردوں	gardon
نے	ne
سنسد	sansad
بھون	bhawan
پر	par
حملہ	hamla
کر	kar
دیا	diya
جس	jis
میں	mein
سنسد	sansad
بھون	bhawan
کے	ke
نقصان	nuqsaan
کے	ke
علاوہ	ilawah
فوج	fauj
کے	ke
چھ	chhe
جوان	jawaan
اور	aur
ایک	ek
شہری	shahri
کی	ki
موت	maut
ہو	ho
گئی	gayi
تھی	thi
</s>	</s>
نوای	nawai
وطن	watan
روزنامہ	roznama
کوئٹہ	quetta
</s>	</s>
استعال	istemaal
میں	mein
نہایت	nihayat
سادہ	saadah
مگر	magar
ساتھ	sath
ساتھ	sath
بہت	bahut
طاقتور	taaqatwar
ہے	hai
</s>	</s>
21	21
جون	june
1606ء	1606
کو	ko
وزیراعظم	wazeer-e-aazam
سلطنت	sultanate
عثمانیہ	osmania
صوقلوزادے	soqlu-zaade
لالہ	lala
محمد	mohammad
پاشا	pasha
کی	ki
وفات	wafaat
پر	par
درویش	darwesh
محمد	mohammad
پاشا	pasha
کو	kw
وزیراعظم	wazeer-e-aazam
سلطنت	sultanate
عثمانیہ	osmania
مقرر	muqarrar
کر	kar
دیا	diya
گیا	gaya
</s>	</s>
قیصر	qaiser
نذیر	nazeer
خاورؔ	khawar
ایک	ek
منجھے	manjhe
ہوئے	huye
افسانہ	afsana
نگار	nigaar
انشاءپرداز	insha pardaaz
اور	aur
مترجم	mutarjim
ہیں	hain
</s>	</s>
اس	is
سے	se
پگٹ	pagat
نے	ne
یہ	ye
نتیجہ	nateeja
اخذ	akhaz
کیا	kiya
کہ	ki
شاید	shayad
ساڑھی	saari
نما	numa
کوئی	koi
لباس	libaas
پہنا	pahna
جاتا	jaata
تھا	tha
کہ	ki
دائیاں	daayan
بازو	baazu
ملبوس	malboos
تھا	tha
اور	aur
بائیاں	baayan
بازو	baazu
سارا	saara
یا	ya
آدھا	aadha
برہنہ	barhana
رہتا	rahta
تھا	tha
</s>	</s>
اس	is
منصوبے	mansoobe
کے	ke
نتیجے	nateeje
میں	mein
نیوجی	neoji
کا	ka
علاقہ	ilaaqa
مسلم	muslim
انداز	andaaz
کے	ke
تجارتی	tijaarati
علاقے	ilaaqe
میں	mein
تبدیل	tabdeel
ہو	ho
جائے	jaye
گا	ga
جس	jis
کا	ka
مرکز	markaz
یقینی	yaqeeni
طور	taur
پر	par
نیوجی	neoji
مسجد	masjid
ہوگی	hogi
</s>	</s>
مردوں	mardon
کی	ki
توبہ	tauba
سے	se
محروم	mahroom
صاف	saaf
اپنی	apni
شاگرد	shagirdi
حدیث	hadees
پر	par
فرقہ	firqa
ہوگی	hogi
اور	aur
جب	jab
اس	is
لڑکی	ladki
میں	mein
ایک	ek
نوجوان	naujawaan
مرد	mard
کی	ki
محبت	muhabbat
بھول	bhool
کیوں	kyon
صاف	saaf
ہو	ho
تقریبا	taqreeban
سودائی	saudayi
ہو	ho
گی	gi
جس	jis
کے	ke
بعد	baad
ہی	hi
اس	is
کے	ke
والدین	waalidain
نے	ne
اسے	use
مدرسے	madrase
سے	se
اٹھا	utha
لیا	liya
اس	is
پس	pas
منظر	manzar
میں	mein
صحافیوں	sahafiyon
نے	ne
چند	chand
اشعار	ash-aar
لکھے	likhe
جو	jo
مندرجہ	mandarja
ذیل	zail
ہیں	hain
</s>	</s>
دنیا	duniya
کے	ke
تمام	tamaam
ممالک	mamalik
کا	ka
جائزہ	jayeza
لے	le
لیں	lein
ان	un
تمام	tamaam
ممالک	mamaalik
کے	ke
انٹیلی جنٹس	intelligence
اداروں	idaaron
کے	ke
درمیان	darmiyaan
جو	jo
چند	chand
مشترکہ	mushtarka
پہلو	pahloo
ملیں	milen
گے	ge
ان	un
میں	mein
ایک	ek
اہم	aham
پہلو	pahloo
یہ	ye
ہے	hai
کہ	ki
ان	un
اداروں	idaaron
کو	ko
ان	un
ممالک	mamaalik
کی	ki
حکومتوں	hukoomaton
نے	ne
دفاعی	dafayi
مقاصد	maqaasid
کے	ke
لیے	liye
اور	aur
دشمنوں	dushmanon
کے	ke
خلاف	khilaaf
کارروائی	karrawayi
کرنے	karne
کے	ke
لیے	liye
قائم	qaayim
کیا	kiya
ہے	hai
مگراسرائیلی	magar israeli
ادارے	idaare
موساد	mossad
جس	jis
کا	ka
سرکاری	sarkaari
نام	naam
The	the
Instute	institute
For	for
ntelligence	intelligence
and	and
Specil	special
Opration	operation
ہے	hai
کاجائزہ	ka jayeza
لینے	lene
کے	ke
بعد	baad
کئی	kayi
طرح	tarah
کے	ke
حیرت	hairat
انگیز	angez
پہلو	pahlu
سامنے	saamne
آتے	aate
ہیں	hain
وہ	wo
یہ	ye
کہ	ki
اگرچے	agar-che
اس	us
وقت	waqt
موساد	mossad
کواسرائیل	ko israel
کے	ke
سراغرسانی	suragh rasaani
کے	ke
ادارے	idaare
کی	ki
حیثیت	haisiyat
حاصل	haasil
ہے	hai
مگر	magar
اس	us
کا	ka
قیام	qiyaam
ان	un
تمام	tamaam
پہلووں	pahlu
کے	ke
برعکس	bar-aks
ہے	hai
اور	aur
یہ	ye
دنیا	duniya
کاواحد	ka waahid
ادارہ	idaarah
ہے	hai
جو	jo
مسلمہ	musallima
طور	taur
پر	par
دہشت	dahshat
گردی	gardi
کی	ki
تنظیم	tanzeem
کی	ki
جانب	jaanib
سے	se
قائم	qayim
کیا	kiya
گیا	gaya
ہے	hai
اور	aur
جس	jis
کی	ki
سرگرمیوں	sargarmiyon
کو	ko
حکومت	hukoomat
نے	ne
ملک	mulk
کے	ke
قائم	qayim
ہو نے	hone
کے	ke
بعد	baad
تصدیق	tasdeeq
کرتے	karte
ہوئے	huye
ریاستی	riyasati
ادارے	idaare
کی	ki
شکل	shakl
دی	di
جب	jab
کے	ki
اس	us
کے	ke
قیام	qiyaam
کے	ke
وقت	waqt
دیگر	deegar
مما	mamaa
لک	lik
کے	ke
انٹیلی جنٹس	intelligence
اداروں	idaaron
کے	ke
بر خلاف	bar-khilaaf
ا س	us
ادارے	idaare
کو	ko
کیموفلاج	camouflage
کرنے	karne
کے	ke
لیے	liye
اس	is
کا	ka
نام	naam
اس	is
طرح	tarah
کا	ka
رکھا	rakha
گیا	gaya
کہ	ki
اس	is
کے	ke
نام	naam
کو	ko
دیکھ	dekh
کر	kar
کوئی	koi
بھی	bhi
اس	is
ادارے	idaare
کے	ke
بارے	baare
میں	mein
یہ	ye
گمان	gumaan
نہ	na
کرسکے	kar sake
کہ	ki
یہ	ye
سراغرسانی	suragh rasaani
کا	ka
کوئی	koi
ادارہ	idaarah
ہے	hai
جیسا	jaisa
کہ	ki
اس	is
نام	naam
The	the
Instute	institute
For	for
ntelligence	intelligence
and	and
Specil	special
Opration	operation
ادارہ	idaarah
برائے	barai
معلومات	maaloomaat
اور	aur
خصوصی	khusoosi
فرائض	faraiz
سے	se
ظاہر	zaahir
ہوتا	hota
ہے	hai
یہ	ye
نام	naam
رکھنے	rakhne
کی	ki
بنیادی	buniyadi
وجہ	wajah
موساد	mossad
کو	ko
دنیا	duniya
کی	kee
نظروں	nazron
سے	se
پوشیدہ	poshida
رکھنا	rakhna
تھا	tha
اسرائیلی	israeli
انٹیلی جنٹس	intelligence
ادارے	idaare
موساد	mossad
کے	ke
بارے	baare
میں	mein
دنیا	duniya
کو	ko
اس	us
وقت	waqt
معلوم	maaloom
ہوا	hua
جب	jab
کے	ki
اسرائیلی	israeli
پارلیمنٹ	parliament
میں	mein
ایک	ek
سوال	sawaal
کا	ka
جواب	jawaab
دیتے	dete
ہوئے	huye
اسرائیلی	israeli
وزیر	wazeer
اعظمبن	azambin
گوریال	goriyal
نے	ne
انکشاف	inkeshaaf
کیا	kiya
کہ	ki
موساد	mossad
کے	ke
نام	naam
سے	se
کوئی	koi
ادارہ	idaarah
کام	kaam
کر	kar
رہا	raha
ہے	hai
جس	jis
کا	ka
مقصد	maqsad
سراغرسانی	suraagh rasaani
کرنا	karna
ہے	hai
اس	is
انکشاف	inkeshaaf
کے	ke
بعد	baad
موساد	mossad
کے	ke
بارے	baare
میں	mein
ہر	har
طرح	tarah
کی	kee
خبر	khabar
کو	ko
خفیہ	khufiya
رکھنے	rakhne
کی	kee
کوشش	koshish
کی	kee
گئی	gayi
حتیٰ	hatta
کہ	ki
اسرائیلی	israeli
اخبارات	akhbaaraat
پر	par
بھی	bhi
اس	is
بارے	baare
میں	mein
مکمل	mukammal
طور	taur
پر	par
پابندی	paabandi
عائد	aayid
تھی	thi
کہ	ki
وہ	wo
اس	is
اہم	aham
اور	aur
خفیہ	khufiya
ادارے	idaare
کے	ke
بارے	baare
میں	mein
کسی	kisi
بھی	bhi
طرح	tarah
کی	kee
کوئی	koi
خبرشائع	khabar shaya
نہیں	nahin
کرسکتے	kar sakte
ہیں	hain
مگر	magar
اسرائیلی	israeli
پارلیمنٹ نیسٹ	parliament
KNESSEST)میں	knessest mein
موساد	mossad
کے	ke
بارے	baare
میں	mein
انکشاف	inkeshaaf
کے	ke
بعد	baad
اس	is
پابندی	paabandi
کا	ka
اگر	agar
چے	che
خاتمہ	khaatma
ہو	ho
گیا	gaya
مگر	magar
اس	is
کے	ke
باوجود	baawajood
موساد	mossad
کے	ke
بارے	baare
میں	mein
اسرائیلی	israeli
اخبارات	akhbaaraat
میں	mein
موساد	mossad
کے	ke
بارے	baare
میں	mein
کوئی	koi
بھی	bhi
خبر	khabar
شائع	shaya
نہیں	nahin
ہوتی	hoti
تھی	thi
1980	1980
میں	mein
ایک	ek
اخبار	akhbaar
کی	ki
ایک	ek
رپورٹ	report
میں	mein
جب	jab
موساد	mossad
کیاس	ke us
وقت	waqt
کے	ke
سربراہ	sarbaraah
کا	ka
نام	naam
شائع	shaya
ہو	ho
گیا	gaya
تو	to
اس	us
کا	ka
ایکیریڈیشن	accredation
کارڈ	card
ہی	hi
حکومت	hukoomat
نے	ne
ضبط	zabt
کر	kar
لیا	liya
جس	jis
رپورٹر	reporter
نے	ne
اس	us
خبر	khabar
کی	ki
رپورٹنگ	reporting
کی	kee
اس	us
کا	ka
صحافتی	sahafati
کارڈ	card
بھی	bhi
کینسل	cancel
کر	kar
دیا	diya
گیا	gaya
یہ	ye
بات	baat
واضح	waazih
رہے	rahe
کہ	ki
اسرائیل	israeli
کے	ke
دفاع	dafaa
انٹیلی جنٹس	intelligence
اور	aur
جوابی	jawaabi
حملوں	hamlon
کے	ke
لیے	liye
قائم	qayim
کیے	kiye
گئے	gaye
اداروں	idaaron
کی	kee
تعداد	taadaad
یوں	yoon
تو	to
بہت	bahut
ہے	hai
مگر	magar
بنیادی	buniyadi
طور	taur
پر	par
یہ	ye
تین	teen
اداروں	idaaron
موساد	mossad
امن	aman
اور	aur
شین	sheen
باتھ	bath
کا	ka
حصہ	hissa
ہی	hi
تصور	tasawwur
کیے	kiye
جاتے	jaate
ہیں	hain
جو	jo
کے	ki
اسرائیل	israel
کے	ke
دفاع	dafaa
کے	ke
لیے	liye
قائم	qayim
ہوئے	huye
ہیں	hain
دنیا	duniya
بھر	bhar
کے	ke
انٹیلی جنٹس	intelligence
اداروں	idaaron
امریکی	americi
ادارے	idaare
ایف	ef
آئی	aayi
اے	a
FIAاور	fia aur
CIA	cia
برطانوی	bartaanwi
ادارے	idaare
M16اور	m16 aur
M15	m15
اورسابقہ	aur saabqa
روسی	roosi
ادارے	idaare
KGB	kgb
اوراس	aur us
کی	kee
جگہ	jagah
لینے	lene
والے	waale
موجودہ	maujoodah
روسی	roosi
ادارے	idaare
ایف	ef
ایس	es
بی	bee
FSB	fsb
اور	aur
فرانس	france
کے	ke
انٹیلی جنٹس	intelligence
اداروں	idaaron
اور	aur
جرمنی	germany
کے	ke
سابقہ	saabqa
اور	aur
موجودہ	maujoodah
انٹیلی جنٹس	intelligence
اداروں	idaaron
کا	ka
اگر	agar
تاریخ	taarikh
کے	ke
حوالے	hawaale
سے	se
جائزہ	jaayeza
لیا	liya
جائے	jaye
تو	to
