ரேடியோ அதிர்வெண் முடுக்கிகள், துகள்கள் நேரடியாக முடுக்குகிறது.	Radio athirven mudikkigal, thugalkal neradiyaga mudukukirathu.
பெல்ஜியம் நாட்டின் பிரசெல்சு நகரில் மத்தியத் தொடருந்து நிலையத்தில் தாக்குதல் நடத்தப்பட்டது.	Belgium naattin brussels nagaril mathiya thodarunthu nilaiyathil thaakuthal nadathappattathu.
இருப்பினும் ஐந்து முதல்தர துடுப்பாட்டப் போட்டிகளில் கலந்து கொண்டுள்ளார்.	irupinum ainthu muthalthara thudupaatta potigalil kalanthu kondullaar.
முள்முருக்கம்பூ: சூதக கட்டு (மாத விலக்கு தடை) நீங்கும்.	mulmurukkampu: soothaga kattu (maadha vilakku thadai) neengum.
பட்டிருப்பு	pattiruppu
சில பொதுவான தேர்தல் வகைகள்:	sila podhuvaana therthal vagaikal:
இவையே இது நீந்த உதவுகின்றன, எனவே விரல் இலையின் நடு நரம்பு போல அமைந்துள்ளது, முக்குளிப்பான் குடிபெயராத/புலம்பெயராத சுமார் 23 செ.	ivaiye ithu neenga uthavukindrana, enavey viral ilaiyin nadu narambu pola amainthullathu, mukkulippan kudipeyaraatha/pulampeyaraatha sumaar 23.
இராமசாமியிடமிருந்து பிரிந்து போகும் தருணத்தை எதிர்பார்த்துக் காத்திருந்தவர்கள், ஜூலை 9, 1948 அன்று இராமசாமி, தன்னை விட 40 வயது இளையவரான மணியம்மையாரை மறுமணம் புரிந்ததைக் காரணம் காட்டி கட்சியிலிருந்து அண்ணாதுரைத் தலைமையில் விலகினர்	Ramasamiyidamirunthu pirinthu pogum tharunaththai yethirpaathu kaathirunthavargal, july 9, 1948 andru ramasamy, thannai vida 40 vayathu ilaiyavaraana maniyammaiyaarai marumanam purinthathai kaaranam kaatti katchiyilirunthu annadurai thalaimaiyil vilaginar.
அந்த மராத்தானில் அதிக எண்ணிக்கையில் பலர் கலந்துகொண்டனர்.	antha marathanil athiga ennikkaiyil palar kalanthukondanar.
இமய மலைத்தொடர், சீன-இந்திய எல்லையில் உள்ளது.	imaya malaithodar, china-india ellaiyil ullathu.
புறப்பொருள் வெண்பாமாலை வெட்சிப் படலத்தில் வரும் 20 துறைகளில் ஒன்றாக இதனைக் குறிப்பிடுகிறது.	purapporul venbamaalai vetchi padalathil varum 20 thuraikalil ondraka ithanai kuripidukirathu.
மேற்கிந்தியத் தீவுகளில் நடந்த 2010 பதுஅ உலக இருபது20 போட்டியில் பங்கேற்ற இந்தியத் துடுப்பாட்ட அணியின் அங்கத்தினராக தேர்ந்தெடுக்கப்பட்டார்.	Merkindhiya theevukalil nadantha 2010 ulaga irupathu20 pottiyil pangettra indhiya thaduppaatta aniyin angathinaraaga thernthedukkappattar.
ஆடி, தை இரு மாதங்களில் 108 பதார்தங்களுடன் பூசை செய்து பக்தர்களுக்கு வழங்கப்படுகிறது.	Aadi, Thai iru maanthangalil 108 patharthangaludan poojai seythu pakthargalukku vazhangappadukirathu.
அஸ்வின் சித்லே	Ashwin Sidhley
பிரான்சின் புதிய அரசியலமைப்பை ஏற்க மறுத்த ஒரேயொரு பிரெஞ்சுக் குடியேற்ற நாடு இதுவாகும்.	Francin puthiya arasiyalamaippai yerka maruththa oreyoru french kudiyettra naadu idhuvaagum.
2010 இல் வான்கூவரில் நடந்த குளிர்கால ஒலிம்பிக்சின் துவக்க விழாவில் ஒலிம்பிக் கொடியை ஏந்திச் செல்லும் 8 பேர்களில் ஒருவராகச் செல்லும் வாய்ப்பு பாக்சின் தாயாருக்குக் கிடைத்தது.	2010 il vaankooril nadantha kulirkaala olympicsin thoovakka vizhaavil olympic kodiyai yenthi sellum 8 porkalil oruvaraaga sellum vaaippu paaxin thaayaarukku kidaithathu.
குளத்தில் நீர் வற்றி விட்டால் வெகு தூரத்திலுள்ள மற்றொரு குளத்திற்கு பறந்து செல்லும்.	kulathil neer vattri vittal vegu thoorathilulla mattroru kulathirkku paranthu sellum.
இந்த ரயில்நிலையம் பிரெட்ரிக் வில்லியம் ஸ்டீவென்ஸ் என்ற ஆங்கில பொறியாளரால் வடிவமைக்கப்பட்டது.	intha rayilnilaiyam fedrick william stevens endra aangila poriyaalaraal vadivamaippattathu.
1931 ஆம் ஆண்டு அமெரிக்காவில் பன்னாட்டு அரிமா கழகத்தின் ஏற்பாட்டில் நடைபெற்ற மாநாட்டில் வெள்ளைப் பிரம்பு கண்பார்வை அற்றவர்களின் அடையாளச் சின்னம் எனப் பிரகடனம் செய்யப்பட்டதுடன் இதற்கான சட்ட அங்கீகாரமும் வழங்கப்பட்டது.	1931 aam aandu americavil pannaattu arima kazhagathin yerpaattil nadaipettra maanaattil vellai pirambu kanpaarvai attravargalin adaiyaala sinnam ena pirakadanam seyyappattathudan itharkaana satta angeekaaramum vazhangappattathu.
சன்னிதிக்குள் ஐயன் ஆதிகேசவ பெருமாள் அருகில் பரமசிவன் வீற்றிருப்பதையும் பக்தர்கள் காணலாம்.	sannathikkul ayyan aadhikesava perumaal arugil paramasivan veetruppathaiyum pakthargal kaanalam.
இவை தமிழில் நான்மறை என்றும் கூறப்படும்.	ivai thamizhil naamarai endru koorappadum.
இவரின் முதல் மனைவியான சாராவுக்கு பிறந்தவர் ஈசாக், இரண்டாம் மனைவியான ஆகாருக்கு பிறந்தவர் இஸ்மாயில்.	ivarin muthal manaiviyaana saaravukku piranthavar eezak, irandaam manaiviyaana aagarukku piranthavar ismayil.
இதன் வழியாக அவர் தம் மாட்சியை வெளிப்படுத்தினார்.	ithan vazhiyaga avar tham maatchiyai velippaduthinaar.
எப்படி உருவாக்குவது இந்த விதைப் பந்துகளை அனைவரும் அரிந்துகொள்ள வேண்டியது அவசியமாகும்.	eppaadi uruvaakuvathu intha vithai pandhukalai anaivarum arinthukolla vendiyathu avasiyamaagum.
வாக்கு மூலம்	vaakku moolam
செயற்கைக்கோள் தொலைக்காட்சிகளில் அரசுச் செய்திகளை ஒலிபரப்ப ஏற்பாடும் செய்தார்.	seyarkaikkole tholaikaatchikalil arasu seythikalai oliparappa yerpaadum seythaar.
ஆனாலும்கூட பெண்கள் தங்களின் பங்களிப்பையும் செய்து வருகிறார்கள்.	aanalumkuda pengal thangalin pangalippaiyum seythu varukirargal.
சுகான சுமைகள்	sugamaana sumaigal
முன்பின் அச்சுச் சுழற்சி குத்துச் சுழல்வு அல்லது உருள்வு (roll) எனப்படும்.	munpin achu suzharchi kuththu suzhalvu allathu urulvu (roll) enappadum.
மேற்பரப்பில் இருந்து குகைக்குள் ஊடுருவும் நீர்க்கசிவானது, குகையின் வெப்பநிலை உறைநிலைக்கு கீழே இருக்குமானால் தரையில் சேகரமாகி புற்றுப்பாறையாக உருவாகிறது.	merparappapil irunthu kugaikul ooduruvum neerkasivaanathu, kugaiyin veppanilai urainilaikku keeley irrukumaanaal tharaiyil sekaramaagi puttrupaathaiyaga uruvaagirathu.
ஒரு மத்திய பவர் இயந்திர தொகுப்பைப் பயன்படுத்தி பத்தாண்டுகளுக்குள் பல நகரங்கள் லைட்டிங் அமைப்புகளைக் கொண்டிருக்கும், இந்த பவர் பிளாண்டுகள் பல்வேறு வாடிக்கையாளர்களுக்கு மின்சார கடத்து லைன்கள் மூலம் மின்சாரத்தை வழங்கின.	oru maththiya power iyandhira thoguppai payanpaduthi paththaandukalukkul pala nagarangal lighting amaippukalai kondirukkum, intha power pilaandugal palveru vaadikaiyaalargalukku minsaara kadathu linegal moolam minsaarathai vazhangina.
இக்கொள்கை ஆரியர் வருகைக்கு முன்னர் சிந்துவெளி உள்ளிட்ட இந்தியாவில் இருந்த பழங்குடி மக்களின் கொள்கை என்பதை இந்தியாவில் தோன்றிய சமண, பௌத்த மதக் கோட்பாடுகளால் அறியலாம்.	ikkolkai aariyar varugaikku munnar sinthuveli ullitta indhiyaavil iruntha palangudi makkalin kolkai enpathai indhiyavil thondriya samana, boutha, matha kotpaadugalal ariyalaam.
பின்னர் இவ்வளாகம் அண்ணா பல்கலைக்கழகம் ஆயிற்று.	pinnar ivvalagam Anna palkalaikkalazhagam aayittru.
பெண் உயிரிகள் முட்டையிடக் கூடியன.	pen uyirgal muttaiyida koodina.
சிறுமிகளை விட சிறிதளவே சிறுவர்கள் பிறக்கின்றனர் (அமெரிக்காவில் விகிதாச்சாரம் சுமார் 105 சிறுவர்களுக்கும் 100 சிறுமிகள் என்ற விகிதத்தில்)ஆனால் சிறுமிகள் சிறுவர்களை விட குறைவாகவே சிறு வயதில் இறக்கச் செய்கின்றனர்.	Sirumigalai vida sirithalavu siruvargal parakkindranar (americavil vigithaachaaram sumaar 105 siruvargalukkum 100 sirumigal endra vigithathil)aanaal sirumigal siruvargalai vida kuraivaaga siru vayathil irakka seygirargal.
டூயட்	Duet
முகில்வாணன் (முகில்வாணன் இராசையா, மட்டக்களப்பு, இலங்கை) ஈழத்து தமிழ் கவிஞர்.	mugilvaanan (mugivaanan raasaiyaa, mattakkalappu, ilangai) eezhaththu thamizh kavingar.
வெண்சபதம் செய்வோம் வெடிகளென ஆவோம்	Vensabatham seivom vedigalena aavom
நீதிபதி ஜான் மைக்கேல் டி'குன்ஹாவின் தீர்ப்பில் உள்ள விபரங்களில் சில.	neethipathi john michael d'kunhavin theerpil ulla viparangalil sila.
நைநீடால் வங்கி லி.	Nainital vangi limited.
கையால் வருடுவதை ஏற்கிறது.	kaiyaal varuduvathai yerkirathu.
உச்ச நீதிமன்றம் இவர்கள் கைது தொடர்பாக அரசிடம் பல கேள்விகளை எழுப்பியதுடன், அவர்களைச் சிறையில் அடைக்ககாமல், வீட்டுக் காவலில் வைத்து விசாரிக்க உத்தரவிட்டது.	Ucha neethimandram ivargal kaithu thodarbaaga arasidam pala kelvigalai ezhupiyathudan, avarkalai siraiyil adaikaamal, veettu kaavalil vaithu visarikka uththaravittathu.
இரண்டு திணிவுடன் , மூன்று சுருள்விற்களை ஒரு மையப்புள்ளியில் பொருத்தினால் ஏற்படும் அலைவுகள் இணை அலைவுகள் ஆகும் .	irandu thinivudan , moondru soorulvirkalai oru maiyappulliyil poruthinaal yerpadum alaivugal inai alaivugal aagum .
அவரின் ஆட்சி காலத்தில் இந்தி கட்டாய மொழியாகப் பள்ளிகளில் அறிமுகப்படுத்தப்பட்டது.	avarin aatchi kaalathil indhi kattaya mozhiyaaga pallikalil arimugappaduthappattathu.
இவர் 1987-ஆம் ஆண்டின் பிப்பிரவரி நான்காம் நாளில் பிறந்தார்.	ivar 1987-aam aandin february naangaam naalil piranthaar.
தத்துவரூபம், ஆன்மரூபம், சிவரூபம் என்னும் படிநிலைகள் ஒவ்வொன்றும் உருவம், சொரூபம், சுபாவம், விசேடம், வியாத்தி, வியாபகம், குணம், வன்னம் – என்னும் எட்டாகப் பாகுபாடு செய்யப்பட்டுள்ளன.	thathuvaroobam, aanmaroobam, sivaroobam ennum padinilaigal ovondrum uruvam, soroobam, subaavam, viseydam, viyaththi, viyabagam, kunam, vannam - ennum ettaka paagupaadu seyyappattullana.
1947 இந்திய பாகிஸ்தான் போரின் போது இந்தக் கணவாயானது பாகிஸ்தானால் கைப்பற்றப்பட்டது.	1947 indhiya paakisthaan porin podhu indha kanavaayaanathu paakisthaanaal kaippattrappattathu.
கரையோரப் பகுதிகளைக் கைப்பற்ற உதவியமைக்காக செனோவா, வெனிசு, பீசா ஆகிய நகரங்கள் சிலுவை நாடுகளின் வணிக சிறப்புரிமையைப் பெற்றன.	karaiyora paguthikalai kaippattra udhaviyamaikka senova, venisu, peesa aagiya nagarangal siluvai naadukalil vaniga sirapurimaiyai pettrana.
சாரா தட்டில்	saara thattil
இவ்வளாகத்தில் இதற்கான மராமத்து வேலைகள் நடக்கின்றன.	ivvalagathil itharkaana maamaraththu velaigal nadakkindrana.
பழங்கால மற்றும் இடைக்கால ஐரோப்பாவில் கற்பூரம் இனிப்புக்களில் உள்ளீட்டுப் பொருளாக பயன்பட்டது.	pazhangaala maattrum idaikkaala eiroppavil karpuram inippukkalil ulleettu porulaaga payanpattathu.
எளிதில் பணமாதலின் மற்றொரு நேர்த்தியான விளக்கமாக இருப்பது, இறுதியாக நிறைவேற்றப்பட்ட விலைக்கு இணையாகவே அடுத்த வர்த்தகமும் நிறைவேற்றப்படும் என்னும் சாத்தியக்கூறு.	elithil panamaathalin mattroru nerthiyaana vilakkamaaga irupathu, iruthiyaaga niraivetrappatta vilaikku inaiyaagavey adutha varthakamum niraivetrappadum ennum saathiyakooru.
திருவெம்பா	thiruvenba
திசைதிரிந்து தெற்கேகினும்	thisaithirinthu therkethinum
எல்சா வான் தியேன்	elsa vaan theyone
பறவைகளின் எண்ணிக்கை குறித்து அரசின் அதிகாரப்பூர்வ குறிப்பு	paraivaigalin ennikkai kurithu arasin athigarapoorva kurippu
1911இல் நடந்த தர்பாருக்கு அனைத்து மன்னரரசர்களும் அவைக்கு வந்திருந்தனர்.	1911yil nadantha tharpaarukku anaithu mannararasarkalum avaikku vanthirunthanar.
கிறிசுடோபர் விருது	christoper viruthu.
உலகிலேயே மிக அதிக சிற்பங்களைக் கொண்டுள்ள இதற்கு ஆண்டுதோறும் 1.4 கோடி மக்கள் வருகை தருகின்றனர்.	Ulagilaeye miga athika sirpangkalai kondululla itharku aanduthorum 1.4 kodi makkal varugai tharukindranar.
நிதிப் பற்றாக்குறைகள் காலம்கடந்து கண்டறியப்பட்டால் மற்றும் நிதிகள் போதாததாக இருந்தால், நிறுவன முதலீடுகளை வழங்க வங்கிகள் நிராகரிக்கலாம் மற்றும் இதன் விளைவாக திவாலாவாக ஆவதிலிருந்து தப்பிக்க முடியாது.	Nithi patraakuraikal kaaalamkadanthu kandariyapattal matrum nathikal pothaathathaaka irunthal, niruvana muthalidukalai vazhanga vangikal niraakarikalam matrum ithan vilaivaaka thivaalaaga aavathilirunthu thapika mudiyathu.
மேற்கு ஆபிரிக்காவில் எபோலா நோய்ப் பரவல், 2014: நோய்த் தடுப்புக்காக சீனா மேலும் 232 இராணுவ மருத்துவப் பணியாளர்களை மேற்கு ஆப்பிரிக்காவிற்கு அனுப்பியது (ஏபி)	Maerku Africavil Ebola noi paraval, 2014: Noi thadupukaaga china melum 232 raanuva maruththuva paniyaalarkalai merku Africavirku anupiyathu (AB)
ஏ.-இல் ஒரு கூடைப்பந்து அணியாகும்.	A-il oru kootaippanthu aniyaagum.
பெண்கள் விடுதலை முன்னணி என்பது தமிழ்நாட்டில் இயங்கும் ஒர் இடதுசாரி அமைப்பின் பெண்கள் விடுதலைக்கான அமைப்பாகும்.	Penkal viduthalai munnani enbathu tamilnaatil iyankum oor idathusaari amaipin penkal viduthalaikaana amaipaagum.
தாயகத்தில் இருக்கும் மக்களுடன் தொடர்புகளை பேணுவதிலும், தேவையேற்படின் உதவிகளை பரிமாறி கொள்வதற்க்கும் இவ் ஒன்றியங்கள் வழிசெய்கின்றன.	Thaayakathil irukum makkaludan thodarpukalai penuvathilum theevaiyerpadin uthavikalaai parimaari kolvatharkum ivvondriyangkal vazhi seykindrana.
சாரா பிரான்சிசு வைட்டிங்	Saara Fransisu waiting
இந்நகரம் பதின்மூன்றாம் நூற்றாண்டில் (கி.பி 1254-91) வாழ்ந்த மூன்றாம் நரசிம்மன் என்ற மன்னனின் தளபதியான (தண்டநாயக்கா) சோமா என்பவரால் கட்டப்பட்டது.	Innagarm pathimoondram nootraandil (ki.pi 1254-91) vaaazhntha moondram narasimman endra mannanin thalapathiyaana (thandanaayakkaa) soma enbavaraala kattapatathu.
2006 ஆம் ஆண்டில் இடம்பெற்ற லெபனான் போரின் போது, இவர், தாரிக் அலி, ஜான் பர்கர், நோம் சொம்ஸ்கி, எடுவர்டோ கலியானோ, நவோமி கிளயேன், ஹரோல்ட் பின்ட்டர், அருந்ததி ராய், ஹோவார்ட் சின் ஆகியோடுடன் சேர்ந்து அறிக்கையொன்றில் கையெழுத்து இட்டார்.	2006 aam aandil idampetra lebaban porin pothu, ivar, thaarik ali, John parkar, Nom somsky, edwardo kaliano, Navomi kilayen, harold pinter, Arunthathi roy, hovard sin aakiyorudan sernthu arikaiyondril kaiyezhuthu ittar.
வெளிக்கோடுகளின் மாறுபாட்டினால் பார்வைக் குழப்பம் உண்டாவதாக கிரைய்க்-ஓ பிரியான் கார்ன்ஸ்வீட் மாயத்தோற்றம் உரைக்கிறது.	Velikoodukalin maarupaatinaal paarvai kushapam undaavathaaka Krayak-o piriyaan kaarnsvit maayathotram uraikirathu.
