கிடைக்கோடுகளின் முனைகள் இருபுறமும் குத்துக் கோடுகளால் இணைக்கப்பட்டிருக்கும்.	6	kidaikodukalin munaigal irupuramum kuthuk kodukalal inaikkappattirukum.	6			
உலகம் முழுதுமாக மொத்தம் 16.3 மில்லியன் மக்கள் இச்சபையின் உறுப்பினர்களாக உள்ளனர்.	9	Ulagam muzhuvathum moththam 16.3 million makkal echabaiyin uripinarkalaga ullanar.	9			
நாட்டியதாரா	1	Naatiyathara	1			
எனவே கண்டல் தாவரங்களில் வேரிழையங்களுக்கு ஆக்சிசன் வழங்குவதற்காக மூச்சு வேர்கள் கூர்ப்படைந்துள்ளன.	9	enave kandal thaavarangalil verizhaiyangalukku oxygen vazhanguvatharkkaga moochu vergal koorppadaithullana.	9			
இளம் வயதிலிருந்தே இலக்கியத்தில் ஆர்வம் காட்டினார், கிரேம் மற்றும் ரோமன் தொன்மங்களைப் படித்தார், கிரிம் சகோதரர்களின் கதைகளைப் படித்ததால் இவர் பிற்காலத்தில் ஐரோப்பாவுடன் இணைந்தார்.	18	elam vayathilirunthey ilakiyathil aarvam kaatinaar, kirekkam mattrum roman thonmangalai padiththaar, kirim sagothararkalin kathaikalai padiththathaal ivar pikaalaththil ayropavudan inainthaar.	18			
பன்னாட்டுச் செலாவணி அமைப்பை கட்டுப்படுத்த வேண்டிய விதிகள், அமைப்புகள் மற்றும் செயல்முறைகளை நிறுவிட பிரெட்டன் வுட்சு திட்டவியலாளர்கள், தற்போது உலக வங்கிக்	16	Pannaattu selavaani amaippai kattuppadutha vendiya vidhigal, amaipugal mattrum seyalmuraigalai niruvida britain utsu thittaviyalaalargal, tharpothu ulaga vangi	16	வுட்சு (உச்சு).		
குழுமத்தின் அங்கங்களாக உள்ள, பன்னாட்டு நாணய நிதியம் (IMF) மற்றும் பன்னாட்டு புனரமைப்பு மற்றும் மேம்பாட்டு வங்கி (IBRD) ஆகியவறை உருவாக்கினர்.	16	kuzhumathin angangalaka ulla pannaattu naanaya nidhiyam (IMF) mattrum pannaattu punaramaippu mattrum mempaatu vangi (IBRD) aagiyavattrai uruvaakinaar.	16			
உலகமயமாதலின் பல அம்சங்களுக்கு அவர் தெரிவித்த எதிர்ப்பு அவரை சர்ச்சைக்குரிய ஒரு நபராக்கியுள்ளது.	10	Ulagamayamathalin pala amsangalukku avar therivitha ethirppu avarai charchaikkuriya oru nabarakiyullathu.	10			
பணம் வாங்குவதில் ஒழுங்குமுறை அல்லது இந்திய அரசாங்கத்தினால் கொடுக்கப்பட்ட பொறுப்புறுதி ஏதேனும்.	9	Panam vaanguvathil ozhungumurai allathu indhiya arasaangathinaal kodukkappatta porupuruthi yetheynum.	9			
தன்னா "தோஸ்தி: பிரன்ட்ஸ் பாரெவெர்" என்ற பாலிவுட் படத்தில் "நந்தினி தப்பார் "என்ற பாத்திரத்தில் டிசம்பர் 2005இல் அறிமுகமானார்.	14	Tanna "Dosti: Friends Forever" endra boolywood padathil "Nandhini thabaar" endra paathirathil december 2005yil arimugamaanar.	14	தப்பார் (தபார்)		
இவனுக்குப் பின் இவனுடைய மகனான சந்தமுகன் ஆட்சிபீடம் ஏறினான்.	7	Ivanukku pin ivanudaiya maganaana santhamugan aatchipeedam yerinaan.	7			
நாடக முறையில் கற்பித்தல்	3	naadaga muraiyil karpithal	3			
காற்று மாசுபாட்டை பூமிக்கு மிக அருகில் புகைப்பனி வைத்திருப்பதால் காற்றில் நச்சுத்தன்மை அதிகமாகிறது.	10	kaattru maasupaattai bumikki miga arugil puthaippini vaithiruppathaal kaattril natchuthanmai athimagirathu.	10			
முதன்முதலாக கதுப்பு-மீன் துடுப்புக்களைக் கொண்ட மீன்களும் எழும்புகளைக் கொண்ட மீன்களும் கூர்வடைந்தன.	9	muthanmuthalaga kathuppu-meen thuduppukalai konda meenkalum ezhumpukalai konda meengalum koorvadaithana.	9			
இது அமெரிக்கவின் நேவி சீல்ஸ் மற்றும் பிரித்தானியாவின் சிறப்பு படகு சேவையுடனும் ஒப்பிடப்படுகின்றது.	10	ithu americavin neavy seals mattrum pirithaaniyavin sirappu padaku sevaiyudanum oppidappadukindrathu.	10	அமெரிக்கவின் (அமெரிக்கா)		
கத்தோலிக்க சீர்திருத்தம் 16ஆம் நூற்றாண்டில் நிகழ்ந்தபோது கிறித்தவக் கலையும் வளர்ந்தது.	8	Catholikka seerthirutham 16aam nootraandil nizhalnthapothu christhuva kalaiyum valarnthathu.	8	கிறித்தவக் (கிறிஸ்த்துவக்)		
இப்படத்தில் மூன்று பாடல்கள் உள்ளன.	4	ippadathil moondru paadalkal ullana.	4			
கிராமப்புரங்களில் மரங்களை நடுவதற்கும், அவற்றைப் பாதுகாப்பதற்கும் கூட்டுறவுச் சங்கங்கள் ஏற்படுத்தப்பட்டன.	8	kiramapuragalil marangalai naduvatharkum, avattari paathukkapatharkum kootruravu sangankal yerpaduthappattana.	8			
ஜான் மிசெல் தான் முதன்முதலில் 1767 ஆம் ஆண்டில் இரட்டை நட்சத்திரங்கள் ஒன்றுடன் ஒன்று தொடர்புபட்டவையாக இருக்கலாம் என்று வாதிட்டார்.	15	John misel than muthanmuthalil 1767 aam aandil irattai natchathirangal ondrudan ondru thodarbudaiyavaiyaga irukkalam endru vaadhittar.	15	தொடர்புபட்டவையாக (தொடர்புடையவையாக)		
மோல் என்னும் உடலிலுள்ள மறுவைக் குறிக்கும். உடலில் முள் போல் உள்ளமையால் மோல் எனப்பட்டது.	11	Mole enbathu udalil ulla maruvai. Udalil mul pole ullamaiyaal mole enappattathu.	11	என்னும் (என்பது)		
மூர்க்கமான இவை தூண்டப்பட்டால் கொட்டும்.	4	moorkamaana ivai thoondappattal kottum.	4			
கிரேக்கக் கட்டிடக்கலையில் மூன்று வகையான ஒழுங்குகள் பயன்பாட்டில் இருந்தன.	7	Greeka kattidakkalaiyil moondru vaigaiyaana olungukkal payanpaatil irundhana.	7			
இவ்வாறு, தமது இருப்பு நிலை அறிக்கைகள் சிறந்து காணப்படுவதற்காக அவர்கள் அதிகக் கடன் வழங்கவும், அதனால் விலைகள் உயர, அதன் காரணமாக மேலும் அதிகமாகக் கடன்களை வழங்கலாயினர்.	20	ivvaaru, thamathu iruppu nilai arikaigal siranthu kaanappaduvatharkaga avargal athiga kadan vazhangavum, athanaal vilaikal uyara, athan kaaranamaga melum athigamaka kadankalai vazhangalayinar.	20			
மேலும், அதே சூழ்நிலைச் சிற்றினத்தைச் சார்ந்த சூழ்நிலை வகைகளுடன், வளமான கலப்பினங்களை உண்டாக்குபவையாகும்.	10	melum, athey soolnilai sitrinaththai saarntha soolnilai vagaikaludan, valamana kalapinangalai undakupavaiyaagum.	10			
இந்த இழப்பு உள்ளிருக்கும் நோய் காரணமாக அறியாமலே ஏற்படலாம்; அல்லது தனது உடற் பருமனைக் குறைக்க மேற்கொள்ளும் முயற்சிகளால் ளள	15	intha izhappu ullirukkum noi kaaranamaga ariyamalaeye yerpadalaam; allathu thanathu udar parumanai kuraikka merkollum muyarchikalal	14	ளள - This has no meaning		
புதிதாய் பிறந்த குஞ்சுகளிலும், இளம் பறவைகளிலும் இவ்வாறான துளையைக் காண இயலாது, எனினும் அவற்றின் மேநிறம் பெரியபறவைகளையொத்தே இருக்கும்.	14	puthithaai pirantha kunjinkalilum, ilam paravaikalilum ivvaarana thulaiyai kaana iyalaathu, eninum avatrin meniram periya paravaikalaiyothey irukkum.	15	பெரிய பறவைகளையொத்தே - these two are separate words		
இருந்தாலும் அவர்கள் பணிக்கு சென்றால், குறைவான ஊதியம்தான் பெறமுடிகிறது.	7	irunthaalum avarkal panikku sendral, kuraivaana oothiyamthaan peramudiyum.	7			
ஜூன் 22 ஆம் தேதி மொண்டிரியலை அடைந்த பாக்ஸ் தனது 8000 கிமீ தூர மொத்தப் பயணத்தில் மூன்றிலொரு பங்கைக் கடந்திருந்தார்.	16	June 22 aam theythi mondiriyalai adaintha box thanathu 8000 kilometer thoora moththa payanathil moondriloru pangai kandanthirunthaar.	16			
இதை வாங்கியவர் தான் தீர்மானிக்கும் ஒரு நேரத்திலும், வேலை நிபந்தனைகளின்கீழும் பயன்படுத்துகிறார் (பொதுவாக, இதை அவர் பயன்படுத்தியபின் அதற்கான விலையைச் செலுத்துகிறார்).	16	ithai vaangiyavar thaan theermaanikum oru nerathilum, velai nipanthanaikalinkeelum payanpaduthukirar (pothuvaaka, ithai avar payanpaduthiyapin atharkaana vilaiyai seluthukiraar).	16			
இந்த புழுக்கள், குடலில் செரித்த உணவை உட்கொண்டு உடல் வளர்ச்சிக்குத் தடை ஏற்படுத்துகின்றன.	10	intha pulukkal, kudalil seritha unavai utkondu udal valarchikku thadai yerpaduthukindrana.	10			
பெல்ஜியம் நாட்டின் பிரசெல்சு நகரில் மத்தியத் தொடருந்து நிலையத்தில் தாக்குதல் நடத்தப்பட்டது.	9	Belgium naattin brussels nagaril mathiya thodarunthu nilaiyathil thaakuthal nadathappattathu.	9			
இருப்பினும் ஐந்து முதல்தர துடுப்பாட்டப் போட்டிகளில் கலந்து கொண்டுள்ளார்.	7	irupinum ainthu muthalthara thudupaatta potigalil kalanthu kondullaar.	7			
முள்முருக்கம்பூ: சூதக கட்டு (மாத விலக்கு தடை) நீங்கும்.	7	mulmurukkampu: soothaga kattu (maadha vilakku thadai) neengum.	7			
பட்டிருப்பு	1	pattiruppu	1			
சில பொதுவான தேர்தல் வகைகள்:	4	sila podhuvaana therthal vagaikal:	4			
இவையே இது நீந்த உதவுகின்றன, எனவே விரல் இலையின் நடு நரம்பு போல அமைந்துள்ளது, முக்குளிப்பான் குடிபெயராத/புலம்பெயராத சுமார் 23 செ.	16	ivaiye ithu neenga uthavukindrana, enavey viral ilaiyin nadu narambu pola amainthullathu, mukkulippan kudipeyaraatha/pulampeyaraatha sumaar 23.	15	செ - single does not means anything		
இராமசாமியிடமிருந்து பிரிந்து போகும் தருணத்தை எதிர்பார்த்துக் காத்திருந்தவர்கள், ஜூலை 9, 1948 அன்று இராமசாமி, தன்னை விட 40 வயது இளையவரான மணியம்மையாரை மறுமணம் புரிந்ததைக் காரணம் காட்டி கட்சியிலிருந்து அண்ணாதுரைத் தலைமையில் விலகினர்	25	Ramasamiyidamirunthu pirinthu pogum tharunaththai yethirpaathu kaathirunthavargal, july 9, 1948 andru ramasamy, thannai vida 40 vayathu ilaiyavaraana maniyammaiyaarai marumanam purinthathai kaaranam kaatti katchiyilirunthu annadurai thalaimaiyil vilaginar.	25			
அந்த மராத்தானில் அதிக எண்ணிக்கையில் பலர் கலந்துகொண்டனர்.	6	antha marathanil athiga ennikkaiyil palar kalanthukondanar.	6			
இமய மலைத்தொடர், சீன-இந்திய எல்லையில் உள்ளது.	5	imaya malaithodar, china-india ellaiyil ullathu.	5			
புறப்பொருள் வெண்பாமாலை வெட்சிப் படலத்தில் வரும் 20 துறைகளில் ஒன்றாக இதனைக் குறிப்பிடுகிறது.	10	purapporul venbamaalai vetchi padalathil varum 20 thuraikalil ondraka ithanai kuripidukirathu.	10			
மேற்கிந்தியத் தீவுகளில் நடந்த 2010 பதுஅ உலக இருபது20 போட்டியில் பங்கேற்ற இந்தியத் துடுப்பாட்ட அணியின் அங்கத்தினராக தேர்ந்தெடுக்கப்பட்டார்.	14	Merkindhiya theevukalil nadantha 2010 ulaga irupathu20 pottiyil pangettra indhiya thaduppaatta aniyin angathinaraaga thernthedukkappattar.	13	பதுஅ - This has no Meaning துடுப்பாட்ட (தடுப்பாட்ட)		
ஆடி, தை இரு மாதங்களில் 108 பதார்தங்களுடன் பூசை செய்து பக்தர்களுக்கு வழங்கப்படுகிறது.	10	Aadi, Thai iru maanthangalil 108 patharthangaludan poojai seythu pakthargalukku vazhangappadukirathu.	10			
அஸ்வின் சித்லே	2	Ashwin Sidhley	2			
பிரான்சின் புதிய அரசியலமைப்பை ஏற்க மறுத்த ஒரேயொரு பிரெஞ்சுக் குடியேற்ற நாடு இதுவாகும்.	10	Francin puthiya arasiyalamaippai yerka maruththa oreyoru french kudiyettra naadu idhuvaagum.	10			
2010 இல் வான்கூவரில் நடந்த குளிர்கால ஒலிம்பிக்சின் துவக்க விழாவில் ஒலிம்பிக் கொடியை ஏந்திச் செல்லும் 8 பேர்களில் ஒருவராகச் செல்லும் வாய்ப்பு பாக்சின் தாயாருக்குக் கிடைத்தது.	20	2010 il vaankooril nadantha kulirkaala olympicsin thoovakka vizhaavil olympic kodiyai yenthi sellum 8 porkalil oruvaraaga sellum vaaippu paaxin thaayaarukku kidaithathu.	20			
குளத்தில் நீர் வற்றி விட்டால் வெகு தூரத்திலுள்ள மற்றொரு குளத்திற்கு பறந்து செல்லும்.	10	kulathil neer vattri vittal vegu thoorathilulla mattroru kulathirkku paranthu sellum.	10			
இந்த ரயில்நிலையம் பிரெட்ரிக் வில்லியம் ஸ்டீவென்ஸ் என்ற ஆங்கில பொறியாளரால் வடிவமைக்கப்பட்டது.	9	intha rayilnilaiyam fedrick william stevens endra aangila poriyaalaraal vadivamaippattathu.	9			
1931 ஆம் ஆண்டு அமெரிக்காவில் பன்னாட்டு அரிமா கழகத்தின் ஏற்பாட்டில் நடைபெற்ற மாநாட்டில் வெள்ளைப் பிரம்பு கண்பார்வை அற்றவர்களின் அடையாளச் சின்னம் எனப் பிரகடனம் செய்யப்பட்டதுடன் இதற்கான சட்ட அங்கீகாரமும் வழங்கப்பட்டது.	23	1931 aam aandu americavil pannaattu arima kazhagathin yerpaattil nadaipettra maanaattil vellai pirambu kanpaarvai attravargalin adaiyaala sinnam ena pirakadanam seyyappattathudan itharkaana satta angeekaaramum vazhangappattathu.	23			
சன்னிதிக்குள் ஐயன் ஆதிகேசவ பெருமாள் அருகில் பரமசிவன் வீற்றிருப்பதையும் பக்தர்கள் காணலாம்.	9	sannathikkul ayyan aadhikesava perumaal arugil paramasivan veetruppathaiyum pakthargal kaanalam.	9	ஐயன் (ஐய்யன்)		
இவை தமிழில் நான்மறை என்றும் கூறப்படும்.	5	ivai thamizhil naamarai endru koorappadum.	5			
இவரின் முதல் மனைவியான சாராவுக்கு பிறந்தவர் ஈசாக், இரண்டாம் மனைவியான ஆகாருக்கு பிறந்தவர் இஸ்மாயில்.	11	ivarin muthal manaiviyaana saaravukku piranthavar eezak, irandaam manaiviyaana aagarukku piranthavar ismayil.	11			
இதன் வழியாக அவர் தம் மாட்சியை வெளிப்படுத்தினார்.	6	ithan vazhiyaga avar tham maatchiyai velippaduthinaar.	6			
எப்படி உருவாக்குவது இந்த விதைப் பந்துகளை அனைவரும் அரிந்துகொள்ள வேண்டியது அவசியமாகும்.	9	eppaadi uruvaakuvathu intha vithai pandhukalai anaivarum arinthukolla vendiyathu avasiyamaagum.	9			
வாக்கு மூலம்	2	vaakku moolam	2			
செயற்கைக்கோள் தொலைக்காட்சிகளில் அரசுச் செய்திகளை ஒலிபரப்ப ஏற்பாடும் செய்தார்.	7	seyarkaikkole tholaikaatchikalil arasu seythikalai oliparappa yerpaadum seythaar.	7			
ஆனாலும்கூட பெண்கள் தங்களின் பங்களிப்பையும் செய்து வருகிறார்கள்.	6	aanalumkuda pengal thangalin pangalippaiyum seythu varukirargal.	6			
சுகான சுமைகள்	2	sugamaana sumaigal	2	சுகான (சுகமான)		
முன்பின் அச்சுச் சுழற்சி குத்துச் சுழல்வு அல்லது உருள்வு (roll) எனப்படும்.	9	munpin achu suzharchi kuththu suzhalvu allathu urulvu (roll) enappadum.	9			
மேற்பரப்பில் இருந்து குகைக்குள் ஊடுருவும் நீர்க்கசிவானது, குகையின் வெப்பநிலை உறைநிலைக்கு கீழே இருக்குமானால் தரையில் சேகரமாகி புற்றுப்பாறையாக உருவாகிறது.	14	merparappapil irunthu kugaikul ooduruvum neerkasivaanathu, kugaiyin veppanilai urainilaikku keeley irrukumaanaal tharaiyil sekaramaagi puttrupaathaiyaga uruvaagirathu.	14			
ஒரு மத்திய பவர் இயந்திர தொகுப்பைப் பயன்படுத்தி பத்தாண்டுகளுக்குள் பல நகரங்கள் லைட்டிங் அமைப்புகளைக் கொண்டிருக்கும், இந்த பவர் பிளாண்டுகள் பல்வேறு வாடிக்கையாளர்களுக்கு மின்சார கடத்து லைன்கள் மூலம் மின்சாரத்தை வழங்கின.	23	oru maththiya power iyandhira thoguppai payanpaduthi paththaandukalukkul pala nagarangal lighting amaippukalai kondirukkum, intha power pilaandugal palveru vaadikaiyaalargalukku minsaara kadathu linegal moolam minsaarathai vazhangina.	23			
இக்கொள்கை ஆரியர் வருகைக்கு முன்னர் சிந்துவெளி உள்ளிட்ட இந்தியாவில் இருந்த பழங்குடி மக்களின் கொள்கை என்பதை இந்தியாவில் தோன்றிய சமண, பௌத்த மதக் கோட்பாடுகளால் அறியலாம்.	19	ikkolkai aariyar varugaikku munnar sinthuveli ullitta indhiyaavil iruntha palangudi makkalin kolkai enpathai indhiyavil thondriya samana, boutha, matha kotpaadugalal ariyalaam.	19			
பின்னர் இவ்வளாகம் அண்ணா பல்கலைக்கழகம் ஆயிற்று.	5	pinnar ivvalagam Anna palkalaikkalazhagam aayittru.	5			
பெண் உயிரிகள் முட்டையிடக் கூடியன.	4	pen uyirgal muttaiyida koodina.	4			
சிறுமிகளை விட சிறிதளவே சிறுவர்கள் பிறக்கின்றனர் (அமெரிக்காவில் விகிதாச்சாரம் சுமார் 105 சிறுவர்களுக்கும் 100 சிறுமிகள் என்ற விகிதத்தில்)ஆனால் சிறுமிகள் சிறுவர்களை விட குறைவாகவே சிறு வயதில் இறக்கச் செய்கின்றனர்.	22	Sirumigalai vida sirithalavu siruvargal parakkindranar (americavil vigithaachaaram sumaar 105 siruvargalukkum 100 sirumigal endra vigithathil)aanaal sirumigal siruvargalai vida kuraivaaga siru vayathil irakka seygirargal.	22			
டூயட்	1	Duet	1			
முகில்வாணன் (முகில்வாணன் இராசையா, மட்டக்களப்பு, இலங்கை) ஈழத்து தமிழ் கவிஞர்.	8	mugilvaanan (mugivaanan raasaiyaa, mattakkalappu, ilangai) eezhaththu thamizh kavingar.	8			
வெண்சபதம் செய்வோம் வெடிகளென ஆவோம்	4	Vensabatham seivom vedigalena aavom	4			
நீதிபதி ஜான் மைக்கேல் டி'குன்ஹாவின் தீர்ப்பில் உள்ள விபரங்களில் சில.	8	neethipathi john michael d'kunhavin theerpil ulla viparangalil sila.	8			
நைநீடால் வங்கி லி.	3	Nainital vangi limited.	3	லி (limited)		
கையால் வருடுவதை ஏற்கிறது.	3	kaiyaal varuduvathai yerkirathu.	3			
உச்ச நீதிமன்றம் இவர்கள் கைது தொடர்பாக அரசிடம் பல கேள்விகளை எழுப்பியதுடன், அவர்களைச் சிறையில் அடைக்ககாமல், வீட்டுக் காவலில் வைத்து விசாரிக்க உத்தரவிட்டது.	17	Ucha neethimandram ivargal kaithu thodarbaaga arasidam pala kelvigalai ezhupiyathudan, avarkalai siraiyil adaikaamal, veettu kaavalil vaithu visarikka uththaravittathu.	17			
இரண்டு திணிவுடன் , மூன்று சுருள்விற்களை ஒரு மையப்புள்ளியில் பொருத்தினால் ஏற்படும் அலைவுகள் இணை அலைவுகள் ஆகும் .	14	irandu thinivudan , moondru soorulvirkalai oru maiyappulliyil poruthinaal yerpadum alaivugal inai alaivugal aagum .	14			
அவரின் ஆட்சி காலத்தில் இந்தி கட்டாய மொழியாகப் பள்ளிகளில் அறிமுகப்படுத்தப்பட்டது.	8	avarin aatchi kaalathil indhi kattaya mozhiyaaga pallikalil arimugappaduthappattathu.	8			
இவர் 1987-ஆம் ஆண்டின் பிப்பிரவரி நான்காம் நாளில் பிறந்தார்.	7	ivar 1987-aam aandin february naangaam naalil piranthaar.	7			
தத்துவரூபம், ஆன்மரூபம், சிவரூபம் என்னும் படிநிலைகள் ஒவ்வொன்றும் உருவம், சொரூபம், சுபாவம், விசேடம், வியாத்தி, வியாபகம், குணம், வன்னம் – என்னும் எட்டாகப் பாகுபாடு செய்யப்பட்டுள்ளன.	19	thathuvaroobam, aanmaroobam, sivaroobam ennum padinilaigal ovondrum uruvam, soroobam, subaavam, viseydam, viyaththi, viyabagam, kunam, vannam - ennum ettaka paagupaadu seyyappattullana.	19			
1947 இந்திய பாகிஸ்தான் போரின் போது இந்தக் கணவாயானது பாகிஸ்தானால் கைப்பற்றப்பட்டது.	9	1947 indhiya paakisthaan porin podhu indha kanavaayaanathu paakisthaanaal kaippattrappattathu.	9			
கரையோரப் பகுதிகளைக் கைப்பற்ற உதவியமைக்காக செனோவா, வெனிசு, பீசா ஆகிய நகரங்கள் சிலுவை நாடுகளின் வணிக சிறப்புரிமையைப் பெற்றன.	14	karaiyora paguthikalai kaippattra udhaviyamaikka senova, venisu, peesa aagiya nagarangal siluvai naadukalil vaniga sirapurimaiyai pettrana.	14			
சாரா தட்டில்	2	saara thattil	2			
இவ்வளாகத்தில் இதற்கான மராமத்து வேலைகள் நடக்கின்றன.	5	ivvalagathil itharkaana maamaraththu velaigal nadakkindrana.	5			
பழங்கால மற்றும் இடைக்கால ஐரோப்பாவில் கற்பூரம் இனிப்புக்களில் உள்ளீட்டுப் பொருளாக பயன்பட்டது.	9	pazhangaala maattrum idaikkaala eiroppavil karpuram inippukkalil ulleettu porulaaga payanpattathu.	9			
எளிதில் பணமாதலின் மற்றொரு நேர்த்தியான விளக்கமாக இருப்பது, இறுதியாக நிறைவேற்றப்பட்ட விலைக்கு இணையாகவே அடுத்த வர்த்தகமும் நிறைவேற்றப்படும் என்னும் சாத்தியக்கூறு.	15	elithil panamaathalin mattroru nerthiyaana vilakkamaaga irupathu, iruthiyaaga niraivetrappatta vilaikku inaiyaagavey adutha varthakamum niraivetrappadum ennum saathiyakooru.	15			
திருவெம்பா	1	thiruvenba	1			
திசைதிரிந்து தெற்கேகினும்	2	thisaithirinthu therkethinum	2			
எல்சா வான் தியேன்	3	elsa vaan theyone	3			
பறவைகளின் எண்ணிக்கை குறித்து அரசின் அதிகாரப்பூர்வ குறிப்பு	6	paraivaigalin ennikkai kurithu arasin athigarapoorva kurippu	6			
1911இல் நடந்த தர்பாருக்கு அனைத்து மன்னரரசர்களும் அவைக்கு வந்திருந்தனர்.	7	1911yil nadantha tharpaarukku anaithu mannararasarkalum avaikku vanthirunthanar.	7			
கிறிசுடோபர் விருது	2	christoper viruthu.	2			
உலகிலேயே மிக அதிக சிற்பங்களைக் கொண்டுள்ள இதற்கு ஆண்டுதோறும் 1.4 கோடி மக்கள் வருகை தருகின்றனர்.	12	Ulagilaeye miga athika sirpangkalai kondululla itharku aanduthorum 1.4 kodi makkal varugai tharukindranar.	12			
நிதிப் பற்றாக்குறைகள் காலம்கடந்து கண்டறியப்பட்டால் மற்றும் நிதிகள் போதாததாக இருந்தால், நிறுவன முதலீடுகளை வழங்க வங்கிகள் நிராகரிக்கலாம் மற்றும் இதன் விளைவாக திவாலாவாக ஆவதிலிருந்து தப்பிக்க முடியாது.	20	Nithi patraakuraikal kaaalamkadanthu kandariyapattal matrum nathikal pothaathathaaka irunthal, niruvana muthalidukalai vazhanga vangikal niraakarikalam matrum ithan vilaivaaka thivaalaaga aavathilirunthu thapika mudiyathu.	20			
மேற்கு ஆபிரிக்காவில் எபோலா நோய்ப் பரவல், 2014: நோய்த் தடுப்புக்காக சீனா மேலும் 232 இராணுவ மருத்துவப் பணியாளர்களை மேற்கு ஆப்பிரிக்காவிற்கு அனுப்பியது (ஏபி)	18	Maerku Africavil Ebola noi paraval, 2014: Noi thadupukaaga china melum 232 raanuva maruththuva paniyaalarkalai merku Africavirku anupiyathu (AB)	18			
ஏ.-இல் ஒரு கூடைப்பந்து அணியாகும்.	4	A-il oru kootaippanthu aniyaagum.	4			
பெண்கள் விடுதலை முன்னணி என்பது தமிழ்நாட்டில் இயங்கும் ஒர் இடதுசாரி அமைப்பின் பெண்கள் விடுதலைக்கான அமைப்பாகும்.	12	Penkal viduthalai munnani enbathu tamilnaatil iyankum oor idathusaari amaipin penkal viduthalaikaana amaipaagum.	12			
தாயகத்தில் இருக்கும் மக்களுடன் தொடர்புகளை பேணுவதிலும், தேவையேற்படின் உதவிகளை பரிமாறி கொள்வதற்க்கும் இவ் ஒன்றியங்கள் வழிசெய்கின்றன.	12	Thaayakathil irukum makkaludan thodarpukalai penuvathilum theevaiyerpadin uthavikalaai parimaari kolvatharkum ivvondriyangkal vazhi seykindrana.	12			
சாரா பிரான்சிசு வைட்டிங்	3	Saara Fransisu waiting	3			
