కృష్ణాష్టమి నాడు భక్తులు పగలంతా ఉపవాసం ఉండి, సాయంత్రాం శ్రీకృష్ణుని పూజిస్తారు.	Krishnashtami naadu bhakthulu pagalantha vupavaasam vundi, saayanthram shreekrishnuni poogistharu.
కార్పొరేట్ పరిపాలనలో ఒక సమితిగా పద్ధతులు, అభ్యాసములు, పాలసీలను, న్యాయముల మరియు ప్రజలను సూటిగా ప్రభావితం చేసే సంస్థల సమితి లేదా ఒక సంస్థను నియంత్రించడము ఉంటుంది.	corporate paripaalanalo oka samithigaa padhdhathulu, abhyaasamulu, policylanu, nyaayamula mariyu prajalanu sootigaa prabhaavitham chese samsthala samithi ledha oka samsthanu niyanthrinchadamu vuntundhi.
ఇది ఎ గ్రేడ్ తో నేషనల్ అసెస్మెంట్ అండ్ అక్రిడిటేషన్ కౌన్సిల్ ద్వారా ప్రామాణికతను కలిగి ఉంది.	idhi A grade tho national assessment and accreditation council dwaaraa praamaanikathanu kaligi vundhi.
గణేష్	Ganesh
పోటీలో విభిన్నమైన, సంక్లిష్టమైన పాటలు పాడటం ద్వారా తన గాన ప్రతిభతో అందరినీ మెప్పించింది ఆర్య.	poteelo vibhinnamaina, sanklishtamaina paatalu paadatam dwaaraa thana gaana prathibhatho andharinii meppinchindi Aarya.
ఈ ఉల్బక ద్రవాన్ని బయటికి తీసి కొన్ని పరీక్షలు జరపడం వలన పిండం యొక్క ఆరోగ్య స్థితిగతులు తెలుస్తాయి.	ee vulbhaka dravaanni bayatiki theesi konni pareekshalu garapadam balana pindam yokka aarogya sthithigathulu thelisthaayi.
ఉలేమాలు అయిన అల్-ఘజాలి, ఇబ్న్ కసీర్, ఇబ్న్ మాజా, ముహమ్మద్ అల్-బుఖారి మొదలగువారు విశదీకరించారు.	vulemaalu ayina al-ghazali, ibn kaseer, ibn majah, muhammad al-bukhari modhalaguvaaru vishadeekarincharu.
బొరియల్లాంటివి ఏర్పరచి వాటిలో గుడ్లు పెడుతుంది.	boriyellaantivi yerparachi vaatilo gudlu peduthindhi.
కవిరాజు విజయం రూపకం రాశారు.	Kaviraaju vihayam roopakam raashaaru.
రాళ్ళపల్లి	Rallapalli
ఆయన కళారూపాలపై ఎలక్ట్రోప్లేటింగ్ విధానం ద్వారా వివిధ లోహాలను పూత పూసే విధానం గూర్చి 1841లో మొదటి పేటెంటు హక్కును పొందాడు.	aayana kalaaroopaalapai electroplating vidhaanam dwaaraa vividha lohaalanu pootha poosi vidhaanam goorchi 1841lo modhati patentu hakkunu pondhaaru.
కానీ అక్కడ అతని పరిస్ధితి ఇంకా ప్రమాదకరంగా తయారైంది.	kaani akkada athani paristhithi inkaa pramaadhanga thayaaraindhi.
ఏకైకమక్షరమ్ ప్రోక్తమ్ పుంసామ్ మహా పాతక నాశనమ్	ekaikamaksharam proktham pumsaam maha paathaka naasanam
ప్రజలకు బ్యాంకింగ్, బీమా, పించను, నగదు బదిలీ మరియు రుణ సదుపాయం వంటి అనేక ఆర్థిక సేవలను తక్కువ ధరకే అందించటమే ఈ పథకం యొక్క లక్ష్యం.	prajalaku banking, bheema, pension, nagadhu badhilee mariyu runa sadhupaayam vanti aneka aarthika sevalanu thakkuva dharake andhincharame ee pathakam yokka lakshyam.
నోరు పొడిబారడం (జెరోస్టోమియా), కళ్ళు పొడిబారడం(జెరోఫ్థాల్మియా{/1)} కాల వ్యవధిలో దీర్ఘకాలిక సమస్యలుగా మారి తీవ్రమై రోగి జీవిత మన్నికను తగ్గిస్తాయి.	noru podibaaradam (xerostomia), kallu podibaaradam(xerophthalmia{/1)} kaala vyavadhilo deerghakaalika samsyalugaa maari teevramai rogi geevitha mannikanu thaggisthaayi.
ఘన్‌పూర్ (వనపర్తి) - వనపర్తి జిల్లా, ఘన్‌పూర్ మండలానికి చెందిన గ్రామం, ఘన్‌పూర్ అనే పేరుగల మండలానికి కేంద్రం.	Ghanpur (Wanaparthy) - Wanaparthy jilla, Ghanpur mandalaaniki chendina graamam, Ghanpur ane perugala mandalaaniki kendram.
ఒకే రకానికి చెందిన వృక్షరకం విభిన్నమైన వాతావరణాల్లో పెరిగినట్టైతే అది పూర్తిగా భిన్నమైన రుచిని కలిగిన ఫలాలను ఉత్పత్తి చేస్తుంది.	oke rakaaniki chendina vruksharakam vibhinnamaina vaataavaranaallo periginattaitae adi poortigaa bhinnamaina ruchini kaligina phalaalanu utpatti chaestundi.
ఊకదంపుడు ఉపన్యాసాలు అసలే ఉండవు.	ookadampudu upanyaasaalu asalae vundavu.
ఉద్యోగ సంఘాల జాబితా	vudyoga sanghaala jaabitaa
ఆ హోటలును మూసివేసినారు.	aa hotelunu moosivaesinaaru.
ఈ పీపాను స్టీలు మరియు ఫైబర్ గ్లాసుతో తయారు చేసి దానికి తొడుగులు తయారు చేసి వాటిని స్టీలు బెల్టులతో బంధించాడు.	ee peepaanu steelu mariyu fiber glaasuto tayaaru chesi daaniki todugulu tayaaru chesi vaatini steelu beltulato bandhinchaadu.
మాలెబోర్‌గావ్	Maleborgav
విచిత్ర స్వప్నము	vichitra svapnamu
అలసట ఎక్కువైతే...... తనపైనున్న గుడ్డ కూడా బరువని పిస్తుందని అర్థము.	alasata ekkuvaite...... tanapainunna gudda koodaa baruvani pistundani arthamu.
వీరి సొంత ఊరు పుణేలో చాలా నాటక సంస్థలతో కలసి పనిచేసింది.	veeri sonta vooru Punelo chaalaa naataka samsthalato kalasi panichesindi.
లిథియం ఐయాన్ బ్యాటరీలు అధిక ఉష్ణోగ్రతల పరిస్థులలో చార్జ్ చేయటానికి సున్నితంగా ఉంటాయి.	Lithium ion batterylu adhika ushnogratala paristhithulalo charge cheyataaniki sunnitangaa vuntaayi.
రోగి దేవోభవ	rogi devobhava
మృగము దొరకలేదు.	mrugamu dorakaledu.
అన్నపూర్ణ	annapoorna
ఫోటోగ్రఫీ: శ్రీరాం	photography: Sreeraam
సూర్యప్రభుడు దివ్యతూణీరమును సాధించుట	sooryaprabhudu divyathooneeramunu saadhinchuta
బర్థన్, భారత దేశంలోని ప్రాచీన రాజకీయపార్టీ అయిన భారత కమ్యూనిస్టు పార్టీ జనరల్ సెక్రటరీ గా పనిచేసారు.	barthan, Bhaarata desamloni praacheena raajakeeyaparty ayina Bhaarata communistu party general secretary gaa panichaesaaru.
రాష్ట్రేతర ప్రాంతాలనుండి ప్రముఖ నాటకసమాజాలను ఆహ్వానించి వారిచే ప్రదర్శనలు ఇప్పించేది.	raashtretara praantaalanundi pramukha naatakasamaagaalanu aahvaaninchi vaariche pradarsanalu ippinchedi.
పుణ్యము చేసినవాఁడును ఆ పుణ్యమునకు అనురూపమైన ఫలమును అనుభవించుటకుఁగాను జన్మము ఒక్కటి ఎత్తవలయు.	punyamu chesinavaadunu aa punyamunaku anuroopamaina phalamunu anubhavinchutakugaanu janmamu okkati yettavalayu.
ఆస్టిన్ లో వున్నప్పుడు ఒక సిగార్ స్టోర్ లోనూ, మందుల షాప్ లోనూ, రియల్ ఎస్టేట్ ఆఫీస్ లోనూ పనిచేశారు.	Austin lo vunnappudu oka cigar store lonoo, mandula shop lonoo, real estate office lonoo panichesaaru.
కుందూ నది మరియు ఇతర వాగుల రూపంలో జలవనరులు పుష్కలంగా ఉన్నప్పటికీ గత కొంత కాలంగా నెలకొన్న వర్షాభావం వల్ల కరువు పరిస్థితులు ఏర్పడ్డాయి.	kundhoo nadi mariyu itara vaagula roopamlo galavanarulu pushkalangaa unnappatikee gatha konta kaalangaa nelakonna varshaabhaavam valla karuvu paristhitulu yerpaddaayi.
ఆర్కిటెక్చర్ కూడా కొంతకాలం చదివాడు.	architecture koodaa kontakaalam chadivaadu.
వాణి పత్రిక సహాయ సంపాదకులుగా పనిచేశారు.	vaani patrika sahaaya sampaadakulugaa panichaesaaru.
బాల కార్మికులు అనే పదం రోజువారీ మరియు నిరంతర శ్రామికులుగా పనిచేసే బాలలను సూచిస్తుంది.	baala kaarmikulu ane padam rojuvaaree mariyu nirantara sraamikulugaa panichese baalalanu soochistundi.
తరువాత కర్ణుడికి పరశురాముడి శాపంకూడా తగిలింది.	taruvaata karnudiki parasuraamudi saapamkoodaa tagilindi.
సూర్యకాంతం పువ్వు	sooryakaantam puvvu
డాన్స్ బేబి డాన్స్ జీవితమొకటే చాన్స్	dance baby dance jeevitamokate chance
వారు ఎవ్వరూ నిషిద్ధులుకారు.	vaaru evvaroo nishiddhulukaaru.
ఇది కాక హరిద్వార్ లో గల ముఖ్యమైన శక్తి పీఠాలుగా అలరాలుతున్నవి మాయాదేవి దేవాలయం మరియు మానసదేవీ ఆలయం	idi kaaka Haridwar lo gala mukhyamaina sakti peetaalugaa alaraalutunnavi Maayaadevi devaalayam mariyu Manasadevi aalayam
రాష్ట్రీయ ఉద్యానవనం పరిసర ప్రాంతాలలో వ్యాపారపరమైన ఆసక్తితో ఆక్రమణలు కొనసాగాయి.	raashtreeya udyaanavanam parisara praantaalalo vyaapaaraparamaina aasaktito aakramanalu konasaagaayi.
2008 సెప్టెంబరు 17న ఏసికే మీడియా వారి వెబ్ సైట్ ప్రారంభించబడింది.	2008 Septemberu 17na esike media vaari web site praarambhinchabadindi.
• మొబైల్ గేమ్ ప్రోగ్రామర్లు: వీరు యాండ్రాయిడ్, జె2యం.ఇ వంటి మొబైల్ గేమ్ ప్రోగ్రామింగ్ వ్రాయగలిగియుండాలి.	• mobile game programmerlu: veeru android, J2M.E vanti mobile game programming vraayagaligiyundaali.
"దక్షిణానికి ఉత్తరం మరియు ఉత్తరానికి దక్షిణం" గా, గంగా-యమున తెహజీబ్ గా పిలవబడుతున్న తెలంగాణ రాష్ట్ర రాజధాని హైదరాబాద్ భారతదేశంలోనే ప్రసిద్ధి చెందిన నగరం.	"dakshinaaniki uttaram mariyu uttaraaniki dakshinam" gaa, ganga-yamuna Tehajeeb gaa pilavabadutunna Telangana raashtra raajadhaani Hyderabad Bhaaratadesamlone prasiddhi chendina nagaram.
ఉదాహరణకు: ఈ వ్యాసం ఒక జాలపుట.	vudaaharanaku: ee vyaasam oka gaalaputa.
రేపల్లెలో రాధ	Repallelo Raadha
పుస్తకం కవరు డిజైన్ మరియు లోపలి బొమ్మలు లక్ష్మన్ ఏలే వేశాడు.	pustakam kavaru design mariyu lopali bommalu lakshman yele vesaadu.
షీలా దీక్షిత్ ఒక పంజాబీ ఖత్రి కుటుంబంలో భారతదేశం యొక్క పంజాబ్ రాష్ట్రంలో కపుర్తలలో జన్మించారు.	Sheila Dixit oka Punjabee Khatri kutumbamlo Bhaaratadesam yokka Punjab raashtramlo kapurtalalo janminchaaru.
ఖానఖాహ్	khaanakhaah
ఫలితముగా ఆమె గర్భము ధరించి నవమాసములు మోసి పుత్రరత్నమును పొందెను.	phalitamugaa aame garbhamu dharinchi navamaasamulu mosi putraratnamunu pondenu.
కల్పవృక్షము, కోరిన కోరికలు ఇచ్చే చెట్టు	kalpavrukshamu, korina korikalu ichche chettu
ఒక పదానికి అదే అర్ధానిచ్చే మరొక పదాన్ని పర్యాయపదం అంటారు.	oka padaaniki adhe ardhaanichche maroka padaanni paryaayapadam antaaru.
అయితే, సౌర పౌనఃపున్య వర్ణపటం ~6000 K వద్ద దాదాపు ఒక నల్లని కుడ్య వర్ణపుటం అవుతుంది మరియు భూమికి చేరుకున్న సౌర వికిరణం సిలికాన్ యొక్క పట్టీ పోచుకోలు కంటే అధిక శక్తులతో ఫోటాన్లను కలిగి ఉంటుంది.	ayite, saura paunahpunya varnapatam ~6000 k vadda daadaapu oka nallani kudya varnaputam avutundi mariyu bhoomiki cherukunna saura vikiranam silicon yokka pattee pochukolu kante adhika saktulato photonlanu kaligi vuntundi.
మొటిమలతో బాధపడేవారు బూరుగు చెట్టుకుండే ముల్లును బాగా అరగదీసి ఆ చూర్ణాన్ని పట్టించినా కూడా ఫలితం ఉంటుంది.	motimalato baadhapadevaaru boorugu chettukunde mullunu baagaa aragadeesi aa choornaanni pattinchinaa koodaa phalitam vuntundi.
ఛాయాగ్రహణం: ఎస్. గోపాలరెడ్డి	chaayaagrahanam: S. Gopalareddy
ఔరంగజేబు తన సామ్రాజ్యంలో బలవంతంగా షరియా చట్టం అమలుకు తీసుకువచ్చాడు.	Aurangajebu tana saamraajyamlo balavantangaa shariyaa chattam amaluku teesukuvachchaadu.
1885లో కోనన్ డోయల్, "టూయీ" అని పిలవబడే లూయిసా (లేక లూయిస్) హాకిన్స్ ను వివాహం చేసుకున్నాడు.	1885lo Conan Doyle, "Tooyee" ani pilavabade Luisaa (leka Luis) Hawkins nu vivaaham chaesukunnaadu.
ఆ సమయంలో వీరు బాగా తాగి ఉంటారు.	aa samayamlo veeru baagaa taagi vuntaaru.
ఆచార్య నాగార్జునుడు శ్రీ పర్వతం వద్ద ఏర్పాటుచేసిన ప్రపంచ విశ్వవిద్యాలయానికి అధ్యక్షుడిగా ఉన్నాడు.	aachaarya naagaArjunudu sree parvatam vadda yerpaatuchesina prapancha visvavidyaalayaaniki adhyakshudigaa vunnaadu.
సత్యధృతి మహాతప మొనరించి ధనుర్వేదమును, వివిధాస్త్రములను సాధించెను.	satyadhruti mahaatapa monarinchi dhanurvedamunu, vividhaastramulanu saadhinchenu.
క్విట్ ఇండియా ఉద్యమం సందర్భంగా బాపట్లలో నాళం రామచంద్రరావు, వేదాంతం వాసుదేవరావు, లక్కరాజ భార్గవి, మనోహరరావు, ఆచంట రంగనాయకులు నిర్బంధంలోకి తీసుకోబడ్డారు.	quit India vudyamam sandarbhangaa baapatlalo naalam Ramachandrarao, Vedantam Vasudevarao, Lakkaraja Bhargavi, Manohararao, Achanta Ranganayakulu nirbandhamloki teesukobaddaaru.
బ్రాహ్మణేతర పూజారైన పోతరాజు (గ్రామదేవతల తమ్ముడిగా భావిస్తారు) మంగళ సూత్రధారణే కాకుండా గావుపట్టు అనే కార్యక్రమాన్ని కూడా నిర్వహిస్తాడు.	braahmanetara poogaaraina potaraaju (graamadevatala tammudigaa bhaavistaaru) mangala sootradhaarane kaakundaa gaavupattu ane kaaryakramaanni koodaa nirvahistaadu.
ఇందుగపల్లి పేరుతో ఉన్న పేజీలు:	Indugapalli perutho vunna pegeelu:
అంటరాని కులాల ప్రత్యేక ఓటింగ్ హక్కును అడ్డు కోవడానికి గాంధీ ఉపవాస దీక్ష పూని, ప్రాణాలు తీసుకుంటానని భయ పెట్టారు.	antaraani kulaala pratyeka voting hakkunu addu kovadaaniki Gandhi upavaasa deeksha pooni, praanaalu teesukuntaanani bhaya pettaaru.
దీనినే చంద్రమాసము అంటారు.	deenine Chandramaasamu antaaru.
ఫోటో బృందం నరిసేటి నేతృత్వంలోని ప్రదర్శన సమూహం యొక్క భాగం.	photo brundam nariseti netrutvamloni pradarsana samooham yokka bhaagam.
ఇతనికి ఇద్దరు కుమారులు.	itaniki iddaru kumaarulu.
క్లుయెట్ పీ బాడీ అండ్ కో.	Cluett P Body & Co.
నాలుగు దశాబ్దాలుగా సాహిత్యంలో ఉన్న ఆయన 19 పుస్తకాలు ప్రచురించారు.	naalugu dasaabdaalugaa saahityamlo vunna aayana 19 pustakaalu prachurinchaaru.
తెలుగు భాషలో ఒడి కి సంబంధించిన వివిధ ప్రయోగాలున్నాయి.	telugu bhaashalo odi ki sambandhinchina vividha prayogaalunnaayi.
జోగినులకు పుట్టిన సంతానానికి సామాజిక గుర్తింపువ్వడం.	joginulaku puttina santaanaaniki saamaajika gurtimpivvadam.
ఇతనికి కృపలానీ, ఇందిరాగాంధీ, మొరార్జీదేశాయ్, కరుణానిధి, చరణ్ సింగ్, కామరాజర్, ఎంజీఆర్, జయలలిత, ఎన్టీఆర్, వాజ్‌పేయి, అద్వానీ, మోదీ వంటి రాజకీయ నేతలతో సత్సంబంధాలున్నాయి.	itaniki Kripalani, Indiragandhi, Morargeedesai, Karunanidhi, Charan Singh, Kamarajar, MGR, Jayalalita, NTR, Vajpeyi, Advani, Modi vanti raajakeeya nethalatho satsambandhaalunnaayi.
ఎంబెడింగ్ లీడర్‌షిప్ ఎక్స్‌లెన్స్	embedding leadership excellence
కానీ, రిజర్వేషన్లను, అణగారిన వర్గాల హక్కులను అంగీకరించలేని సవర్ణ హిందువులు మరొక కుట్రకు తెరతీశారు.	kaanee, reservationlanu, anagaarina vargaala hakkulanu angeekarinchaleni savarna hinduvulu maroka kutraku terateesaaru.
మొటిమలు చిన్నవి, పెద్దవి అని రెండు రకాలుగా ఉంటాయి.	motimalu chinnavi, peddavi ani rendu rakaalugaa vuntaayi.
అనేక జాగ్రత్తలు తీసుకున్నప్పటికీ ఇక్కడ తరచూ ప్రమాదాలు సంభవిస్తున్నాయి.	aneka gaagrattalu teesukunnappatikee ikkada tarachoo pramaadaalu sambhavistunnaayi.
అల్లు రామలింగయ్య	Allu Ramalingaiah
టీ.ఎన్.ఎల్: ఈ రోజు చరిత్రలో	T.N.L: Ee roju charithralo
నిరంకుశత్వం	nirankusatvam
దీనిని తగ్గించేందుకు చాలా దేశములు కూడా సహకరిస్తున్నాయి.	deenini tagginchenduku chaalaa desamulu koodaa sahakaristunnaayi.
నాలుగు రోజులు తర్వాత స్మాక్‌డౌన్!	naalugu rojulu tarvaata smackdown!
లక్ష్మాపుర్ పేరుతో చాలా వ్యాసాలు ఉన్నాయి. ఆ వ్యాసాల జాబితా:	lakshmaapur peruto chaalaa vyaasaalu vunnaayi. aa vyaasaala jaabitaa:
విశ్వవిద్యాలయం నందు విద్యను అభ్యసించిన తరువాత విద్యార్ధులకు డిగ్రీని అందచేయుటకు జరుపుకొను ఉత్సవాన్ని స్నాతకోత్సవం అంటారు .	visvavidyaalayam nandu vidyanu abhyasinchina taruvaata vidyaardhulaku degreeni andacheyutaku jarupukonu utsavaanni snaathakotsavam antaaru .
కాని బొత్తిగ చేపలను తినని బ్రాహ్మణ కుటుంబములలో కూడా ఈ వ్యాధి వ్యాపించి యుండుట చేత ఈ సిద్ధాంతము నిలువ జాలదు.	kaani bottiga chepalanu tinani braahmana kutumbamulalo koodaa ee vyaadhi vyaapinchi yunduta cheta ee siddhaantamu niluva gaaladu.
ఇతని తండ్రి ప్రసన్న రాఘవాచార్య ఉభయ వేదాంత పండితుడు.	itani tandri prasanna raaghavaachaarya ubhaya vedaanta panditudu.
మొఘల్ సామ్రాజ్యంతో పోరాటాలు చేసి, కొన్నాళ్లకు సంధి ఒప్పందాలు చేసుకుని రాజపుత్రులు బ్రిటీష్ వారు దేశాన్ని విడిచిపోయే వరకూ ఉత్తర భారతదేశంలో సంస్థానాధీశులుగా ఉనికిలోనే ఉన్నారు.	Mughal saamraajyamto poraataalu chesi, konnaallaku sandhi voppandaalu chesukuni raajaputrulu British vaaru desaanni vidichipoye varakoo uttara Bhaaratadesamlo samsthaanaadheesulugaa unikilone vunnaaru.
న్యూయార్క్ గవర్నర్ అలాంజో కార్నెల్ ఈ ఉద్యమాన్ని వ్యరేకిస్తున్న అదే సమయంలో ప్రొఫెసర్ చార్లెస్ ఎలియాట్ నార్టన్ మరియు ఓల్మ్‍స్టీడ్ ఈ ప్రజా ఉద్యమంలో ప్రధాన పాత్ర వహించారు.	Newyork governor Alanzo Kernel ee udyamaanni vyathirekistunna adhe samayamlo professor Charles Eliot Norton mariyu Olmsteed ee prajaa vudyamamlo pradhaana paatra vahinchaaru.
(అయితే అది గొప్ప ఆటగాడైన డబల్యూ.జి.గ్రేస్ ది).	(ayite adi goppa aatagaadaina W.G.Grace The).
అయితే భూములు కోల్పోయిన ఇతర భూస్వాములు ఆయనపై కక్ష పెంచుకున్నారు.	ayitae bhoomulu kolpoyina itara bhoosvaamulu aayanapai kaksha penchukunnaaru.
భారత విభజన తరువాత వారి కుటుంబం ఢిల్లీ కి వచ్చేశారు.	Bhaarata vibhajana taruvaata vaari kutumbam Delhi ki vachchesaaru.
ఈ ఉపగ్రహ ప్రదక్షిణలను, పనితీరును బెంగలూరులో ఉన్న స్పేస్ క్రాఫ్ట్ కంట్రోల్ కేంద్రము, దానితో నెట్‌వర్క్ అనుబంధమున్న లక్నో, మారిటస్, రష్యాలోని బేర్‌స్లాక్, ఇండోనేషియా లోని బయాక్, నార్వే లోని స్వల్బార్డ్ నెట్‌వర్కు కేంద్రాల సహకారంతో పర్యవేక్షణచేస్తుంది.	ee upagraha pradakshinalanu, paniteerunu Bengalurulo vunna space craft control kendramu, daanito network anubandhamunna Lucknow, Mauritius, Russialoni Bearslake, Indonesia loni Bayak, Norvey loni Svalbard networku kendraala sahakaaramto paryavekshanachestundi.
అశోక్ శాస్త్రి.	Ashok Sastri.
లోకమదేపని కోడై కూయగా పలుకక ఉందువు - రచన: తాపీ ధర్మారావు	lokamadepani kodai kooyagaa palukaka undhuvu - rachana: Tapi Dharmarao
పరిమాణము మరియు శక్తి అనే ప్రమాణాలకు వేరు వేరు పేర్లు ఇవ్వబడినవి మరియు అవి రెండు ఒక దానితో ఒకటి సంబంధమును కలిగి ఉండి సమస్యను పరిష్కరించుటకు వేరొక చర్య అవసరము లేకుండా చేస్తున్నాయి.	parimaanamu mariyu sakti ane pramaanaalaku veru veru perlu ivvabadinavi mariyu avi rendu oka daanitho okati sambandhamunu kaligi vundi samasyanu parishkarinchutaku veroka charya avasaramu lekundaa chestunnaayi.
షిరిడీలోని సాయిమందిరానికి సగటుమ రోజూ 20 వేల మంది సందర్శకులు వస్తారని.	Shiridiloni saayimandiraaniki sagatuma roju 20 vela mandi sandarsakulu vastaarani.
ఎంకేపల్లి (రైకోడ్‌) - మెదక్ జిల్లాలోని రైకోడ్‌ మండలానికి చెందిన గ్రామము	Enkepalli (Raikod) - Medak jillaaloni Raikod mandalaaniki chendina graamamu
కృత్తిమ దారాలు (ఫైబర్), స్టార్చ్ , రబ్బరులను తయారు చెయ్యడం వలన కూడా కార్బొనైల్ సల్ఫైడ్ గాఢత వాతావరణంలో పెరుగుతున్నది.	kruttima daaraalu (fiber), starch , rabbarulanu tayaaru cheyyadam valana koodaa carbonyle sulfide gaadhata vaataavaranamlo perugutunnadi.
వెల్లెస్లీ గవర్నర్ జనరల్ గా పదవి చేపట్టేనాటి పరిస్థితులు కారణమని నెపము చెప్పుట సరికాదు.	Wellesley governor general gaa padavi chepattenaati paristhitulu kaaranamani nepamu chepputa sarikaadu.
ముస్లింల పండుగలు	muslimla pandugalu
నయాగరా బోర్డ్ ఆఫ్ కంట్రోల్ అధ్వర్యంలో 1950లో జరిగిన ఒప్పందాన్ని అనుసరించి నీటిని క్రమబద్దీకరిస్తుంటారు.	Nayagara board of control adhvaryamlo 1950lo jarigina voppamdaanni anusarinchi neetini kramabaddeekaristuntaaru.
తాగుడుకి బానిసవ్వటం వల్ల కాలేయం దెబ్బ తిని సిర్రోసిస్ వ్యాధితో నలభై రెండేళ్ళ వయసులో కన్ను మూశాడు.	taaguduki baanisavvatam valla kaaleyam debba tini cirrhosis vyaadhito nalabhai rendella vayasulo kannu moosaadu.
లీలగారు తనకు కంపెనీ ఇచ్చిన రెండు మొత్తాలను కలిపి పూణేలో ఒక ఫౌండేషన్ స్థాపించి నిరుపేద అమ్మాయిలను దేశవిదేశాలకు పంపించి, చదివించడానికి గాను స్కాలర్ షిప్ లను ఏర్పాటు చేశారు.	leelagaaru tanaku company ichchina rendu mottaalanu kalipi Punelo oka foundation sthaapinchi nirupeda ammaayilanu desavidesaalaku pampinchi, chadivinchadaaniki gaanu scholar ship lanu yerpaatu chesaaru.
హరిగోపాల శర్మ, ఎన్.	Harigopala Sarma, N.
