కృష్ణాష్టమి	krishnashtami
కార్మిక	kaarmika
సంఘం	sangham
జిల్లా	jillaa
ప్రధాన	pradhana
కార్యదర్శిగా	kaaryadarsigaa
పనిచేసింది	panichesthvundi
</s>	</s>
కోట	kota
శ్రీనివాస	sreenivasa
రావు	rao
</s>	</s>
జంధ్యాల	jandhyala
తెలుగువారిలో	teluguvaarilo
కొందరి	kondhari
ఇంటి	inti
పేరు	peru
</s>	</s>
ఒక	oka
పాన్‌క్రోమాటిక్	panchromatic
కెమెరాను	cameranu
కలిగి	kaligi
ఉంది	vundhi
</s>	</s>
విద్య	vidhya
</s>	</s>
కాని	kaani
వాహిని	vaahini
చిత్రాల్లో	chithraallo
నటించారు	natincharu
</s>	</s>
సునీల్	sunil
</s>	</s>
ప్రధాన	pradhaana
పిచ్	pitch
కూడా	koodaa
పునర్నిర్మించబడుతున్నందున	punarnirminchabaduthinnanduna
ఈ	ee
స్టేడియం	stadium
ప్రస్తుతం	prasthutham
ఏ	ye
మ్యాచ్లను	matchlanu
ఆతిథ్యమివ్వడంలేదు	aathidhyamivvadamledhu
</s>	</s>
ఇక్కడివారు	ikkadivaaru
ఒరియా	oriya
కాకుండాసంబల్‌పురి	kaakundaasambalpuri
భాషలో	bhaashalo
మాట్లాడతారు	maatlaaduthaaru
</s>	</s>
కొండవలస	kondavalasa
లక్ష్మణరావు	lakshmanrao
ప్రముఖ	pramukha
నాటక	naataka
రచయిత	rachayitha
సినిమా	cinema
నటులు	vatulu
</s>	</s>
వీటి	veeti
పరీవాహక	pareevaahaka
ప్రాంతాల్లో	praanthaallo
వరి	vari
పండిస్తారు	pandisthaaru
</s>	</s>
ఒప్పందం	oppandham
పాఠం	paatam
ఇలా	ila
ఉంది	vundi
</s>	</s>
ఆయనకు	aayanaku
సాధారణంగా	saadhaaranangaa
అలిపిరాల	alipiraala
విశ్వం	visvam
జన్మించినప్పటికీ	janminchinappatikei
ఆయన	aayana
పూర్వజన్మకు	poorvajanmaku
సంబంధించిన	sambandhinchina
ఆధ్యాత్మిక	aadhyaathmika
సంపద	samoada
పరమగురు	paranguru
మహావతార్	mahaavathaar
బాబాజీ	babaji
ఆయనను	aayananu
ఒక	oka
యోగిగా	yogigaa
గుర్తించినట్లు	gurthinchinatly
అవగతమైనది	avagathamainadhi
</s>	</s>
శ్రామిక	shraamika
శకటం	sekatam
</s>	</s>
కార్పొరేట్	corporate
పరిపాలనలో	paripaalanalo
ఒక	oka
సమితిగా	samithigaa
పద్ధతులు	padhdhathulu
అభ్యాసములు	abhyaasamulu
పాలసీలను	policylanu
న్యాయముల	nyaayamula
మరియు	mariyu
ప్రజలను	prajalanu
సూటిగా	sootigaa
ప్రభావితం	prabhaavitham
చేసే	chese
సంస్థల	samsthala
సమితి	samithi
లేదా	ledha
ఒక	oka
సంస్థను	samsthanu
నియంత్రించడము	niyanthrinchadamu
ఉంటుంది	vuntundhi
</s>	</s>
ఇది	idhi
ఎ	a
గ్రేడ్	grade
తో	tho
నేషనల్	national
అసెస్మెంట్	assessment
అండ్	and
అక్రిడిటేషన్	accreditation
కౌన్సిల్	council
ద్వారా	dwaaraa
ప్రామాణికతను	praamaanikathanu
కలిగి	kaligi
ఉంది	vundhi
</s>	</s>
గణేష్	ganesh
</s>	</s>
పోటీలో	poteelo
విభిన్నమైన	vibhinnamaina
సంక్లిష్టమైన	sanklishtamaina
పాటలు	paatalu
పాడటం	paadatam
ద్వారా	dwaaraa
తన	thana
గాన	gaana
ప్రతిభతో	prathibhatho
అందరినీ	andharinii
మెప్పించింది	meppinchindi
ఆర్య	aarya
</s>	</s>
ఈ	ee
ఉల్బక	vulbhaka
ద్రవాన్ని	dravaanni
బయటికి	bayatiki
తీసి	theesi
కొన్ని	konni
పరీక్షలు	pareekshalu
జరపడం	garapadam
వలన	balana
పిండం	pindam
యొక్క	yokka
ఆరోగ్య	aarogya
స్థితిగతులు	sthithigathulu
తెలుస్తాయి	thelisthaayi
</s>	</s>
ఉలేమాలు	vulemaalu
అయిన	ayina
అల్-ఘజాలి	al-ghazali
ఇబ్న్	ibn
కసీర్	kaseer
ఇబ్న్	ibn
మాజా	majah
ముహమ్మద్	muhammad
అల్-బుఖారి	al-bukhari
మొదలగువారు	modhalaguvaaru
విశదీకరించారు	vishadeekarincharu
</s>	</s>
బొరియల్లాంటివి	boriyellaantivi
ఏర్పరచి	yerparachi
వాటిలో	vaatilo
గుడ్లు	gudlu
పెడుతుంది	peduthindhi
</s>	</s>
కవిరాజు	kaviraaju
విజయం	vihayam
రూపకం	roopakam
రాశారు	raashaaru
</s>	</s>
రాళ్ళపల్లి	rallapalli
</s>	</s>
ఆయన	aayana
కళారూపాలపై	kalaaroopaalapai
ఎలక్ట్రోప్లేటింగ్	electroplating
విధానం	vidhaanam
ద్వారా	dwaaraa
వివిధ	vividha
లోహాలను	lohaalanu
పూత	pootha
పూసే	poosi
విధానం	vidhaanam
గూర్చి	goorchi
1841లో	1841lo
మొదటి	modhati
పేటెంటు	patentu
హక్కును	hakkunu
పొందాడు	pondhaaru
</s>	</s>
కానీ	kaani
అక్కడ	akkada
అతని	athani
పరిస్ధితి	paristhithi
ఇంకా	inkaa
ప్రమాదకరంగా	pramaadhanga
తయారైంది	thayaaraindhi
</s>	</s>
ఏకైకమక్షరమ్	ekaikamaksharam
ప్రోక్తమ్	proktham
పుంసామ్	pumsaam
మహా	maha
పాతక	paathaka
నాశనమ్	naasanam
</s>	</s>
ప్రజలకు	prajalaku
బ్యాంకింగ్	banking
బీమా	bheema
పించను	pension
నగదు	nagadhu
బదిలీ	badhilee
మరియు	mariyu
రుణ	runa
సదుపాయం	sadhupaayam
వంటి	vanti
అనేక	aneka
ఆర్థిక	aarthika
సేవలను	sevalanu
తక్కువ	thakkuva
ధరకే	dharake
అందించటమే	andhincharame
ఈ	ee
పథకం	pathakam
యొక్క	yokka
లక్ష్యం	lakshyam
</s>	</s>
నోరు	noru
పొడిబారడం	podibaaradam
జెరోస్టోమియా	xerostomia
కళ్ళు	kallu
పొడిబారడం(జెరోఫ్థాల్మియా{/1	podibaaradam(xerophthalmia{/1
కాల	kaala
వ్యవధిలో	vyavadhilo
దీర్ఘకాలిక	deerghakaalika
సమస్యలుగా	samsyalugaa
మారి	maari
తీవ్రమై	teevramai
రోగి	rogi
జీవిత	geevitha
మన్నికను	mannikanu
తగ్గిస్తాయి	thaggisthaayi
</s>	</s>
ఘన్‌పూర్	ghanpur
వనపర్తి	wanaparthy
-	-
వనపర్తి	wanaparthy
జిల్లా	jilla
ఘన్‌పూర్	ghanpur
మండలానికి	mandalaaniki
చెందిన	chendina
గ్రామం	graamam
ఘన్‌పూర్	ghanpur
అనే	ane
పేరుగల	perugala
మండలానికి	mandalaaniki
కేంద్రం	kendram
</s>	</s>
ఒకే	oke
రకానికి	rakaaniki
చెందిన	chendina
వృక్షరకం	vruksharakam
విభిన్నమైన	vibhinnamaina
వాతావరణాల్లో	vaataavaranaallo
పెరిగినట్టైతే	periginattaitae
అది	adi
పూర్తిగా	poortigaa
భిన్నమైన	bhinnamaina
రుచిని	ruchini
కలిగిన	kaligina
ఫలాలను	phalaalanu
ఉత్పత్తి	utpatti
చేస్తుంది	chaestundi
</s>	</s>
ఊకదంపుడు	ookadampudu
ఉపన్యాసాలు	upanyaasaalu
అసలే	asalae
ఉండవు	vundavu
</s>	</s>
ఉద్యోగ	vudyoga
సంఘాల	sanghaala
జాబితా	jaabitaa
</s>	</s>
ఆ	aa
హోటలును	hotelunu
మూసివేసినారు	moosivaesinaaru
</s>	</s>
ఈ	ee
పీపాను	peepaanu
స్టీలు	steelu
మరియు	mariyu
ఫైబర్	fiber
గ్లాసుతో	glaasuto
తయారు	tayaaru
చేసి	chesi
దానికి	daaniki
తొడుగులు	todugulu
తయారు	tayaaru
చేసి	chesi
వాటిని	vaatini
స్టీలు	steelu
బెల్టులతో	beltulato
బంధించాడు	bandhinchaadu
</s>	</s>
మాలెబోర్‌గావ్	maleborgav
</s>	</s>
విచిత్ర	vichitra
స్వప్నము	svapnamu
</s>	</s>
అలసట	alasata
ఎక్కువైతే	ekkuvaite
తనపైనున్న	tanapainunna
గుడ్డ	gudda
కూడా	koodaa
బరువని	baruvani
పిస్తుందని	pistundani
అర్థము	arthamu
</s>	</s>
వీరి	veeri
సొంత	sonta
ఊరు	vooru
పుణేలో	punelo
చాలా	chaalaa
నాటక	naataka
సంస్థలతో	samsthalato
కలసి	kalasi
పనిచేసింది	panichesindi
</s>	</s>
లిథియం	lithium
ఐయాన్	ion
బ్యాటరీలు	batterylu
అధిక	adhika
ఉష్ణోగ్రతల	ushnogratala
పరిస్థులలో	paristhithulalo
చార్జ్	charge
చేయటానికి	cheyataaniki
సున్నితంగా	sunnitangaa
ఉంటాయి	vuntaayi
</s>	</s>
రోగి	rogi
దేవోభవ	devobhava
</s>	</s>
మృగము	mrugamu
దొరకలేదు	dorakaledu
</s>	</s>
అన్నపూర్ణ	annapoorna
</s>	</s>
ఫోటోగ్రఫీ	photography
శ్రీరాం	sreeraam
</s>	</s>
సూర్యప్రభుడు	sooryaprabhudu
దివ్యతూణీరమును	divyathooneeramunu
సాధించుట	saadhinchuta
</s>	</s>
బర్థన్	barthan
భారత	bhaarata
దేశంలోని	desamloni
ప్రాచీన	praacheena
రాజకీయపార్టీ	raajakeeyaparty
అయిన	ayina
భారత	bhaarata
కమ్యూనిస్టు	communistu
పార్టీ	party
జనరల్	general
సెక్రటరీ	secretary
గా	gaa
పనిచేసారు	panichaesaaru
</s>	</s>
రాష్ట్రేతర	raashtretara
ప్రాంతాలనుండి	praantaalanundi
ప్రముఖ	pramukha
నాటకసమాజాలను	naatakasamaagaalanu
ఆహ్వానించి	aahvaaninchi
వారిచే	vaariche
ప్రదర్శనలు	pradarsanalu
ఇప్పించేది	ippinchedi
</s>	</s>
పుణ్యము	punyamu
చేసినవాఁడును	chesinavaadunu
ఆ	aa
పుణ్యమునకు	punyamunaku
అనురూపమైన	anuroopamaina
ఫలమును	phalamunu
అనుభవించుటకుఁగాను	anubhavinchutakugaanu
జన్మము	janmamu
ఒక్కటి	okkati
ఎత్తవలయు	yettavalayu
</s>	</s>
ఆస్టిన్	austin
లో	lo
వున్నప్పుడు	vunnappudu
ఒక	oka
సిగార్	cigar
స్టోర్	store
లోనూ	lonoo
మందుల	mandula
షాప్	shop
లోనూ	lonoo
రియల్	real
ఎస్టేట్	estate
ఆఫీస్	office
లోనూ	lonoo
పనిచేశారు	panichesaaru
</s>	</s>
కుందూ	kundhoo
నది	nadi
మరియు	mariyu
ఇతర	itara
వాగుల	vaagula
రూపంలో	roopamlo
జలవనరులు	galavanarulu
పుష్కలంగా	pushkalangaa
ఉన్నప్పటికీ	unnappatikee
గత	gatha
కొంత	konta
కాలంగా	kaalangaa
నెలకొన్న	nelakonna
వర్షాభావం	varshaabhaavam
వల్ల	valla
కరువు	karuvu
పరిస్థితులు	paristhitulu
ఏర్పడ్డాయి	yerpaddaayi
</s>	</s>
ఆర్కిటెక్చర్	architecture
కూడా	koodaa
కొంతకాలం	kontakaalam
చదివాడు	chadivaadu
</s>	</s>
వాణి	vaani
పత్రిక	patrika
సహాయ	sahaaya
సంపాదకులుగా	sampaadakulugaa
పనిచేశారు	panichaesaaru
</s>	</s>
బాల	baala
కార్మికులు	kaarmikulu
అనే	ane
పదం	padam
రోజువారీ	rojuvaaree
మరియు	mariyu
నిరంతర	nirantara
శ్రామికులుగా	sraamikulugaa
పనిచేసే	panichese
బాలలను	baalalanu
సూచిస్తుంది	soochistundi
</s>	</s>
తరువాత	taruvaata
కర్ణుడికి	karnudiki
పరశురాముడి	parasuraamudi
శాపంకూడా	saapamkoodaa
తగిలింది	tagilindi
</s>	</s>
సూర్యకాంతం	sooryakaantam
పువ్వు	puvvu
</s>	</s>
డాన్స్	dance
బేబి	baby
డాన్స్	dance
జీవితమొకటే	jeevitamokate
చాన్స్	chance
</s>	</s>
వారు	vaaru
ఎవ్వరూ	evvaroo
నిషిద్ధులుకారు	nishiddhulukaaru
</s>	</s>
ఇది	idi
కాక	kaaka
హరిద్వార్	haridwar
లో	lo
గల	gala
ముఖ్యమైన	mukhyamaina
శక్తి	sakti
పీఠాలుగా	peetaalugaa
అలరాలుతున్నవి	alaraalutunnavi
మాయాదేవి	maayaadevi
దేవాలయం	devaalayam
మరియు	mariyu
మానసదేవీ	manasadevi
ఆలయం	aalayam
</s>	</s>
రాష్ట్రీయ	raashtreeya
ఉద్యానవనం	udyaanavanam
పరిసర	parisara
ప్రాంతాలలో	praantaalalo
వ్యాపారపరమైన	vyaapaaraparamaina
ఆసక్తితో	aasaktito
ఆక్రమణలు	aakramanalu
కొనసాగాయి	konasaagaayi
</s>	</s>
2008	2008
సెప్టెంబరు	septemberu
17న	17na
ఏసికే	esike
మీడియా	media
వారి	vaari
వెబ్	web
సైట్	site
ప్రారంభించబడింది	praarambhinchabadindi
</s>	</s>
•	•
మొబైల్	mobile
గేమ్	game
ప్రోగ్రామర్లు	programmerlu
వీరు	veeru
యాండ్రాయిడ్	android
జె2యం.ఇ	j2m.e
వంటి	vanti
మొబైల్	mobile
గేమ్	game
ప్రోగ్రామింగ్	programming
వ్రాయగలిగియుండాలి	vraayagaligiyundaali
</s>	</s>
దక్షిణానికి	dakshinaaniki
ఉత్తరం	uttaram
మరియు	mariyu
ఉత్తరానికి	uttaraaniki
దక్షిణం	dakshinam
గా	gaa
గంగా-యమున	ganga-yamuna
తెహజీబ్	tehajeeb
గా	gaa
పిలవబడుతున్న	pilavabadutunna
తెలంగాణ	telangana
రాష్ట్ర	raashtra
రాజధాని	raajadhaani
హైదరాబాద్	hyderabad
భారతదేశంలోనే	bhaaratadesamlone
ప్రసిద్ధి	prasiddhi
చెందిన	chendina
నగరం	nagaram
</s>	</s>
ఉదాహరణకు	vudaaharanaku
ఈ	ee
వ్యాసం	vyaasam
ఒక	oka
జాలపుట	gaalaputa
</s>	</s>
రేపల్లెలో	repallelo
రాధ	raadha
</s>	</s>
పుస్తకం	pustakam
కవరు	kavaru
డిజైన్	design
మరియు	mariyu
లోపలి	lopali
బొమ్మలు	bommalu
లక్ష్మన్	lakshman
ఏలే	yele
వేశాడు	vesaadu
</s>	</s>
షీలా	sheila
దీక్షిత్	dixit
ఒక	oka
పంజాబీ	punjabee
ఖత్రి	khatri
కుటుంబంలో	kutumbamlo
భారతదేశం	bhaaratadesam
యొక్క	yokka
పంజాబ్	punjab
రాష్ట్రంలో	raashtramlo
కపుర్తలలో	kapurtalalo
జన్మించారు	janminchaaru
</s>	</s>
ఖానఖాహ్	khaanakhaah
</s>	</s>
ఫలితముగా	phalitamugaa
ఆమె	aame
గర్భము	garbhamu
ధరించి	dharinchi
నవమాసములు	navamaasamulu
మోసి	mosi
పుత్రరత్నమును	putraratnamunu
పొందెను	pondenu
</s>	</s>
కల్పవృక్షము	kalpavrukshamu
కోరిన	korina
కోరికలు	korikalu
ఇచ్చే	ichche
చెట్టు	chettu
</s>	</s>
ఒక	oka
పదానికి	padaaniki
అదే	adhe
అర్ధానిచ్చే	ardhaanichche
మరొక	maroka
పదాన్ని	padaanni
పర్యాయపదం	paryaayapadam
అంటారు	antaaru
</s>	</s>
అయితే	ayite
సౌర	saura
పౌనఃపున్య	paunahpunya
వర్ణపటం	varnapatam
6000	6000
K	k
వద్ద	vadda
దాదాపు	daadaapu
ఒక	oka
నల్లని	nallani
కుడ్య	kudya
వర్ణపుటం	varnaputam
అవుతుంది	avutundi
మరియు	mariyu
భూమికి	bhoomiki
చేరుకున్న	cherukunna
సౌర	saura
వికిరణం	vikiranam
సిలికాన్	silicon
యొక్క	yokka
పట్టీ	pattee
పోచుకోలు	pochukolu
కంటే	kante
అధిక	adhika
శక్తులతో	saktulato
ఫోటాన్లను	photonlanu
కలిగి	kaligi
ఉంటుంది	vuntundi
</s>	</s>
మొటిమలతో	motimalato
బాధపడేవారు	baadhapadevaaru
బూరుగు	boorugu
చెట్టుకుండే	chettukunde
ముల్లును	mullunu
బాగా	baagaa
అరగదీసి	aragadeesi
ఆ	aa
చూర్ణాన్ని	choornaanni
పట్టించినా	pattinchinaa
కూడా	koodaa
ఫలితం	phalitam
ఉంటుంది	vuntundi
</s>	</s>
ఛాయాగ్రహణం	chaayaagrahanam
ఎస్	s
గోపాలరెడ్డి	gopalareddy
</s>	</s>
ఔరంగజేబు	aurangajebu
తన	tana
సామ్రాజ్యంలో	saamraajyamlo
బలవంతంగా	balavantangaa
షరియా	shariyaa
చట్టం	chattam
అమలుకు	amaluku
తీసుకువచ్చాడు	teesukuvachchaadu
</s>	</s>
1885లో	1885lo
కోనన్	conan
డోయల్	doyle
టూయీ	tooyee
అని	ani
పిలవబడే	pilavabade
లూయిసా	luisaa
లేక	leka
లూయిస్	luis
హాకిన్స్	hawkins
ను	nu
వివాహం	vivaaham
చేసుకున్నాడు	chaesukunnaadu
</s>	</s>
ఆ	aa
సమయంలో	samayamlo
వీరు	veeru
బాగా	baagaa
తాగి	taagi
ఉంటారు	vuntaaru
</s>	</s>
ఆచార్య	aachaarya
నాగార్జునుడు	naagaarjunudu
శ్రీ	sree
పర్వతం	parvatam
వద్ద	vadda
ఏర్పాటుచేసిన	yerpaatuchesina
ప్రపంచ	prapancha
విశ్వవిద్యాలయానికి	visvavidyaalayaaniki
అధ్యక్షుడిగా	adhyakshudigaa
ఉన్నాడు	vunnaadu
</s>	</s>
సత్యధృతి	satyadhruti
మహాతప	mahaatapa
మొనరించి	monarinchi
ధనుర్వేదమును	dhanurvedamunu
వివిధాస్త్రములను	vividhaastramulanu
సాధించెను	saadhinchenu
</s>	</s>
క్విట్	quit
ఇండియా	india
ఉద్యమం	vudyamam
సందర్భంగా	sandarbhangaa
బాపట్లలో	baapatlalo
నాళం	naalam
రామచంద్రరావు	ramachandrarao
వేదాంతం	vedantam
వాసుదేవరావు	vasudevarao
లక్కరాజ	lakkaraja
భార్గవి	bhargavi
మనోహరరావు	manohararao
ఆచంట	achanta
రంగనాయకులు	ranganayakulu
నిర్బంధంలోకి	nirbandhamloki
తీసుకోబడ్డారు	teesukobaddaaru
</s>	</s>
బ్రాహ్మణేతర	braahmanetara
పూజారైన	poogaaraina
పోతరాజు	potaraaju
గ్రామదేవతల	graamadevatala
తమ్ముడిగా	tammudigaa
భావిస్తారు	bhaavistaaru
మంగళ	mangala
సూత్రధారణే	sootradhaarane
కాకుండా	kaakundaa
గావుపట్టు	gaavupattu
అనే	ane
కార్యక్రమాన్ని	kaaryakramaanni
కూడా	koodaa
నిర్వహిస్తాడు	nirvahistaadu
</s>	</s>
ఇందుగపల్లి	indugapalli
పేరుతో	perutho
ఉన్న	vunna
పేజీలు	pegeelu
</s>	</s>
అంటరాని	antaraani
కులాల	kulaala
ప్రత్యేక	pratyeka
ఓటింగ్	voting
హక్కును	hakkunu
అడ్డు	addu
కోవడానికి	kovadaaniki
గాంధీ	gandhi
ఉపవాస	upavaasa
దీక్ష	deeksha
పూని	pooni
ప్రాణాలు	praanaalu
తీసుకుంటానని	teesukuntaanani
భయ	bhaya
పెట్టారు	pettaaru
</s>	</s>
దీనినే	deenine
చంద్రమాసము	chandramaasamu
అంటారు	antaaru
</s>	</s>
ఫోటో	photo
బృందం	brundam
నరిసేటి	nariseti
నేతృత్వంలోని	netrutvamloni
ప్రదర్శన	pradarsana
సమూహం	samooham
యొక్క	yokka
భాగం	bhaagam
</s>	</s>
ఇతనికి	itaniki
ఇద్దరు	iddaru
కుమారులు	kumaarulu
</s>	</s>
క్లుయెట్	cluett
పీ	p
బాడీ	body
అండ్	&
కో	co
</s>	</s>
నాలుగు	naalugu
దశాబ్దాలుగా	dasaabdaalugaa
సాహిత్యంలో	saahityamlo
ఉన్న	vunna
ఆయన	aayana
19	19
పుస్తకాలు	pustakaalu
ప్రచురించారు	prachurinchaaru
</s>	</s>
తెలుగు	telugu
భాషలో	bhaashalo
ఒడి	odi
కి	ki
సంబంధించిన	sambandhinchina
వివిధ	vividha
ప్రయోగాలున్నాయి	prayogaalunnaayi
</s>	</s>
జోగినులకు	joginulaku
పుట్టిన	puttina
సంతానానికి	santaanaaniki
సామాజిక	saamaajika
గుర్తింపువ్వడం	gurtimpivvadam
</s>	</s>
ఇతనికి	itaniki
కృపలానీ	kripalani
ఇందిరాగాంధీ	indiragandhi
మొరార్జీదేశాయ్	morargeedesai
కరుణానిధి	karunanidhi
చరణ్	charan
సింగ్	singh
కామరాజర్	kamarajar
ఎంజీఆర్	mgr
జయలలిత	jayalalita
ఎన్టీఆర్	ntr
వాజ్‌పేయి	vajpeyi
అద్వానీ	advani
మోదీ	modi
వంటి	vanti
రాజకీయ	raajakeeya
నేతలతో	nethalatho
సత్సంబంధాలున్నాయి	satsambandhaalunnaayi
</s>	</s>
ఎంబెడింగ్	embedding
లీడర్‌షిప్	leadership
ఎక్స్‌లెన్స్	excellence
</s>	</s>
కానీ	kaanee
రిజర్వేషన్లను	reservationlanu
అణగారిన	anagaarina
వర్గాల	vargaala
హక్కులను	hakkulanu
అంగీకరించలేని	angeekarinchaleni
సవర్ణ	savarna
హిందువులు	hinduvulu
మరొక	maroka
కుట్రకు	kutraku
తెరతీశారు	terateesaaru
</s>	</s>
మొటిమలు	motimalu
చిన్నవి	chinnavi
పెద్దవి	peddavi
అని	ani
రెండు	rendu
రకాలుగా	rakaalugaa
ఉంటాయి	vuntaayi
</s>	</s>
అనేక	aneka
జాగ్రత్తలు	gaagrattalu
తీసుకున్నప్పటికీ	teesukunnappatikee
ఇక్కడ	ikkada
తరచూ	tarachoo
ప్రమాదాలు	pramaadaalu
సంభవిస్తున్నాయి	sambhavistunnaayi
</s>	</s>
అల్లు	allu
రామలింగయ్య	ramalingaiah
</s>	</s>
టీ.ఎన్.ఎల్	t.n.l
ఈ	ee
రోజు	roju
చరిత్రలో	charithralo
</s>	</s>
నిరంకుశత్వం	nirankusatvam
</s>	</s>
దీనిని	deenini
తగ్గించేందుకు	tagginchenduku
చాలా	chaalaa
దేశములు	desamulu
కూడా	koodaa
సహకరిస్తున్నాయి	sahakaristunnaayi
</s>	</s>
నాలుగు	naalugu
రోజులు	rojulu
తర్వాత	tarvaata
స్మాక్‌డౌన్	smackdown
</s>	</s>
లక్ష్మాపుర్	lakshmaapur
పేరుతో	peruto
చాలా	chaalaa
వ్యాసాలు	vyaasaalu
ఉన్నాయి	vunnaayi
ఆ	aa
వ్యాసాల	vyaasaala
జాబితా	jaabitaa
</s>	</s>
విశ్వవిద్యాలయం	visvavidyaalayam
నందు	nandu
విద్యను	vidyanu
అభ్యసించిన	abhyasinchina
తరువాత	taruvaata
విద్యార్ధులకు	vidyaardhulaku
డిగ్రీని	degreeni
అందచేయుటకు	andacheyutaku
జరుపుకొను	jarupukonu
ఉత్సవాన్ని	utsavaanni
స్నాతకోత్సవం	snaathakotsavam
అంటారు	antaaru
.	.
</s>	</s>
కాని	kaani
బొత్తిగ	bottiga
చేపలను	chepalanu
తినని	tinani
బ్రాహ్మణ	braahmana
కుటుంబములలో	kutumbamulalo
కూడా	koodaa
ఈ	ee
వ్యాధి	vyaadhi
వ్యాపించి	vyaapinchi
యుండుట	yunduta
చేత	cheta
ఈ	ee
సిద్ధాంతము	siddhaantamu
నిలువ	niluva
జాలదు	gaaladu
</s>	</s>
ఇతని	itani
తండ్రి	tandri
ప్రసన్న	prasanna
రాఘవాచార్య	raaghavaachaarya
ఉభయ	ubhaya
వేదాంత	vedaanta
పండితుడు	panditudu
</s>	</s>
మొఘల్	mughal
సామ్రాజ్యంతో	saamraajyamto
పోరాటాలు	poraataalu
చేసి	chesi
కొన్నాళ్లకు	konnaallaku
సంధి	sandhi
ఒప్పందాలు	voppandaalu
చేసుకుని	chesukuni
రాజపుత్రులు	raajaputrulu
బ్రిటీష్	british
వారు	vaaru
దేశాన్ని	desaanni
విడిచిపోయే	vidichipoye
వరకూ	varakoo
ఉత్తర	uttara
భారతదేశంలో	bhaaratadesamlo
సంస్థానాధీశులుగా	samsthaanaadheesulugaa
ఉనికిలోనే	unikilone
ఉన్నారు	vunnaaru
</s>	</s>
న్యూయార్క్	newyork
గవర్నర్	governor
అలాంజో	alanzo
కార్నెల్	kernel
ఈ	ee
ఉద్యమాన్ని	udyamaanni
వ్యరేకిస్తున్న	vyathirekistunna
అదే	adhe
సమయంలో	samayamlo
ప్రొఫెసర్	professor
చార్లెస్	charles
ఎలియాట్	eliot
నార్టన్	norton
మరియు	mariyu
ఓల్మ్‍స్టీడ్	olmsteed
ఈ	ee
ప్రజా	prajaa
ఉద్యమంలో	vudyamamlo
ప్రధాన	pradhaana
పాత్ర	paatra
వహించారు	vahinchaaru
</s>	</s>
అయితే	ayite
అది	adi
గొప్ప	goppa
ఆటగాడైన	aatagaadaina
డబల్యూ.జి.గ్రేస్	w.g.grace
ది	the
</s>	</s>
అయితే	ayitae
భూములు	bhoomulu
కోల్పోయిన	kolpoyina
ఇతర	itara
భూస్వాములు	bhoosvaamulu
ఆయనపై	aayanapai
కక్ష	kaksha
పెంచుకున్నారు	penchukunnaaru
</s>	</s>
భారత	bhaarata
విభజన	vibhajana
తరువాత	taruvaata
