ചാൾസ് തടാകം	Charles thadakom
വിവാഹത്തിനിഷ്ടമില്ലാതെ നിലവിളിക്കുന്ന കന്യകയെ ബലമുപയോഗിച്ചു തട്ടിക്കൊുപോകുന്നതാണ് രാക്ഷസം.	vivahathinishtamillathe nilavilikkunna kanyakaye balamupayogichu thattikondupokunnathanu raakshasam.
പക്ഷെ അതു ശരിയല്ലെന്നും ഉദരാർബുദം മൂർഛിക്കുന്നതിന്റെ ലക്ഷണങ്ങളായിരുന്നെന്നും അഭിപ്രായങ്ങളുണ്ട്.	pakshe athu sheriyallennum udhararbudham moorchikkunnathinte lakshanangalairunnennum abhiprayangalundu
ക്ഷേത്രത്തിലെ ഉൽസവവും സ്കൂൾ പരിസരത്ത് വെച്ച് നടത്താറുള്ള അയ്യപ്പൻ വിളക്കുമാണ് ഈ ഗ്രാമത്തിലെ പ്രധാന പരിപാടികൾ	kshethrathile ulsavavum school parisarath vechu nadatharulla Ayyappan vilakkumanu ee gramathile pradhana paripadikal
ഒ ആയ സിദ്ധാർത്ഥ് റോയ് കപൂറുമായി പ്രണയത്തിലാണെന്ന് വിദ്യ വെളിപ്പെടുത്തി.	O aaya Sidharth Roy Kapoorumayi pranayathilanenn vidhya velippeduthi.
അസ്സെംബ്ലി ഭാഷയും യന്ത്ര തല ഭാഷയും ഓരോരോ കമ്പ്യൂട്ടർ ആർക്കിടെക്ചറിനും വ്യത്യസ്തമാണ്.	Assembly bhashayum yanthra thala bhashayum oororo computer architechturinum vyathysthamanu.
നരേന്ദ്ര നാഥ ദീക്ഷിത്.	Narendra Nath Deekshith.
ഡ്രാക്കുളയ്ക്ക് ഇരുപത് ആളുകളുടെ ശക്തിയുണ്ട്.	Draculaykk erupath alukalude shakthiyundu.
നിക്കോട്ടിന്റെ വിഷവീര്യം നന്നായി പ്രകടമാവാൻ വെയിൽ ആവശ്യമാണ്.	Nicortinte vishaveeryam nannaye prakadamavan veyil avashyamanu.
അവയിൽ ജ്ഞാനവാദവീക്ഷണം വച്ച് എഴുതപ്പെട്ട സുവിശേഷങ്ങളും, വെളിപാടുകളും, സംവാദങ്ങളും, പ്രാർഥനകളും ഉണ്ടായിരുന്നു.	avayil njanavadhaveekshanom vachu yezhuthapetta suvisheshangalum, velipadukalum, samvadangalum, prarthanakalum undayirunnu.
ആലങ്കോട് ലീലാകൃഷ്ണൻ	Alamcode Leelakrishnan
ഇന്തോനേഷ്യയിലെ ബാലിയിലുള്ള ഒരു പർവ്വതമാണ് അഗുങ്ങ് പർവ്വതം അഥവാ ഗുനുങ്ങ് അഗുങ്ങ്.	Indonesiayile Baliyilulla oru parvathamanu Agung parvatham athava Gunung Agung.
ഈ തെരഞ്ഞെടുപ്പിൽ ടി.	ee theranjeduppil T.
ബുധൻ 7.73 കോടി കിലോമീറ്റർ വരെ ഭൂമിയോട് അടുത്തുവരാം.	budhan 7.73 Kodi kilometer vare bhumiyodu aduthuvaraam.
നംഗ്യാൽ ഇൻസ്റ്റിറ്റ്യൂട്ട് ഓഫ് ടിബെറ്റോളജി	Namgyal Institute of Tibetology
രാജഭരണകാലങ്ങളിൽ ഇത്തരം ശൈലികൾ കെടാതെ കാത്തു സൂക്ഷിക്കപ്പെട്ടെങ്കിലും, ആധുനിക യുഗത്തിൽ ശൈലികൾ അന്യോന്യം വളരെ കടം കൊണ്ടിട്ടുണ്ട്.	rajabharanakalangalil etheram shailikal kedathe kaathu sookshikkapettengilum, adhunika yugathil shailikal anyonyam valare kadom kondittundu.
പിന്നീട് കൂടിയാട്ടം ആചാര്യൻ പത്മശ്രീ ഗുരു മാണി മാധവ ചാക്യാരിൽ നിന്നും നേത്ര, രസാഭിനയത്തിലും വൈദഗ്ദ്ധ്യം നേടി.	pinnedu koodiyattom aacharyan Padmasri Guru Maani Madhava Chakyaril ninnum nethra, rasabhinayathilum vaidagthyam nedi.
കരാറുണ്ടാക്കപ്പെട്ടുവെങ്കിലും ഗോത്രവർഗ്ഗക്കാരിൽ ചിലർ വൻമതിലിന് തെക്കുള്ള പ്രദേശങ്ങളിലെ ആക്രമണം തുടർന്നു.	kararundakkappettuvengilum gothravargakkaril chilar vanmathilinu thekkulla pradeshangalile aakramanom thudarnu.
ഇത് വിക്രമാദിത്യ രാജാവിന്റെ തലസ്ഥാനമായിരുന്നു.	ethu Vikramadithya rajavinte thalasthanamayirunnu.
നീല / പച്ച നിറത്തിലുള്ള പുഷ്പങ്ങൾ ധാതുക്കളുടെ ചില രൂപങ്ങൾ ആയ ടർകോയിസിന്റെയും ജേഡിന്റെയും നിറവുമായി സമാനത കാണിക്കുന്നു.	neela / pacha niraththilulla pushpangal dhathukkalude chila roopangal aaya darkoisinteyum jadenteyum niravumaye samanatha kanikkunnu.
ഗ്രീക്കു സമൂഹത്തിൽ കൂടുതൽ സൂക്ഷ്മമായ മറ്റു പരിവർത്തനങ്ങൾക്കും യുദ്ധം കാരണമായി; ജനാധിപത്യത്തിന്റെ പക്ഷത്തു നിന്ന ആഥൻസും പ്രഭുവാഴ്ചയെ പിന്തുണച്ച സ്പാർട്ടയും തമ്മിലുള്ള ഈ പോരാട്ടത്തിനിടെ ഇരുപക്ഷവും മറ്റു നാടുകളിൽ തങ്ങളുടെ അനുഭാവികളെ പ്രോത്സാഹിപ്പിച്ചിരുന്നു.	Greek samuhathil kooduthal sukshmamaya mattu parivarththanangalkkum yudham karanamayi; janathipathyathinte pakshathu ninna Athensum prabhuvazhchaye pinthunacha Spartayum thamilulla ee porattaththinide erupakshavum mattu nadukalil njangalude anubhavikale prothsahippichirunnu.
ഓസ്കാർ അവാർഡ് ജേതാവ് എ.	Oscar Award jayathav A.
കാസർഗോഡിലെ തളങ്കര ഗ്രാമത്തിലുള്ള ശിലാശാസനം വരൾച്ചയെ തന്റേതായ രീതിയിൽ എതിർത്ത ഒരു റാണിയുടെ കഥ പറയുന്നു.	Kasarakodile Thalangara gramaththilulla shilashasanom varalchaye thantethaya reethiyil yethirththa oru raniyude katha parayunnu.
കുഴൽമന്ദം വിശ്വേശ്വരക്ഷേത്രം	Kuzhalmannom Vishweshwarakshethram
"ശ്രീയേശുനാഥ വിജയം" ബാലെ, "ദിവ്യനാദം', 'മഗ്‌ദലനമറിയം' എന്നിവയിൽ ക്രിസ്തീയ പ്രമേയങ്ങളാണ്‌ നൃത്തരൂപത്തിലാക്കിയത്‌.	"Sreeyeshunatha vijayam" bale, "Divyanatham', 'Magdalanamariam' yennivayil Christian prameyangalanu nirththaroopaththilakkiyath.
ലൂയിസിന്റെ മൂന്നാമത്തെ മകൻ ചാൾസ് ലൂയിസ്-നെപോളിയൻ ബോണപാർട്ട് (ജനനം 1808) നെപോളിയൻ മൂന്നാമൻ എന്നപേരിൽ രണ്ടാം ഫ്രഞ്ചു സാമ്രാജ്യത്തിന്റെ ചക്രവർത്തിയായി	Louisinte moonamaththe makan Charles Louis-Nepolean Bonoparte (jananom 1808) Nepolean moonaman yennaperil randam French samrajyaththinte chakravarththiyayi
മറ്റു ചില മനഃശാസ്ത്രജ്ഞർ ജീവിതത്തിലെ ചില പ്രത്യേക കാലഘട്ടങ്ങളെ (ഉദാ. ബാല്യം, കൗമാരം) മാത്രമേ ഈ പഠനത്തിനു വിധേയമാക്കുന്നുള്ളൂ.	mattu chila manashastranjar jeevithaththile chila prethyeka kalakhattangale (udaa. Balyam, kaumaram) mathrame ee padanaththinu vidheyamakkunnullu.
പ്രണവം ഇന്റർനാഷണലിന്റെ ബാനറിൽ സുചിത്ര മോഹൻലാൽ നിർമ്മിച്ച ഈ ചിത്രം പ്രണവം മൂവീസ് ആണ് വിതരണം ചെയ്തത്.	Pranavam Internationalinte banneril Suchitra Mohanlal nirmicha ee chithram Pranavam Movies aanu vithraranam cheythathu.
സംസ്ഥാനങ്ങൾ ഉണ്ടാക്കിയ ചില ചട്ടങ്ങൾ താഴെ കൊടുക്കുന്നു.	samsthanangal undakkiya chila chattangal thazhe kodukkunnu.
1782 -ൽ ബ്രിട്ടീഷുകാർ ഉപരോധം നടത്തുന്നവരെ ആക്രമിച്ചതിനോടൊപ്പം 1000 പേർ അടങ്ങുന്ന പഴശ്ശിരാജാവിന്റെ സേന പിന്നിലൂടെയും ആക്രമണം നടത്തി.	1782 -il Britishukar uparodham nadaththunnavare aakramichathinodoppam 1000 per adangunna Pazhashirajavinte sena pinniludeyum aakramanam nadaththi.
അടിയന്തരാവസ്ഥക്കാലത്ത് ജയിൽവാസമനുഷ്ഠിച്ചിട്ടുണ്ട്.	adiyantharaavasthakkalathth jailvaasamanushttichittundu.
ഫിർദോസി ഉദ്ദേശിച്ചിരിക്കുന്ന സമൻ‌ഗാൻ ഇതാണെങ്കിൽ, ഷാ നാമയിലെ പോരാട്ടം, സിസ്താനിലെ റുസ്തമിന്റെ കുടുംബവും, ഇന്നത്തെ വടക്കൻ അഫ്ഗാനിസ്താനിലും അതിനു വടക്കായുമുള്ള തുർക്കിക് വംശജരും തമ്മിലാണ്.	Firdousy udheshichirunna Samangaan ethanengil, Sha Namaile porattam, Sisthanile Rusthaminte kudumbavum, ennathe vadakkan Afganisthanilum athinu vadakkayulla Turkeykk vamsajarum thammilanu.
ഇതിനെതിരായി റഷ്യൻ ഓർത്തഡോക്സ് സഭ ശക്തമായി രംഗത്തു വന്നു.	ethinethirai Russian orthadox sabha sakthamai rangathu vannu.
പ്രോഗ്രാമിലെ ചരങ്ങൾക്ക് അർഥസംപുഷ്ടമായ വാക്കുകൾ തിരഞ്ഞെടുക്കുന്നതാണ് ഉത്തമം.	programile charangalkku arthasampushtamaya vakkukal thiranjedukunnathanu uthamam.
ജർമനിയിലെ കസേലിൽ അഞ്ചു വർഷത്തിലൊരിക്കൽ നടക്കുന്ന കലാപ്രദർശനമായ ഡോക്യുമെന്റയുടെ അവസാന മൂന്നു പതിപ്പുകളിൽ പങ്കെടുത്തു.	Germanyile Kasselil anju varshathilorikkal nadakkunna kalapradarshanamaya documentriude avasana moonnu pathippukalil pangeduthu.
പ്രാഥമിക തരംഗങ്ങളുടെ വേഗം കൂടുതലാണ്; കമ്പനം സഞ്ചരണദിശയിലേക്കുതന്നെ ആയിരിക്കും.	pradamika tharangangalude vegam kooduthalanu; kambanam sanjaranadishayilekkuthanne airikkum.
കാഥി ഹാർഡക്കറെക്ക് വിസിൽബ്ലോവർ മൂലം നഴ്സിങ് ജോലി നഷ്ടപ്പെടുന്നു.	Kadhi Hardekkarek Whistleblower moolam nursing joly nashttapedunnu.
ഡൽഹി സർവകലാശാലയിൽ ധനതത്ത്വശാസ്ത്ര പ്രൊഫസറായും ഇൻസ്റ്റിറ്റ്യൂട്ട് ഒഫ് ഇക്കണോമിക് ഗ്രോത്തിന്റെ ഡയറക്ടറായും സേവനം അനുഷ്ഠിച്ചിട്ടുണ്ട്.	Delhi sarvakalasalail dhanathatvashasthra professorayum Institute of Economic Growthinte directorayum sevanam anishtichitundu.
ഗുഹയ്ക്കുള്ളിലെ പാറയിൽനിന്നു സൂക്ഷ്മ ജീവികൾ വേർതിരിച്ചെടുത്തതാവാം ഇരുമ്പിന്റെ അംശം എന്നുകരുതുന്നു.	guhaikkullile parayilninnum sooshma jeevikal verthiricheduthathavam irumbinte amsham ennukaruthunnu.
അങ്കോളയിലാകെ പ്രവർത്തിലുള്ള ഏക ദേശീയോദ്യാനം ഇതു മാത്രമാണ്.	Angolayilake pravarthiylulla yeka deshiyodyanam ethu matramanu.
യഹൂദരുടെ ഏറ്റവും പുണ്യദിനമായ യോം കിപ്പൂർ നാളിൽ മിന്നലാക്രമണം നടത്തി മുന്നേറുക എന്ന തന്ത്രമാണ് അറബ് രാജ്യങ്ങൾ നടത്തിയത്.	Yehudarude yettavum punyadinamaya Yom Kippur nalil minnalakramanam nadathi munneruka enna thandramanu Arab rajyangal nadathiyathu.
ഏതായാലും പടിഞ്ഞാറുഭാഗത്തെ ഗോപുരങ്ങൾ തകർന്ന നിലയിലാണ്.	yethayalum padinjarubhagathe gopurangal thakarnna nilayilanu.
എന്നാൽ സമർഥനായ അൽബുക്ക്വർക്കി കേരളത്തിലെ പോർച്ചുഗീസ് താൽപര്യം സംരക്ഷിക്കുന്നതിനായി 1513-ൽ സാമൂതിരിയുമായി ഉടമ്പടി ഉണ്ടാക്കി.	yennal samarthanaya Albuquerque Keralathile Portugese thalparyam samrakshikkunnathinayi 1513-il samuthiriyumai udambadi undakki.
1950 ജൂലൈ 16ന് ബ്രസീലിലെ റിയോ ഡി ജനീറോയിലുള്ള മരാക്കാനാ സ്റ്റേഡിയത്തിൽ വച്ചായിരുന്നു മത്സരം.	1950 July 16nu Brassilile Riyo D Jeniroyilulla Maraccana stadiyathil vachayirunnu malsaram.
മാമൂലെക്ക് എന്നറിയപ്പെട്ടിരുന്ന നാടുവാഴികളായിരുന്നു.	Mamulek yennariyapettirunna naduvazhikalayirunnu.
1972-ൽ ബാംഗ്ലൂരിൽ ഇന്ത്യൻ ഇൻസ്റ്റിറ്റിയൂട്ട് ഓഫ് മാനേജ്‌മെന്റ് സ്ഥാപക ഡയറക്ടറായി.	1972-il Bangaloril Indian institute of management sthapaka directorayi.
2014 ഐപിഎലിൽ കൊൽക്കത്ത നൈറ്ര് റൈഡേഴ്സിനു വേണ്ടിയായിരിക്കും വിനയ് കളിക്കുക.	2014 IPLil Kolkata knight ridersinu vendiyairikkum Vinay kalikkuka
ഗുജറാത്ത് കലാപത്തെ കുറിച്ചുള്ള റാണയുടെ ഫീച്ചർ എക്കാലത്തെയും 20 മികച്ച മാസികാ ഫീച്ചറുകളിലൊന്നായി ഔട്ട്‍ലുക്ക് മാസിക തെരഞ്ഞെടുത്തിരുന്നു.	Gujarat kalapathe kurichulla Ranayude feature yekkalatheyum 20 mikacha masika featurukalilonnai Outlook masika thiranjeduthirunnu.
നോവലിസ്റ്റും കഥാകൃത്തും ഗാനരചയിതാവുമായിരുന്നു രാജീവൻ കാഞ്ഞങ്ങാട്.	Novalistum kadhakrithum ganarachaithavumairunnu Rajeevan Kanjangadu.
വളരെ വൈകിയാണ് മറാഠികൾ ദത്തയുടെ കാവ്യ വ്യക്തിത്വം തിരിച്ചറിഞ്ഞത്.	valare vaikiyanu Maratikal Dhathayude kavya vyakthithvam thiricharinjathu.
മലോട്ടു നോർത്ത്	Malottu North
ഈ ചെടികളിൽ ഉള്ള വിഷാംശം ഈ പൂമ്പാറ്റകളുടെ ശരീരത്തിൽ എത്തുന്നതിനാൽ മറ്റ് പക്ഷികൾ ഇവയെ പൊതുവെ ആഹാരമാക്കാറില്ല.	ee chedikalil ulla vishamsham ee pumbattakalude shareerathil yethunnathinal mattu pakshikal evaye pothuve aharamakkarilla.
ഒരിക്കൽ ആയോധന പരിശീലത്തിൽ ഏർപ്പെട്ടിരുന്ന അയാസിനെ നോക്കി ഹൈദരലി , "നീ അവനെ കണ്ടു പഠിക്കണമെന്ന്" പറഞ്ഞതായി ഒരു കഥ പ്രചാരത്തിലുണ്ട്‌.	orikkal ayodhana parisheelanathil yerpettirunna Ayaasine nokki Haidarali , "nee avane kandu padikkanamennu" paranjathai oru kadha pracharathilundu.
ഹീബ്രു വിഭാഗക്കാർ പല്ലുവേദനയ്ക്ക് വിനാഗിരി പുരട്ടിയിരുന്നതായും സ്വർണം, വെള്ളി, തടി എന്നിവകൊണ്ടുള്ള കൃത്രിമ ദന്തങ്ങൾ വച്ചുപിടിപ്പിച്ചിരുന്നതായും രേഖപ്പെടുത്തിക്കാണുന്നു.	Hebrew vibhagakkar palluvedanayku vinagiri purattiyirunnathayum swarnam, velly, thadi yennivakondu krithrima denthangal vachupidipichirunnathayum rekhapeduthiyrunnu.
ഓണേഴ്‌സ് പാസായി.	Honours passai.
ഒരു സാമ്പത്തികവിദഗ്ദ്ധ കൂടിയായിരുന്ന ഇവർ 1993-ൽ തുർക്കിയുടെ പ്രധാനമന്ത്രിസ്ഥാനത്തെത്തി.	Oru sambathikavidaktha koodiyayirunna evar 1993-il Turkeyude pradhanamantristhanathethi
ഈ നീളത്തെ ലോക്കൽ ലൂപ്പ് ദൂരം എന്ന് പറയുന്നു.	Ee neelathe local loop duram yennu parayunnu.
രണ്ടാം ദേവാലയത്തിന്റെ ചുവർ മാത്രമാണ് അവശേഷിച്ചത്.	Randam devalayathinte chuvar matramanu avaseshichathu.
ഇഡാഫോസോറുകളെപ്പോലെ ഡൈമെട്രോഡോണുകൾക്കും ശരീരത്തിന്റെ ഉപരിഭാഗത്ത് മുഴകൾപോലെയുള്ള 'തുഴ'കൾ ഉണ്ടായിരുന്നു.	Edaphosaurukalepole Dimetrodonukalkkum shareerathinte uparibhagathu muzhakalpoleyulla 'thuzha'kal undairunnu.
ഡച്ചുകാരുടെ ആക്രമണത്തിനു ശേഷം നിർമ്മിക്കപ്പെട്ട കാവിനു മുമ്പിൽ വിശാലമായ ഒരു കുളമുണ്ടായിരുന്നു.	Dutchukarude aakramanathinu shesham nirmikkapetta kavinu mumbil vishalamaya oru kulamundayirunnu.
ഇതിൽ കുറച്ചുഭാഗം ചെറുകുടലിലൂടെ ഭാഗികമായി ആഗിരണം ചെയ്യപ്പെടുന്നു.	ethil kurachubhagam cherukudaliloode bhagikamaye aagiranam cheyyapedunnu.
നാടൻ ഭാഷയായിരുന്ന തമിഴിനേയും സംസ്കൃതത്തേയും ഈ സഭകൾ ഒന്നുപോലെ പരിപോഷിപ്പിച്ചു.	nadan bhashayayirunna thamizhineyum samskrithatheyum ee sabhakal onnupole pariposhipichu.
പത്താം നൂറ്റാണ്ടിൻറെ അവസാനത്തിൽ ബുദ്ധമത അധ്യാപകനായ അതിഷ രാഹുലഗുപ്തയിൽനിന്നും ബുദ്ധ ധ്യാനം പഠിക്കാനായി കൃഷ്ണഗിരി വിഹാരയിൽ എത്തി.	Pathaam noottandinte avasanathil Budhamatha adyapakanaya Athish Rahulagupthayilninnum Budha dyanam padikkanaye Krishnagiri viharayil yethi.
മദർ തെരേസാ ഹോം(അനാഥ കുട്ടികൾക്ക്)	Mother Teresa Home(Anatha kuttikalkku)
ബ്ലാക്ക് സ്വാൻ മത്സര വിഭാഗത്തിൽ പങ്കെടുത്തു.	Black swan malsara vibhagathil pangeduthu.
11-ാം ശതകത്തിൽ ജീവിച്ചിരുന്ന ഭോജൻ രചിച്ച സരസ്വതീകണ്ഠാഭരണത്തിൽ ത്രിവിക്രമഭട്ടനെപ്പറ്റി പ്രതിപാദിക്കുന്നു.	11-aam shadakathil jeevichirunna Bhojan rachicha saraswathikandabharanathil Trivikramabhattanepatti prathipadhikkunnu.
എന്നാൽ ചുരുക്കം ചില അവസാദസ്തരങ്ങൾ മേല്പറഞ്ഞവയുടെ സമ്പന്നനിക്ഷേപങ്ങളായും കണ്ടുവരുന്നു.	yennal churukkam chila avasadastharangal melparanjavayude sambannanikshepangalayum kanduvarunnu.
വെളുത്തഇണ്ടിക്കണ്ടപ്പൻ	Veluthaindikandappan
1959-ൽ ഇഖാലിയർ (Echalier) പഴ ഈച്ചയുടെ ഭ്രൂണത്തിൽ നിന്നു വികസിപ്പിച്ചെടുത്ത ഭ്രൂണ സെൽ ലൈനുകൾ ഇന്ന് അതുപോലെയുള്ള ധാരാളം കോശ കച്ചറുകൾക്ക് അടിസ്ഥാനമായി.	1959-il Ekhalier (Echalier) pazha eechayude bhrunathil ninnum vikasipichedutha bhruna cell linukal ennu athupoleyulla dharalam kosha kacharukalkku adisthanamai.
ഫ്രാൻസിസ് ന്യൂട്ടൺ സൂസ, എസ്.	Francis Newton Souza, S.
1793-ലെ കരാറു പുതുക്കലിലൂടെ ഈസ്റ്റ് ഇന്ത്യാ കമ്പനിക്ക് ചാർത്തിക്കിട്ടിയ പ്രത്യേകാനൂകൂല്യങ്ങൾക്കെതിിരായി വ്യാപാരികളുും ക്രിസ്ത്യൻ മിഷണറിമാരും പല തരം ആരോപണങ്ങളും ഉയർത്തി.	1793-le kararu puthukkalilude East India companykku charthikittiya prathyekanukulyangalkethirayi vyaparikalum christian missionerimarum pala tharam aropanangalum uyarthi.
1990കളിൽ പുനഃരുദ്ധാരണത്തിന്റെ പാതയിലായിരുന്നു റോയൽ എക്സിബിഷൻ മന്ദിരം.	1990kalil punarudharanathinte pathayilairunnu Royal exhibition mandiram.
എന്നാൽ ഇന്ന് ഏതാനും കോശങ്ങൾ മാത്രം ഒരു ജീവിയിൽ നിന്നെടുത്ത് ലക്ഷോപലക്ഷമായി കൾച്ചർ ചെയ്ത് വൻതോതിൽ ഈ വാക്സിനുകൾ വികസിപ്പിച്ചെടുക്കാനാവും.	yennal ennu yethanum koshangal matram oru jeeviyil ninneduthu lakshopalakshamayi culture cheythu vanthothil ee vaccinukal vikasipichedukkanavum.
വിക്ടർ വൈറ്റ്ചർച്ച്, ജി.	Victor White Church,G.
ഈ സോഫ്റ്റ്വെയറുകൾ ഉപയോഗിച്ചാണ് മറ്റുള്ള കമ്പ്യൂട്ടറുകളുമായുള്ള ബന്ധം ഉപയോക്താവ് സാധിച്ചെടുക്കുന്നത്.	Ee softwarukal upayogichanu mattulla computerukalumayulla bantham upayokthavu sadhichedukkunnathu.
അതിലൂടെ യൗവനാരംഭത്തിലുള്ള പെൺകുട്ടികൾക്ക് അവരുടെ പ്രശ്നങ്ങൾ പങ്കുവെക്കാനായി.	Athiloode yawanarambhathilulla penkuttikalku avarude prashnangal panguvaikkanayi.
പത്മശ്രീ മാണി മാധവ ചാക്യാർ ഉൾപ്പെടെ പ്രഗല്ഭരായ ഗുരുക്കളുടെശിക്ഷണത്തിലാണ് കല പഠിച്ചത്.	Padmasree Mani Madhava Chakyar ulpede pragalbharaya gurukkaludeshikshanathilanu kala padichathu.
ഈ കാലഘട്ടത്തിൽ സൈനികസന്ധികൾ, കുപ്രചരണം, ചാരവൃത്തി, ആയുധകിടമത്സരം, വ്യവസായിക പുരോഗതി, ബഹിരാകാശപ്പന്തയം പോലുള്ള അത്യാധുനിക സാങ്കേതികവിദ്യാ വികസനമത്സരം എന്നിവ വഴി പരസ്പരമുള്ള ശത്രുത രണ്ടു വൻശക്തികളും പ്രകടമാക്കിപ്പോന്നിരുന്നു.	ee kalakhattathil sainikasanthikal, kupracharanam, chaaravruthi, ayudhakidamalsaram, vyavasayika purogathi, bahirakashapanthayam polulla athyadhunika sankethikavidya vikasanamalsaram yenniva vazhi parasparamulla shathrutha randu vanshakthikalum prakadamakkiponnirunnu.
പിൻചിറകിന്റെ പുറത്ത് അരികത്തായി ചെറു പുള്ളികളുടെ നിര കാണാം.	pinchirakinte purathu arikathai cheru pullikalude nira kanaam.
