അടിമത്തവ്യവസ്ഥയുടെ	adimathavyavasthayude
തുറന്നുകാട്ടലും	thurannukaattalum
നിശിതവിമർശനവുമാണ്	nishithavimarshanavumanu
</s>	</s>
ആർദ്രഭാവങ്ങൾ	aardrabhavangal
</s>	</s>
ഏഫിഡുകൾ	aphidukal
മുഞ്ഞ	munja
മിലി	mili
മൂട്ട	mootta
തണ്ടുതുരപ്പൻ	thanduthurappan
പുഴു	puzhu
ഇലപ്പേൻ	elappeen
തുടങ്ങിയ	thudangiya
കീടങ്ങളെ	keedangale
പുകയില	pukayila
കഷായം	kashayam
ഉപയോഗിച്ച്	upayogichu
നിയന്ത്രിക്കാം	niyandrikkam
</s>	</s>
സ്പാനിഷ്	spanish
സിംഹാസനത്തിൽ	simhasanathil
സ്വന്തം	swantham
സഹോദരൻ	sahodharan
ജോസെഫിനെ	josephine
പ്രതിഷ്ഠിച്ചു	pradishttichu
.	.
</s>	</s>
പൈപ്പർ	piper
ഐലന്റ്സ്	island
ദേശീയോദ്യാനം	deshiyodhyanam
ആസ്ത്രേലിയയിലെ	australiayile
ഫാർ	far
നോർത്ത്	north
ക്യൂൻസ്	queens
ലാന്റിലുള്ള	landilulla
ഒരു	oru
ദേശീയോദ്യാനമാണ്	deshiyodhyanaman
</s>	</s>
മൊഹമ്മദ്	muhammad
ആല	ala
</s>	</s>
കൊട്ടാരക്കര	kottarakara
ശ്രീധരൻ	sreedharan
നായർ	nair
</s>	</s>
ലങ്കാഷെയറിലെ	lancashirile
ബ്ലാക്ക്പൂളിൽ	blackpoolil
കാരെൻ	karen
കെയ്ത്	keith
കോൾമാൻ	coleman
എന്നിവരുടെ	ennivarude
പുത്രിയായി	puthriyaye
ജെന്ന	jenny
കോൾമാൻ	coleman
ജനിച്ചു	jenichu
</s>	</s>
ബങ്കാ	banga
കടലിടുക്ക്	kadalidukk
വേർതിരിക്കപ്പെടുന്ന	verthirikkappedunna
സുമാത്രയുടെ	sumatrayude
കിഴക്കൻ	kizhakkan
തീരത്തോട്	theerathod
അടുത്താണ്	aduthanu
ബങ്കാ	banga
സ്ഥിതിചെയ്യുന്നത്	sthithicheyunnathu
</s>	</s>
കട്ടക്ക്	cuttak
ജഗത്പൂർ)-സാലിപ്പൂർ	jagatpur)-salipur
ഹൈവേ	highway
നാഷണൽ	national
ഹൈവേ	highway
5	5
5-എ	5-a
എന്നീ	ennee
റോഡുകളിലൂടെ	roadikaliloode
ചാന്ദിഖോൾ	chandikhol
ഛാത്ത	chaththa
പരദിപ്	paradeep
എന്നീ	yennee
പട്ടണങ്ങളിലുടെ	pattanangaliloode
സഞ്ചരിച്ച്	sanjarichu
കേന്ദ്രപ്പാറയിലെത്തിച്ചേരാൻ	kendraparayilethicheran
സാധിക്കുന്നതാണ്	sadhikkunnathanu
</s>	</s>
ശരീരം	shareeram
വിഘടീക്കുമ്പോൾ	vikhadikkumbol
മനുഷ്യൻ	manushyan
ഇല്ലാതെയാകുന്നു	ellaatheyakunnu
</s>	</s>
പത്താം	pathaam
നൂറ്റാണ്ടിൽ	noottandil
ഷാ	sha
നാമെ	namey
എന്ന	yenna
പേരിൽ	peril
തന്നെ	thanne
നിരവധി	niravadhi
ഗ്രന്ഥങ്ങൾ	grandhangal
രചിക്കപ്പെട്ടിട്ടുണ്ട്	rachikkapettitundu
</s>	</s>
വിവാഹത്തിനിഷ്ടമില്ലാതെ	vivahathinishtamillathe
നിലവിളിക്കുന്ന	nilavilikkunna
കന്യകയെ	kanyakaye
ബലമുപയോഗിച്ചു	balamupayogichu
തട്ടിക്കൊുപോകുന്നതാണ്	thattikondupokunnathanu
രാക്ഷസം	raakshasam
</s>	</s>
പക്ഷെ	pakshe
അതു	athu
ശരിയല്ലെന്നും	sheriyallennum
ഉദരാർബുദം	udhararbudham
മൂർഛിക്കുന്നതിന്റെ	moorchikkunnathinte
ലക്ഷണങ്ങളായിരുന്നെന്നും	lakshanangalairunnennum
അഭിപ്രായങ്ങളുണ്ട്	abhiprayangalundu
</s>	</s>
ക്ഷേത്രത്തിലെ	kshethrathile
ഉൽസവവും	ulsavavum
സ്കൂൾ	school
പരിസരത്ത്	parisarath
വെച്ച്	vechu
നടത്താറുള്ള	nadatharulla
അയ്യപ്പൻ	ayyappan
വിളക്കുമാണ്	vilakkumanu
ഈ	ee
ഗ്രാമത്തിലെ	gramathile
പ്രധാന	pradhana
പരിപാടികൾ	paripadikal
</s>	</s>
ഒ	o
ആയ	aaya
സിദ്ധാർത്ഥ്	sidharth
റോയ്	roy
കപൂറുമായി	kapoorumayi
പ്രണയത്തിലാണെന്ന്	pranayathilanenn
വിദ്യ	vidhya
വെളിപ്പെടുത്തി	velippeduthi
</s>	</s>
അസ്സെംബ്ലി	assembly
ഭാഷയും	bhashayum
യന്ത്ര	yanthra
തല	thala
ഭാഷയും	bhashayum
ഓരോരോ	oororo
കമ്പ്യൂട്ടർ	computer
ആർക്കിടെക്ചറിനും	architechturinum
വ്യത്യസ്തമാണ്	vyathysthamanu
</s>	</s>
നരേന്ദ്ര	narendra
നാഥ	nath
ദീക്ഷിത്	deekshith
</s>	</s>
ഡ്രാക്കുളയ്ക്ക്	draculaykk
ഇരുപത്	erupath
ആളുകളുടെ	alukalude
ശക്തിയുണ്ട്	shakthiyundu
</s>	</s>
നിക്കോട്ടിന്റെ	nicortinte
വിഷവീര്യം	vishaveeryam
നന്നായി	nannaye
പ്രകടമാവാൻ	prakadamavan
വെയിൽ	veyil
ആവശ്യമാണ്	avashyamanu
</s>	</s>
അവയിൽ	avayil
ജ്ഞാനവാദവീക്ഷണം	njanavadhaveekshanom
വച്ച്	vachu
എഴുതപ്പെട്ട	yezhuthapetta
സുവിശേഷങ്ങളും	suvisheshangalum
വെളിപാടുകളും	velipadukalum
സംവാദങ്ങളും	samvadangalum
പ്രാർഥനകളും	prarthanakalum
ഉണ്ടായിരുന്നു	undayirunnu
</s>	</s>
ആലങ്കോട്	alamcode
ലീലാകൃഷ്ണൻ	leelakrishnan
</s>	</s>
ഇന്തോനേഷ്യയിലെ	indonesiayile
ബാലിയിലുള്ള	baliyilulla
ഒരു	oru
പർവ്വതമാണ്	parvathamanu
അഗുങ്ങ്	agung
പർവ്വതം	parvatham
അഥവാ	athava
ഗുനുങ്ങ്	gunung
അഗുങ്ങ്	agung
</s>	</s>
ഈ	ee
തെരഞ്ഞെടുപ്പിൽ	theranjeduppil
ടി	t
</s>	</s>
ബുധൻ	budhan
7.73	7.73
കോടി	kodi
കിലോമീറ്റർ	kilometer
വരെ	vare
ഭൂമിയോട്	bhumiyodu
അടുത്തുവരാം	aduthuvaraam
</s>	</s>
നംഗ്യാൽ	namgyal
ഇൻസ്റ്റിറ്റ്യൂട്ട്	institute
ഓഫ്	of
ടിബെറ്റോളജി	tibetology
</s>	</s>
രാജഭരണകാലങ്ങളിൽ	rajabharanakalangalil
ഇത്തരം	etheram
ശൈലികൾ	shailikal
കെടാതെ	kedathe
കാത്തു	kaathu
സൂക്ഷിക്കപ്പെട്ടെങ്കിലും	sookshikkapettengilum
ആധുനിക	adhunika
യുഗത്തിൽ	yugathil
ശൈലികൾ	shailikal
അന്യോന്യം	anyonyam
വളരെ	valare
കടം	kadom
കൊണ്ടിട്ടുണ്ട്	kondittundu
</s>	</s>
പിന്നീട്	pinnedu
കൂടിയാട്ടം	koodiyattom
ആചാര്യൻ	aacharyan
പത്മശ്രീ	padmasri
ഗുരു	guru
മാണി	maani
മാധവ	madhava
ചാക്യാരിൽ	chakyaril
നിന്നും	ninnum
നേത്ര	nethra
രസാഭിനയത്തിലും	rasabhinayathilum
വൈദഗ്ദ്ധ്യം	vaidagthyam
നേടി	nedi
</s>	</s>
കരാറുണ്ടാക്കപ്പെട്ടുവെങ്കിലും	kararundakkappettuvengilum
ഗോത്രവർഗ്ഗക്കാരിൽ	gothravargakkaril
ചിലർ	chilar
വൻമതിലിന്	vanmathilinu
തെക്കുള്ള	thekkulla
പ്രദേശങ്ങളിലെ	pradeshangalile
ആക്രമണം	aakramanom
തുടർന്നു	thudarnu
</s>	</s>
ഇത്	ethu
വിക്രമാദിത്യ	vikramadithya
രാജാവിന്റെ	rajavinte
തലസ്ഥാനമായിരുന്നു	thalasthanamayirunnu
</s>	</s>
നീല	neela
/	/
പച്ച	pacha
നിറത്തിലുള്ള	niraththilulla
പുഷ്പങ്ങൾ	pushpangal
ധാതുക്കളുടെ	dhathukkalude
ചില	chila
രൂപങ്ങൾ	roopangal
ആയ	aaya
ടർകോയിസിന്റെയും	darkoisinteyum
ജേഡിന്റെയും	jadenteyum
നിറവുമായി	niravumaye
സമാനത	samanatha
കാണിക്കുന്നു	kanikkunnu
</s>	</s>
ഗ്രീക്കു	greek
സമൂഹത്തിൽ	samuhathil
കൂടുതൽ	kooduthal
സൂക്ഷ്മമായ	sukshmamaya
മറ്റു	mattu
പരിവർത്തനങ്ങൾക്കും	parivarththanangalkkum
യുദ്ധം	yudham
കാരണമായി	karanamayi
ജനാധിപത്യത്തിന്റെ	janathipathyathinte
പക്ഷത്തു	pakshathu
നിന്ന	ninna
ആഥൻസും	athensum
പ്രഭുവാഴ്ചയെ	prabhuvazhchaye
പിന്തുണച്ച	pinthunacha
സ്പാർട്ടയും	spartayum
തമ്മിലുള്ള	thamilulla
ഈ	ee
പോരാട്ടത്തിനിടെ	porattaththinide
ഇരുപക്ഷവും	erupakshavum
മറ്റു	mattu
നാടുകളിൽ	nadukalil
തങ്ങളുടെ	njangalude
അനുഭാവികളെ	anubhavikale
പ്രോത്സാഹിപ്പിച്ചിരുന്നു	prothsahippichirunnu
</s>	</s>
ഓസ്കാർ	oscar
അവാർഡ്	award
ജേതാവ്	jayathav
എ	a
</s>	</s>
കാസർഗോഡിലെ	kasarakodile
തളങ്കര	thalangara
ഗ്രാമത്തിലുള്ള	gramaththilulla
ശിലാശാസനം	shilashasanom
വരൾച്ചയെ	varalchaye
തന്റേതായ	thantethaya
രീതിയിൽ	reethiyil
എതിർത്ത	yethirththa
ഒരു	oru
റാണിയുടെ	raniyude
കഥ	katha
പറയുന്നു	parayunnu
</s>	</s>
കുഴൽമന്ദം	kuzhalmannom
വിശ്വേശ്വരക്ഷേത്രം	vishweshwarakshethram
</s>	</s>
ശ്രീയേശുനാഥ	sreeyeshunatha
വിജയം	vijayam
ബാലെ	bale
ദിവ്യനാദം	divyanatham
മഗ്‌ദലനമറിയം	magdalanamariam
എന്നിവയിൽ	yennivayil
ക്രിസ്തീയ	christian
പ്രമേയങ്ങളാണ്‌	prameyangalanu
നൃത്തരൂപത്തിലാക്കിയത്‌	nirththaroopaththilakkiyath
</s>	</s>
ലൂയിസിന്റെ	louisinte
മൂന്നാമത്തെ	moonamaththe
മകൻ	makan
ചാൾസ്	charles
ലൂയിസ്-നെപോളിയൻ	louis-nepolean
ബോണപാർട്ട്	bonoparte
ജനനം	jananom
1808	1808
നെപോളിയൻ	nepolean
മൂന്നാമൻ	moonaman
എന്നപേരിൽ	yennaperil
രണ്ടാം	randam
ഫ്രഞ്ചു	french
സാമ്രാജ്യത്തിന്റെ	samrajyaththinte
ചക്രവർത്തിയായി	chakravarththiyayi
</s>	</s>
മറ്റു	mattu
ചില	chila
മനഃശാസ്ത്രജ്ഞർ	manashastranjar
ജീവിതത്തിലെ	jeevithaththile
ചില	chila
പ്രത്യേക	prethyeka
കാലഘട്ടങ്ങളെ	kalakhattangale
ഉദാ	udaa
ബാല്യം	balyam
കൗമാരം	kaumaram
മാത്രമേ	mathrame
ഈ	ee
പഠനത്തിനു	padanaththinu
വിധേയമാക്കുന്നുള്ളൂ	vidheyamakkunnullu
</s>	</s>
പ്രണവം	pranavam
ഇന്റർനാഷണലിന്റെ	internationalinte
ബാനറിൽ	banneril
സുചിത്ര	suchitra
മോഹൻലാൽ	mohanlal
നിർമ്മിച്ച	nirmicha
ഈ	ee
ചിത്രം	chithram
പ്രണവം	pranavam
മൂവീസ്	movies
ആണ്	aanu
വിതരണം	vithraranam
ചെയ്തത്	cheythathu
</s>	</s>
സംസ്ഥാനങ്ങൾ	samsthanangal
ഉണ്ടാക്കിയ	undakkiya
ചില	chila
ചട്ടങ്ങൾ	chattangal
താഴെ	thazhe
കൊടുക്കുന്നു	kodukkunnu
</s>	</s>
1782	1782
ൽ	il
ബ്രിട്ടീഷുകാർ	britishukar
ഉപരോധം	uparodham
നടത്തുന്നവരെ	nadaththunnavare
ആക്രമിച്ചതിനോടൊപ്പം	aakramichathinodoppam
1000	1000
പേർ	per
അടങ്ങുന്ന	adangunna
പഴശ്ശിരാജാവിന്റെ	pazhashirajavinte
സേന	sena
പിന്നിലൂടെയും	pinniludeyum
ആക്രമണം	aakramanam
നടത്തി	nadaththi
</s>	</s>
അടിയന്തരാവസ്ഥക്കാലത്ത്	adiyantharaavasthakkalathth
ജയിൽവാസമനുഷ്ഠിച്ചിട്ടുണ്ട്	jailvaasamanushttichittundu
</s>	</s>
ഫിർദോസി	firdousy
ഉദ്ദേശിച്ചിരിക്കുന്ന	udheshichirunna
സമൻ‌ഗാൻ	samangaan
ഇതാണെങ്കിൽ	ethanengil
ഷാ	sha
നാമയിലെ	namaile
പോരാട്ടം	porattam
സിസ്താനിലെ	sisthanile
റുസ്തമിന്റെ	rusthaminte
കുടുംബവും	kudumbavum
ഇന്നത്തെ	ennathe
വടക്കൻ	vadakkan
അഫ്ഗാനിസ്താനിലും	afganisthanilum
അതിനു	athinu
വടക്കായുമുള്ള	vadakkayulla
തുർക്കിക്	turkeykk
വംശജരും	vamsajarum
തമ്മിലാണ്	thammilanu
</s>	</s>
ഇതിനെതിരായി	ethinethirai
റഷ്യൻ	russian
ഓർത്തഡോക്സ്	orthadox
സഭ	sabha
ശക്തമായി	sakthamai
രംഗത്തു	rangathu
വന്നു	vannu
</s>	</s>
പ്രോഗ്രാമിലെ	programile
ചരങ്ങൾക്ക്	charangalkku
അർഥസംപുഷ്ടമായ	arthasampushtamaya
വാക്കുകൾ	vakkukal
തിരഞ്ഞെടുക്കുന്നതാണ്	thiranjedukunnathanu
ഉത്തമം	uthamam
</s>	</s>
ജർമനിയിലെ	germanyile
കസേലിൽ	kasselil
അഞ്ചു	anju
വർഷത്തിലൊരിക്കൽ	varshathilorikkal
നടക്കുന്ന	nadakkunna
കലാപ്രദർശനമായ	kalapradarshanamaya
ഡോക്യുമെന്റയുടെ	documentriude
അവസാന	avasana
മൂന്നു	moonnu
പതിപ്പുകളിൽ	pathippukalil
പങ്കെടുത്തു	pangeduthu
</s>	</s>
പ്രാഥമിക	pradamika
തരംഗങ്ങളുടെ	tharangangalude
വേഗം	vegam
കൂടുതലാണ്	kooduthalanu
കമ്പനം	kambanam
സഞ്ചരണദിശയിലേക്കുതന്നെ	sanjaranadishayilekkuthanne
ആയിരിക്കും	airikkum
</s>	</s>
കാഥി	kadhi
ഹാർഡക്കറെക്ക്	hardekkarek
വിസിൽബ്ലോവർ	whistleblower
മൂലം	moolam
നഴ്സിങ്	nursing
ജോലി	joly
നഷ്ടപ്പെടുന്നു	nashttapedunnu
</s>	</s>
ഡൽഹി	delhi
സർവകലാശാലയിൽ	sarvakalasalail
ധനതത്ത്വശാസ്ത്ര	dhanathatvashasthra
പ്രൊഫസറായും	professorayum
ഇൻസ്റ്റിറ്റ്യൂട്ട്	institute
ഒഫ്	of
ഇക്കണോമിക്	economic
ഗ്രോത്തിന്റെ	growthinte
ഡയറക്ടറായും	directorayum
സേവനം	sevanam
അനുഷ്ഠിച്ചിട്ടുണ്ട്	anishtichitundu
</s>	</s>
ഗുഹയ്ക്കുള്ളിലെ	guhaikkullile
പാറയിൽനിന്നു	parayilninnum
സൂക്ഷ്മ	sooshma
ജീവികൾ	jeevikal
വേർതിരിച്ചെടുത്തതാവാം	verthiricheduthathavam
ഇരുമ്പിന്റെ	irumbinte
അംശം	amsham
എന്നുകരുതുന്നു	ennukaruthunnu
</s>	</s>
അങ്കോളയിലാകെ	angolayilake
പ്രവർത്തിലുള്ള	pravarthiylulla
ഏക	yeka
ദേശീയോദ്യാനം	deshiyodyanam
ഇതു	ethu
മാത്രമാണ്	matramanu
</s>	</s>
യഹൂദരുടെ	yehudarude
ഏറ്റവും	yettavum
പുണ്യദിനമായ	punyadinamaya
യോം	yom
കിപ്പൂർ	kippur
നാളിൽ	nalil
മിന്നലാക്രമണം	minnalakramanam
നടത്തി	nadathi
മുന്നേറുക	munneruka
എന്ന	enna
തന്ത്രമാണ്	thandramanu
അറബ്	arab
രാജ്യങ്ങൾ	rajyangal
നടത്തിയത്	nadathiyathu
</s>	</s>
ഏതായാലും	yethayalum
പടിഞ്ഞാറുഭാഗത്തെ	padinjarubhagathe
ഗോപുരങ്ങൾ	gopurangal
തകർന്ന	thakarnna
നിലയിലാണ്	nilayilanu
</s>	</s>
എന്നാൽ	yennal
സമർഥനായ	samarthanaya
അൽബുക്ക്വർക്കി	albuquerque
കേരളത്തിലെ	keralathile
പോർച്ചുഗീസ്	portugese
താൽപര്യം	thalparyam
സംരക്ഷിക്കുന്നതിനായി	samrakshikkunnathinayi
1513-ൽ	1513-il
സാമൂതിരിയുമായി	samuthiriyumai
ഉടമ്പടി	udambadi
ഉണ്ടാക്കി	undakki
</s>	</s>
1950	1950
ജൂലൈ	july
16ന്	16nu
ബ്രസീലിലെ	brassilile
റിയോ	riyo
ഡി	d
ജനീറോയിലുള്ള	jeniroyilulla
മരാക്കാനാ	maraccana
സ്റ്റേഡിയത്തിൽ	stadiyathil
വച്ചായിരുന്നു	vachayirunnu
മത്സരം	malsaram
</s>	</s>
മാമൂലെക്ക്	mamulek
എന്നറിയപ്പെട്ടിരുന്ന	yennariyapettirunna
നാടുവാഴികളായിരുന്നു	naduvazhikalayirunnu
</s>	</s>
1972-ൽ	1972-il
ബാംഗ്ലൂരിൽ	bangaloril
ഇന്ത്യൻ	indian
ഇൻസ്റ്റിറ്റിയൂട്ട്	institute
ഓഫ്	of
മാനേജ്‌മെന്റ്	management
സ്ഥാപക	sthapaka
ഡയറക്ടറായി	directorayi
</s>	</s>
2014	2014
ഐപിഎലിൽ	iplil
കൊൽക്കത്ത	kolkata
നൈറ്ര്	knight
റൈഡേഴ്സിനു	ridersinu
വേണ്ടിയായിരിക്കും	vendiyairikkum
വിനയ്	vinay
കളിക്കുക	kalikkuka
</s>	</s>
ഗുജറാത്ത്	gujarat
കലാപത്തെ	kalapathe
കുറിച്ചുള്ള	kurichulla
റാണയുടെ	ranayude
ഫീച്ചർ	feature
എക്കാലത്തെയും	yekkalatheyum
20	20
മികച്ച	mikacha
മാസികാ	masika
ഫീച്ചറുകളിലൊന്നായി	featurukalilonnai
ഔട്ട്‍ലുക്ക്	outlook
മാസിക	masika
തെരഞ്ഞെടുത്തിരുന്നു	thiranjeduthirunnu
</s>	</s>
നോവലിസ്റ്റും	novalistum
കഥാകൃത്തും	kadhakrithum
ഗാനരചയിതാവുമായിരുന്നു	ganarachaithavumairunnu
രാജീവൻ	rajeevan
കാഞ്ഞങ്ങാട്	kanjangadu
</s>	</s>
വളരെ	valare
വൈകിയാണ്	vaikiyanu
മറാഠികൾ	maratikal
ദത്തയുടെ	dhathayude
കാവ്യ	kavya
വ്യക്തിത്വം	vyakthithvam
തിരിച്ചറിഞ്ഞത്	thiricharinjathu
</s>	</s>
മലോട്ടു	malottu
നോർത്ത്	north
</s>	</s>
ഈ	ee
ചെടികളിൽ	chedikalil
ഉള്ള	ulla
വിഷാംശം	vishamsham
ഈ	ee
പൂമ്പാറ്റകളുടെ	pumbattakalude
ശരീരത്തിൽ	shareerathil
എത്തുന്നതിനാൽ	yethunnathinal
മറ്റ്	mattu
പക്ഷികൾ	pakshikal
ഇവയെ	evaye
പൊതുവെ	pothuve
ആഹാരമാക്കാറില്ല	aharamakkarilla
</s>	</s>
ഒരിക്കൽ	orikkal
ആയോധന	ayodhana
പരിശീലത്തിൽ	parisheelanathil
ഏർപ്പെട്ടിരുന്ന	yerpettirunna
അയാസിനെ	ayaasine
നോക്കി	nokki
ഹൈദരലി	haidarali
,	,
നീ	nee
അവനെ	avane
കണ്ടു	kandu
പഠിക്കണമെന്ന്	padikkanamennu
പറഞ്ഞതായി	paranjathai
ഒരു	oru
കഥ	kadha
പ്രചാരത്തിലുണ്ട്‌	pracharathilundu
</s>	</s>
ഹീബ്രു	hebrew
വിഭാഗക്കാർ	vibhagakkar
പല്ലുവേദനയ്ക്ക്	palluvedanayku
വിനാഗിരി	vinagiri
പുരട്ടിയിരുന്നതായും	purattiyirunnathayum
സ്വർണം	swarnam
വെള്ളി	velly
തടി	thadi
എന്നിവകൊണ്ടുള്ള	yennivakondu
കൃത്രിമ	krithrima
ദന്തങ്ങൾ	denthangal
വച്ചുപിടിപ്പിച്ചിരുന്നതായും	vachupidipichirunnathayum
രേഖപ്പെടുത്തിക്കാണുന്നു	rekhapeduthiyrunnu
</s>	</s>
ഓണേഴ്‌സ്	honours
പാസായി	passai
</s>	</s>
ഒരു	oru
സാമ്പത്തികവിദഗ്ദ്ധ	sambathikavidaktha
കൂടിയായിരുന്ന	koodiyayirunna
ഇവർ	evar
1993-ൽ	1993-il
തുർക്കിയുടെ	turkeyude
പ്രധാനമന്ത്രിസ്ഥാനത്തെത്തി	pradhanamantristhanathethi
</s>	</s>
ഈ	ee
നീളത്തെ	neelathe
ലോക്കൽ	local
ലൂപ്പ്	loop
ദൂരം	duram
എന്ന്	yennu
പറയുന്നു	parayunnu
</s>	</s>
രണ്ടാം	randam
ദേവാലയത്തിന്റെ	devalayathinte
ചുവർ	chuvar
മാത്രമാണ്	matramanu
അവശേഷിച്ചത്	avaseshichathu
</s>	</s>
ഇഡാഫോസോറുകളെപ്പോലെ	edaphosaurukalepole
ഡൈമെട്രോഡോണുകൾക്കും	dimetrodonukalkkum
ശരീരത്തിന്റെ	shareerathinte
ഉപരിഭാഗത്ത്	uparibhagathu
മുഴകൾപോലെയുള്ള	muzhakalpoleyulla
തുഴ'കൾ	thuzha'kal
ഉണ്ടായിരുന്നു	undairunnu
</s>	</s>
ഡച്ചുകാരുടെ	dutchukarude
ആക്രമണത്തിനു	aakramanathinu
ശേഷം	shesham
നിർമ്മിക്കപ്പെട്ട	nirmikkapetta
കാവിനു	kavinu
മുമ്പിൽ	mumbil
വിശാലമായ	vishalamaya
ഒരു	oru
കുളമുണ്ടായിരുന്നു	kulamundayirunnu
</s>	</s>
ഇതിൽ	ethil
കുറച്ചുഭാഗം	kurachubhagam
ചെറുകുടലിലൂടെ	cherukudaliloode
ഭാഗികമായി	bhagikamaye
ആഗിരണം	aagiranam
ചെയ്യപ്പെടുന്നു	cheyyapedunnu
</s>	</s>
നാടൻ	nadan
ഭാഷയായിരുന്ന	bhashayayirunna
തമിഴിനേയും	thamizhineyum
സംസ്കൃതത്തേയും	samskrithatheyum
ഈ	ee
സഭകൾ	sabhakal
ഒന്നുപോലെ	onnupole
പരിപോഷിപ്പിച്ചു	pariposhipichu
</s>	</s>
പത്താം	pathaam
നൂറ്റാണ്ടിൻറെ	noottandinte
അവസാനത്തിൽ	avasanathil
ബുദ്ധമത	budhamatha
അധ്യാപകനായ	adyapakanaya
അതിഷ	athish
രാഹുലഗുപ്തയിൽനിന്നും	rahulagupthayilninnum
ബുദ്ധ	budha
ധ്യാനം	dyanam
പഠിക്കാനായി	padikkanaye
കൃഷ്ണഗിരി	krishnagiri
വിഹാരയിൽ	viharayil
എത്തി	yethi
</s>	</s>
മദർ	mother
തെരേസാ	teresa
ഹോം(അനാഥ	home(anatha
കുട്ടികൾക്ക്	kuttikalkku
</s>	</s>
ബ്ലാക്ക്	black
സ്വാൻ	swan
മത്സര	malsara
വിഭാഗത്തിൽ	vibhagathil
പങ്കെടുത്തു	pangeduthu
</s>	</s>
11-ാം	11-aam
ശതകത്തിൽ	shadakathil
ജീവിച്ചിരുന്ന	jeevichirunna
ഭോജൻ	bhojan
രചിച്ച	rachicha
സരസ്വതീകണ്ഠാഭരണത്തിൽ	saraswathikandabharanathil
ത്രിവിക്രമഭട്ടനെപ്പറ്റി	trivikramabhattanepatti
പ്രതിപാദിക്കുന്നു	prathipadhikkunnu
</s>	</s>
എന്നാൽ	yennal
ചുരുക്കം	churukkam
ചില	chila
അവസാദസ്തരങ്ങൾ	avasadastharangal
മേല്പറഞ്ഞവയുടെ	melparanjavayude
സമ്പന്നനിക്ഷേപങ്ങളായും	sambannanikshepangalayum
കണ്ടുവരുന്നു	kanduvarunnu
</s>	</s>
വെളുത്തഇണ്ടിക്കണ്ടപ്പൻ	veluthaindikandappan
</s>	</s>
1959-ൽ	1959-il
ഇഖാലിയർ	ekhalier
Echalier	echalier
പഴ	pazha
ഈച്ചയുടെ	eechayude
ഭ്രൂണത്തിൽ	bhrunathil
നിന്നു	ninnum
വികസിപ്പിച്ചെടുത്ത	vikasipichedutha
ഭ്രൂണ	bhruna
സെൽ	cell
ലൈനുകൾ	linukal
ഇന്ന്	ennu
അതുപോലെയുള്ള	athupoleyulla
ധാരാളം	dharalam
കോശ	kosha
കച്ചറുകൾക്ക്	kacharukalkku
അടിസ്ഥാനമായി	adisthanamai
</s>	</s>
ഫ്രാൻസിസ്	francis
ന്യൂട്ടൺ	newton
സൂസ	souza
എസ്	s
</s>	</s>
1793-ലെ	1793-le
കരാറു	kararu
പുതുക്കലിലൂടെ	puthukkalilude
ഈസ്റ്റ്	east
