ਨੌਜਵਾਨ	naujavaan
ਵਿਲਕਣੀ	vilakani
</s>	</s>
ਇਹ	eh
ਦੱਰਾ	darraa
ਪ੍ਰਾਚੀਨ	praachin
ਰੇਸ਼ਮ	resham
ਰਸਤੇ	rasate
ਦੀ	di
ਇੱਕ	ikk
ਸ਼ਾਖਾ	shakha
ਦਾ	daa
ਵੀ	vi
ਹਿੱਸਾ	hissaa
ਰਿਹਾ	reha
ਹੈ	hai
</s>	</s>
ਇਸ	is
ਨਾਲ	naal
ਸਾਰੇ	saare
ਜਨਤਕ	jantak
ਅਥਾਰਟੀ	athaarati
ਦੀ	di
ਜ਼ਿੰਮੇਂਵਾਰੀ	zimmevaari
ਬਣ	ban
ਜਾਵੇਗੀ	jaavegi
ਤੇ	te
ਇਸ	is
ਦੇ	de
ਲਾਗੂ	laagu
ਹੋਣ	hon
ਦੇ	de
6	6
ਮਹੀਨਿਆਂ	mahiniaan
ਦੇ	de
ਅੰਦਰ	andar
ਉਹ	uh
ਆਪਣੇ	aapne
ਵਿਭਾਗ	vibhag
ਵੱਲੋਂ	vallon
ਦਿੱਤੀਆਂ	ditiyan
ਜਾਣ	jaan
ਵਾਲੀਆਂ	valiyan
ਸੇਵਾਵਾਂ	sevaavaan
ਅਤੇ	ate
ਵੰਡੀਆਂ	vandiaan
ਜਾਣ	jaan
ਵਾਲੀਆਂ	valiyan
ਵਸਤੂਆਂ	vasatuaan
ਨਾਲ	naal
ਸਬੰਧਤ	sabandhat
ਚਾਰਟਰ	charter
ਦਾ	daa
ਪ੍ਰਕਾਸ਼ਨ	prakaashan
ਕਰਨਗੇ	karange
ਜਿਸ	jis
ਵਿੱਚ	vich
ਸੇਵਾਵਾਂ	sevaavaan
ਚੀਜ਼ਾਂ	chizaan
ਦੇ	de
ਵੰਡਣ	vandan
ਦਾ	daa
ਸਮਾਂ	samaan
ਸੇਵਾ	sevaa
ਦੇਣ	den
ਵਾਲੇ	vaale
ਵਿਅਕਤੀ	viakati
ਦਾ	daa
ਅਹੁਦਾ	ahudaa
ਅਤੇ	ate
ਪਤਾ	pataa
ਵੀ	vi
ਦਿੱਤਾ	ditta
ਜਾਵੇਗਾ	jaavegaa
</s>	</s>
ਇਸ	is
ਨਾਵਲ	naaval
ਦਾ	daa
ਲੇਖਕ	lekhak
ਚਰਨ	charan
ਸਿੰਘ	singh
ਸ਼ਹੀਦ	shahid
ਹੈ	hai
ਵਿੱਚ	vich
ਨਾਵਲਕਾਰ	naavalakaar
ਅਠਾਰਵੀਂ	athaaravin
ਸਦੀ	sadi
ਦੇ	de
ਸਿੱਖ	sikkh
ਮਿਸਲਾਂ	misalaan
ਦੇ	de
ਅੰਤਿਮ	antim
ਸਮੇਂ	samen
ਦੀ	di
ਕਹਾਣੀ	kahaani
ਨੂੰ	nu
ਇੱਕ	ikk
ਤਰ੍ਹਾਂ	tarhaan
ਸਿਖ	sikh
ਰਾਜ	raaj
ਵਿੱਚ	vich
ਦੀ	di
ਲੰਘਾ	langhaa
ਕੇ	ke
ਅੱਜ	ajj
ਦੇ	de
ਸਮੇਂ	samen
ਤਕ	tak
ਲੈ	lai
ਆਉਂਦਾ	aaundaa
ਹੈ	hai
</s>	</s>
ਉਹ	uh
ਘਰ	ghar
ਵਿੱਚ	vich
ਕਿਸੇ	kise
ਵੀ	vi
ਚੀਜ਼	chiz
ਨੂੰ	nu
ਨੁਕਸਾਨ	nukasaan
ਨਹੀਂ	nahin
ਪਹੁੰਚਾ	pahunchaa
ਸਕਦੇ	sakde
ਅਤੇ	ate
ਨਾ	naa
ਹੀ	hi
ਆਪਣੀ	aapani
ਮਰਜ਼ੀ	marazi
ਨਾਲ	naal
ਘਰ	ghar
ਛੱਡ	chhadd
ਸਕਦੇ	sakde
ਹਨ	han
</s>	</s>
ਰੂਸ	rus
ਦਾ	daa
ਸੁਤੰਤਰ	sutantar
ਰਾਜ	raaj
ਬਣ	ban
ਗਿਆ	gaya
ਅਤੇ	ate
ਯੈਲਤਸਿਨ	yailatasin
ਰਾਸ਼ਟਰਪਤੀ	raashatarapati
ਦੇ	de
ਤੌਰ	taur
ਤੇ	te
ਅਹੁਦੇ	ahude
ਤੇ	te
ਬਣਿਆ	baniaa
ਰਿਹਾ	reha
</s>	</s>
ਇਹ	eh
ਇੱਕ	ikk
ਮਹੱਤਵਪੂਰਨ	mahattavapuran
ਸਵਾਲ	savaal
ਹੈ	hai
ਜੋ	jo
ਸਪੈਸ਼ਲ	special
ਰਿਲੇਟੀਵਿਟੀ	relativity
ਪ੍ਰਤਿ	prati
ਸਮਝ	samajh
ਦੇ	de
ਧੁਰ	dhur
ਤੱਕ	takk
ਜਾਂਦਾ	janda
ਹੈ	hai
</s>	</s>
ਕਿਤਾਬ	kitab
ਦਾ	daa
ਨਾਂ	naan
ਚੇਤਨ	chetan
ਅਨੰਦ	anand
ਦਿ	di
ਪੋਇਟਿਕਸ	poitikas
ਆਫ	aaph
ਫਿਲਮ	filam
ਅਤੇ	ate
ਇਸ	is
ਨੇ	ne
ਮੁੰਬਈ	mumbai
ਦੇ	de
ਥੀਏਟਰ	thietar
ਅਤੇ	ate
ਸਿਨੇਮਾ	sinemaa
ਦੇ	de
ਜੀਵਨ	jivan
ਨੂੰ	nu
40	40
ਵੀਂ	vin
ਅਤੇ	ate
50	50
ਦੇ	de
ਦਹਾਕੇ	dahaake
ਦੇ	de
ਸ਼ੁਰੂ	shuru
ਵਿਚ	vich
ਦਰਸਾਇਆ	darasaya
</s>	</s>
1884	1884
–	-
ਪੁਲਿਸ	police
ਨੇ	ne
ਮਸ਼ਹੂਰ	mashahur
ਲੇਖਕ	lekhak
ਲਿਓ	leo
ਤਾਲਸਤਾਏ	tolstio
ਦੀ	di
ਕਿਤਾਬ	kitab
ਵੱਟ	what
ਆਈ	i
ਬਿਲੀਵ	believe
ਇਨ	in
ਜਿਸ	jis
ਤੇ	ute
ਮੈਂ	main
ਅਕੀਦਤ	akidat
ਰਖਦਾ	rakhdaa
ਹਾਂ	haan
ਕਿਤਾਬ	kitab
ਜ਼ਬਤ	zabat
ਕਰ	kar
ਲਈ	lai
ਤੇ	te
ਸਾਰੀਆਂ	saariaan
ਕਾਪੀਆਂ	kaapiaan
ਚੁੱਕ	chukk
ਕੇ	ke
ਲੈ	lai
ਗਈ	gai
</s>	</s>
ਪਸ਼ੂਆਂ	pashuaan
ਦੀ	di
ਪ੍ਰਜਨਨ	prajanan
ਦੇ	de
ਵਿਗਿਆਨਕ	vigyanak
ਸਿਧਾਂਤ	sidhaant
ਵਿੱਚ	vich
ਜਨਸੰਖਿਆ	jansankhiaa
ਜੈਨੇਟਿਕਸ	jainetikas
ਮਾਤਰਾਤਮਕ	matraatmak
ਜੈਨੇਟਿਕਸ	genetics
ਅੰਕੜਾ	ankrha
ਅਤੇ	ate
ਹਾਲ	haal
ਹੀ	hi
ਵਿੱਚ	vich
ਅਣੂ	anu
ਜੀਨੌਮਿਕਸ	genomix
ਸ਼ਾਮਿਲ	shaamil
ਹਨ	han
ਅਤੇ	ate
ਸਿਵਾਲ	civil
ਰਾਈਟ	right
ਜੇ	je
ਲੁਸ਼	lush
ਅਤੇ	ate
ਚਾਰਲਸ	charles
ਹੈਂਡਰਸਨ	hainderson
ਦੇ	de
ਪ੍ਰਮੁੱਖ	pramukkh
ਕੰਮ	kamm
ਉੱਤੇ	utte
ਆਧਾਰਿਤ	aadhaarit
ਹੈ	hai
</s>	</s>
ਪੰਜਾਬੀ	punjabi
ਦੇ	de
ਨਾਲ	naal
ਨਾਲ	naal
ਉਰਦੂ	uradu
ਅਤੇ	ate
ਫ਼ਾਰਸੀ	faarsi
ਭਾਸ਼ਾਵਾਂ	bhashavaan
ਉੱਤੇ	utte
ਵੀ	vi
ਉਨ੍ਹਾਂ	unhaan
ਨੂੰ	nu
ਚੰਗੀ	changi
ਮੁਹਾਰਤ	muhaarat
ਪ੍ਰਾਪਤ	praapat
ਸੀ	si
</s>	</s>
ਅਸਟ੍ਰੇਲੀਆ	australia
ਅਤੇ	ate
ਦੱਖਣੀ	dakkhani
ਅਫ਼ਰੀਕਾ	africa
ਵਿੱਚ	vich
ਗਲੇਸ਼ੀਅਰ	galeshiar
ਸਿਰਫ਼	siraf
ਦੂਰ	dur
ਦੁਰਾਡੇ	duraade
ਦੇ	de
ਉਨ੍ਹਾ	unhaa
ਇਲਾਕਿਆਂ	ilaakiaan
ਨਾਲ	naal
ਲਗਦੇ	lagade
ਹਨ	han
ਜਿਹੜੇ	jeharhe
ਅੰਟਾਰਕਟਿਕਾ	antaarakatikaa
ਉਪ-ਮਹਾਦੀਪ	up-mahaadip
ਨਾਲ	naal
ਜੁੜੇ	jurhe
ਹੋਏ	hoe
ਹਨ	han
</s>	</s>
ਸੀ	si
ਨਰਸਿੰਗ	nursing
ਲਈ	lai
ਚੰਡੀਗੜ੍ਹ	chandigarh
ਦਾਖ਼ਲ	daakhal
ਹੋ	ho
ਗਈ	gai
</s>	</s>
ਅਦਾਕਾਰੀ	adaakaari
ਦੇ	de
ਸ਼ੌਕ	shauk
ਵਿੱਚ	vich
ਆਪਣੀ	aapani
ਇੱਕ	ikk
ਮਾਸੀ	maasi
ਨਾਲ	naal
ਕਰਜ	karaj
ਲੈ	lai
ਕੇ	ke
ਬੰਬਈ	bambai
ਚਲੇ	chale
ਗਿਆ	gya
</s>	</s>
ਹੋਰ	hor
ਸਿੱਖ	sikkh
ਯੋਧਿਆਂ	yodhiaan
ਦਾ	de
ਨਾਲ	naal
14	14
ਸਾਲ	saal
ਦੇ	de
ਤੇਗ	teg
ਬਹਾਦਰ	bahaadar
ਪਹਿਲਾ	pahla
ਨਾਮ	naam
ਤੇਗ	teg
ਮਲ	mal
ਜੀ	ji
ਵੀ	vi
ਮੈਦਾਨੇ	maidaane
ਜੰਗ	jang
ਵਿੱਚ	vich
ਲੜੇ	larhe
</s>	</s>
ਕਹਿਕਸ਼ਾ	kahikashaa
ਮਲਿਕ	malik
ਦਾ	da
ਜਨਮ	janam
8	8
ਜਨਵਰੀ,1934	january,1934
ਪਿਤਾ	pitaa
ਦਾ	daa
ਨਾਮ	naam
ਮਲਿਕ	malik
ਫੈਜ਼	faiz
ਆਲਮ	aalam
ਦੇ	de
ਘਰ	ghar
ਫੈਜ਼ਾਬਾਦ	faizaabaad
ਰਾਵਲਪਿੰਡੀ	ravalpindi
ਪਾਕਿਸਤਾਨ	pakistan
ਵਿਖੇ	vikhe
ਹੋਇਆ	hoya
</s>	</s>
ਉਸਨੇ	usne
ਆਪਣੇ	aapne
ਟੈਲੀਵਿਜਨ	tailivijan
ਕੈਰੀਅਰ	kairiar
ਦੀ	di
ਸ਼ੁਰੂਆਤ	shuruaat
ਸੋਨੀ	soni
ਟੀਵੀ	tivi
ਉੱਪਰ	uppar
ਬਾਬੁਲ	baabul
ਕਾ	kaa
ਆਂਗਨ	aangan
ਛੂਟੇ	chhute
ਨਾ	naa
ਨਾਲ	naal
ਕੀਤੀ	kiti
ਸੀ	si
</s>	</s>
ਵਧਣ	vadhan
ਦੇ	de
ਦੌਰਾਨ	dauraan
ਇਹ	eh
ਮਹੱਤਵਪੂਰਣ	mahattavapuran
ਹੈ	hai
ਕਿ	ki
ਹਰੇਕ	harek
ਸਪੀਸੀਜ਼	species
ਲਈ	lai
ਢੁਕਵੇਂ	dhukaven
ਪੱਧਰਾਂ	paddhraan
ਤੇ	ute
ਸੰਘਣੇ	sanghane
ਘਣਤਾ	ghantaa
ਨੂੰ	nu
ਰੱਖਣਾ	rakhna
ਜ਼ਰੂਰੀ	zaruri
ਹੈ	hai
ਨਾਲ	naal
ਹੀ	hi
ਆਕਾਰ	aakaar
ਦੀਆਂ	diaan
ਕਲਾਸਾਂ	kalaasaan
ਨੂੰ	nu
ਵੱਖ	vakkh
ਕਰਨਾ	karanaa
ਅਤੇ	ate
ਹਮਲਾਵਰ	hamalaavar
ਵਿਵਹਾਰਕ	vivahaarak
ਸੰਚਾਰ	sanchaar
ਨੂੰ	nu
ਘਟਾਉਣ	ghataaun
ਲਈ	lai
ਗਰੇਡਿੰਗ	grading
ਦੇਣਾ	dena
ਮਹੱਤਵਪੂਰਣ	mahattavapuran
ਹੈ	hai
</s>	</s>
ਇਸ	is
ਲਈ	lai
ਪ੍ਰਸਾਸਨ	prasaasan
ਨੂੰ	nu
ਲੋਕਹਿਤੈਸੀ	lokahitaisi
ਬਣਾਉਣ	banaaun
ਅਤੇ	ate
ਆਮ	aam
ਆਦਮੀ	aadami
ਦੀਆਂ	diaan
ਪ੍ਰਸਾਸਨਿਕ	prasaasanik
ਸਮਾਜਿਕ	samaajik
ਆਰਥਿਕ	aarthik
ਅਤੇ	ate
ਹੋਰ	hor
ਲੋੜਾਂ	lorhaan
ਅਤੇ	ate
ਮੁਸਕਿਲਾਂ	musakilaan
ਨੂੰ	nu
ਭਲੀਭਾਂਤ	bhalibhant
ਜਾਣਨ	jaanan
ਅਤੇ	ate
ਉਨ੍ਹਾਂ	unhaan
ਦੀ	di
ਪੂਰਤੀ	purati
ਲਈ	lai
ਇਹ	eh
ਨਾਗਰਿਕ	nagrik
ਅਤੇ	ate
ਸੂਚਨਾ	suchna
ਚਾਰਟਰ	charter
ਤਿਆਰ	tayar
ਕੀਤਾ	kita
ਗਿਆ	gaya
ਹੈ	hai
ਜਿਸ	jis
ਵਿਚ	vich
ਡਿਪਟੀ	deputy
ਕਮਿਸਨਰ	commissioner
ਦੇ	de
ਦਫਤਰ	daftar
ਦੀਆਂ	diaan
ਸਾਰੀਆਂ	saariaan
ਸਾਖਾਵਾਂ	saakhaavaan
ਅਤੇ	ate
ਉਨ੍ਹਾਂ	unhaan
ਅਧੀਨ	adhin
ਹੋਣ	hon
ਵਾਲੀਆਂ	valiyan
ਸਾਰੀਆਂ	saariaan
ਸਰਕਾਰੀ	sarakaari
ਸਰਗਰਮੀਆਂ	saragaramiaan
ਦਾ	daa
ਵਿਸਥਾਰ	visthaar
ਪੂਰਵਕ	puravak
ਵੇਰਵਾ	verva
ਦਿੱਤਾ	ditta
ਗਿਆ	gaya
ਹੈ	hai
</s>	</s>
ਆਪ	aap
ਨੂੰ	nu
ਸ਼ੇਖ਼	shekh
ਮੁਹੰਮਦ	mohammad
ਫ਼ਾਜ਼ਿਲ	faazil
ਜੋ	jo
ਕਿ	ki
ਕਾਦਰੀ	kaadari
ਸੱਤਾਰੀ	sattaari
ਲਾਹੌਰ	lahore
ਦੇ	de
ਰਹਿਣ	rehan
ਵਾਲੇ	vaale
ਸਨ	san
ਉਨ੍ਹਾਂ	unhaan
ਨੂੰ	nu
ਸੂਫ਼ੀ	sufi
ਧਾਰਾ	dhaaraa
ਵੱਲ	vall
ਲੈ	lai
ਕੇ	ke
ਆਏ	aae
</s>	</s>
ਪਟਵਾਰ	patavaar
ਪ੍ਰਣਾਲੀ	pranaali
ਸ਼ੇਰਸ਼ਾਹ	shershah
ਸੂਰੀ	suri
ਦੇ	de
ਸੰਖੇਪ	sankhep
ਪਰ	par
ਮਹੱਤਵਪੂਰਣ	mahattavapuran
ਸ਼ਾਸਨ	shaasan
ਸਮੇਂ	samen
ਪੇਸ਼	pesh
ਕੀਤੀ	kiti
ਗਈ	gai
ਸੀ	si
ਅਤੇ	ate
ਸਮਰਾਟ	samaraat
ਅਕਬਰ	akbar
ਨੇ	ne
ਇਸ	is
ਪ੍ਰਣਾਲੀ	pranaali
ਨੂੰ	nu
ਹੋਰ	hor
ਅੱਗੇ	agge
ਵਧਾ	vadhaa
ਦਿੱਤਾ	ditta
ਸੀ	si
</s>	</s>
ਇਹ	eh
ਦੋ	do
ਹਿੱਸਿਆਂ	hissiaan
ਵਿੱਚ	vich
ਵੰਡਿਆ	vandiaa
ਹੁੰਦਾ	hunda
ਹੈ	hai
</s>	</s>
ਪੁਰਸ਼ਾਂ	purashaan
ਦਾ	daa
ਆਕਾਰ	aakaar
21	21
ਯੂਐਸ	us
/	/
58	58
ਈਯੂ	eu
ਜੁੱਤੀ	jutti
ਪਹਿਨਣਾ	pahinanaa
ਉਹ	uh
ਔਰਤਾਂ	aurataan
ਦੇ	de
ਬਾਸਕਟਬਾਲ	basakatabaal
ਵਿੱਚ	vich
ਸਭ	sabh
ਤੋਂ	ton
ਵੱਡੇ	vadde
ਪੈਰ	pair
ਹੋਣ	hon
ਕਰਕੇ	karake
ਜਾਣੀ	jaani
ਜਾਂਦੀ	jaandi
ਸੀ	si
</s>	</s>
ਪੰਜਾਬੀ	panjabi
ਦੇ	de
ਲੋਕ	lok
ਨਾਟ	naat
ਸੰਬੰਧੀ	sambandhi
ਖੋਜੀਆਂ	khojiaan
ਨੇ	ne
ਨੌਟੰਕੀ	nautanki
ਨੂੰ	nu
ਸਵਾਂਗ	savaang
ਦਾ	daa
ਇੱਕ	ikk
ਰੂਪ	rup
ਹਾ	hi
ਗਰਦਾਨਿਆ	garadaania
ਹੈ	hai
</s>	</s>
ਸਕੂਲੀ	sakuli
ਪਾੜ੍ਹਿਆ	paarhhiaa
ਦੇ	de
ਗੀਤ	geet
</s>	</s>
ਵਿਲੀਅਮ	wiliam
ਗ੍ਰਾਹਮ	graaham
ਸਮਨਰ	samanar
ਅਮਰੀਕਾ	america
ਦਾ	daa
ਕਲਾਸੀਕਲ	claasical
ਉਦਾਰਵਾਦੀ	udaaravaadi
ਸਮਾਜ	samaaj
ਵਿਗਿਆਨੀ	vigayani
ਹੈ	hai
</s>	</s>
5	5
ਅਪ੍ਰੈਲ	april
1993	1993
ਨੂੰ	nu
19	19
ਸਾਲ	saal
ਦੀ	di
ਉਮਰ	umar
ਵਿਚ	vich
ਭਾਰਤੀ	bharati
ਦੀ	di
ਆਪਣੇ	aapne
ਪੰਜ	panj
ਮੰਜ਼ਿਲੇ	manzile
ਅਪਾਰਟਮੈਂਟ	apartment
ਦੀ	di
ਬਾਲਕਨੀ	baalkani
ਤੋਂ	ton
ਵਰਸੋਵਾ	varasovaa
ਵਿਚ	vich
ਗਿਰਣ	giran
ਨਾਲ	naal
ਮੌਤ	maut
ਹੋ	ho
ਗਈ	gai
ਸੀ	si
</s>	</s>
ਫਿਰ	phir
ਸਤੰਬਰ	sepember
2009	2009
ਵਿੱਚ	vich
ਚੈਨਲ	chainal
ਪੰਜਾਬੀ	punjabbi
ਟੈਲੀਵਿਜ਼ਨ	telivision
ਦੇ	de
ਸਹਿਯੋਗ	sahiyog
ਸਦਕਾ	sadka
ਇਸਨੂੰ	isnu
ਕੈਨੇਡਾ	canada
ਵਿੱਚ	vich
ਵੀ	vi
ਸ਼ੁਰੂ	shuru
ਕਰ	kar
ਦਿੱਤਾ	ditta
ਗਿਆ	gaya
</s>	</s>
ਵਣਜ	vanaj
ਅਤੇ	ate
ਪ੍ਰਬੰਧਨ	prabandhan
ਵਿਭਾਗ	vibhag
</s>	</s>
ਇਹ	eh
13	13
ਫਰਵਰੀ	february
1432	1432
ਨੂੰ	nu
ਵਿਅਰਥ	viarath
ਪੰਡਿਆ	pandiaa
ਭੈਰਰਸ	bhairaras
ਵੋਡੇਯਾਰ	vodeyaar
ਭੈਰਰਸ	bhairaras
ਰਾਜਵੰਸ਼	raajavash
ਦੇ	de
ਪੁਨਰ	punar
ਵਿਸ਼ਨਯਾਨ	vishanayaan
ਸ਼ਾਸਕ	shaasak
ਦੀ	di
ਜਗੀਰ	jagir
ਦੁਆਰਾ	duaaraa
ਪਵਿੱਤਰ	pavittar
ਕੀਤਾ	kita
ਗਿਆ	gaya
ਸੀ	si
</s>	</s>
ਉਹ	uh
ਉਨ੍ਹਾਂ	unhaan
ਦੇ	de
ਤਿੰਨ	tinn
ਬੱਚਿਆਂ	bacchiaan
ਵਿੱਚੋਂ	vichon
ਸਭ	sabh
ਤੋਂ	ton
ਵੱਡੇ	vadde
ਹਨ	han
</s>	</s>
ਸਤੀ	sati
ਜਦੋਂ	jadon
ਘਰ	ghar
ਪਹੁੰਚੀ	pahunchi
ਤਾਂ	taan
ਸਿਰਫ	sirf
ਮਾਂ	maan
ਨੇ	ne
ਹੀ	hi
ਓਹਨਾਂ	unhan
ਨੂੰ	nu
ਪਿਆਰ	piaar
ਦਿੱਤਾ	ditta
</s>	</s>
ਮਾਈਕਰੋਸਾਫਟ	microsoft
ਦਾ	daa
ਨਿਸ਼ਾਨਾ	nishaanaa
ਹੈ	hai
ਕਿ	ki
ਇਸਦੇ	isde
ਰੀਲਿਜ਼	realease
ਹੋਣ	hon
ਤੋਂ	ton
ਬਾਅਦ	baad
ਦੋ-ਤਿੰਨ	do-tinn
ਸਾਲਾਂ	saalaan
ਵਿੱਚ	vich
ਘੱਟੋ	ghatto
ਘੱਟ	ghatt
ਇਕ	ik
ਅਰਬ	arab
ਡਿਵਾਈਸਾਂ	devican
ਤੇ	ute
ਵਿੰਡੋ	window
10	10
ਨੂੰ	nu
ਇੰਸਟਾਲ	install
ਕੀਤਾ	kita
ਜਾਵੇ	jaave
</s>	</s>
ਫਿਲਮ	film
ਦਾ	daa
ਤਿਉਹਾਰ	tiuhaar
ਵੈਨਿਸ	venice
ਬਿਏਨੇਲ	bienel
ਦਾ	daa
ਹਿੱਸਾ	hissaa
ਹੈ	hai
ਜਿਸ	jis
ਦੀ	di
ਸਥਾਪਨਾ	sathaapanaa
1895	1895
ਦੇ	de
ਵੇਨਟੀਅਨ	venatian
ਸਿਟੀ	city
ਕੌਂਸਿਲ	council
ਨੇ	ne
ਕੀਤੀ	kiti
ਸੀ	si
</s>	</s>
ਸਹਸਪੁਰ	sahasapur
ਵਿਧਾਨ	vidhaan
ਸਭਾ	sabhaa
ਹਲਕਾ	halakaa
ਉੱਤਰਾਖੰਡ	uttarakhand
ਦੇ	de
70	70
ਵਿਧਾਨ	vidhaan
ਸਭਾ	sabhaa
ਹਲਕਿਆਂ	halakiaan
ਵਿੱਚੋਂ	vichon
ਇੱਕ	ikk
ਹੈ	hai
</s>	</s>
ਲੋੜ	lorh
ਇਸ	is
ਗੱਲ	gall
ਦੀ	di
ਵੀ	vi
ਹੈ	hai
ਕਿ	ki
ਸੈਨਿਕ	sainik
ਵਰਗ	varag
ਦੀਆਂ	diaan
ਪ੍ਰਾਪਤੀਆਂ	praapatiaan
ਉਨ੍ਹਾਂ	unhaan
ਵਲੋਂ	valon
ਪਾਇਆ	paya
ਗਿਆ	gaya
ਭਰਪੂਰ	bharapur
ਯੋਗਦਾਨ	yogdaan
ਅਤੇ	ate
ਸਰਹੱਦਾਂ	sarahaddaan
ਦੀ	di
ਰਖਵਾਲੀ	rakhawali
ਨਾਲ	naal
ਸੰਬੰਧਤ	sambandhat
ਕਠਿਨਾਈਆਂ	kathinayan
ਬਾਰੇ	baare
ਸਿਆਸਤਦਾਨ	siyasatdaan
ਸੰਸਦ	sansad
ਮੈਂਬਰਾਂ	maimbaraan
ਅਫਸਰਸ਼ਾਹੀ	afsarashahi
ਸਮੁੱਚੇ	samucche
ਦੇਸ਼	desh
ਵਾਸੀਆਂ	vaasiaan
ਨੂੰ	nu
ਅਤੇ	ate
ਖਾਸ	khaas
ਤੌਰ	taur
ਤੇ	ute
ਕਾਲਜਾਂ	collegeaan
ਅਤੇ	ate
ਸਕੂਲੀ	sakuli
ਬੱਚਿਆਂ	bacchiaan
ਨੂੰ	nu
ਜਾਣੂ	jaanu
ਕਰਵਾਇਆ	karavaya
ਜਾਵੇ	jaave
</s>	</s>
1922	1922
–	-
ਕਾਲੀਆਂ	kaaliyan
ਕਮੀਜਾਂ	kamijaan
ਪਹਿਨੀਂ	pahinin
ਫਾਸਿਸਟਾਂ	phaasisataan
ਨੇ	ne
ਰੋਮ	rome
ਨੂੰ	nu
ਘੇਰ	gher
ਲਿਆ	liya
ਤਾਂ	taan
ਸਮਰਾਟ	samaraat
ਵਿਕਟਰ	victor
ਇਮੈਨੂਅਲ	emanuel
ਨੂੰ	nu
ਮਜ਼ਬੂਰ	mazabur
ਹੋਕੇ	hoke
ਬੇਨੀਤੋ	benito
ਮੁਸੋਲੀਨੀ	musolini
ਨੂੰ	nu
ਮੰਤਰੀਮੰਡਲ	mantarimandal
ਬਣਾਉਣ	banaaun
ਦੀ	di
ਮਨਜੂਰੀ	manajuri
ਦੇਣੀ	deni
ਪਈ	pai
</s>	</s>
ਫ਼ਰਵਰੀ	february
2014	2014
ਵਿੱਚ	vich
ਉਹ	uh
ਕਾਂਗਰਸ	kaangaras
ਛੱਡਕੇ	chhaddake
ਭਾਜਪਾ	bhaajapaa
ਵਿੱਚ	vich
ਸ਼ਾਮਿਲ	shaamil
ਹੋ	ho
ਗਿਆ	gaya
</s>	</s>
ਆਸਾ	aasaa
ਸਿੰਘ	singh
ਮਸਤਾਨਾ	masatana
ਪੰਜਾਬੀ	panjabi
ਗਾਇਕੀ	gaaiki
ਦਾ	daa
ਉਹ	uh
ਨਾਮ	naam
ਹੈ	hai
ਜਿਸ	jis
ਨੂੰ	nu
