තන්ත්‍රයන්ට	Thanthrayanta
පිහිටා	pihita
තිබුණි.	thibuni.
</s>	</s>
පරිගණකය	Pariganakaya
යනු	yanu
අප	apa
විසින්	visin
ලබාදෙන	labadena
කිසියම්	kisiyam
උපදෙස්	upades
සමූහයකට	samoohayakata
අනුව	anuwa
ඒවා	ewa
කිසියම්	kisiyam
සැකසීමකට	sekaseemakata
ලක්	lak
කළ	lala
හැකි,	heki,
අවශ්‍ය	awashya
වූ	woo
විටෙක	Viteka
අප	apa
හට	hata
ඒවා	ewa
නැවත	newatha
ලබා	laba
ගත	gatha
හැකි,	heik,
ඒවා	ewa
තම	thama
මතකය	mathakaya
තුළ	thula
තැන්පත්	thenpath
කර	kara
ගත	gatha
හැකි.	heki.
</s>	</s>
මෙම	Mema
රෝග	roga
යක්ෂයන්	yakshayan
විසින්	wisin
ඇතිකරන	athikarana
රෝග	roga
බවත්	bhawath,
එම	ema
අමනුෂ්‍ය	amanushya
බලවේගයන්	balawegayan
පලවා	palawa
හැරීම	hereema
මගින්	magin
සුවය	suwaya
ලැබියහැකි	lebiya heki
බවත්	bawath
ඇතැම්	atham
සංස්කෘති	sanskruthi
තුල	thula
විශ්වාසයන්	vishwasayan
පැවතිණ.	pawathina.
</s>	</s>
දේවාසිශ්	Dewasish
රෝයි	roy
වර්තමාන	warthamana
චක්මා	chakma
ජනයාගේ	janayage
පාලකයා	palakaya
ලෙස	lesa
සැලකේ.	selake.
</s>	</s>
ලංකා	Lanka
පබ්බතයේ	pabbathaye
වටිනා	watina
සෙල්ලිපි	sellipi
දෙකක්	dekak
පිහිටා	pihita
තිබෙන	thibena
අතර	athara
බුදුගල	budugala
ආරාමයේ	aramaye
ද	da
පධානඝර	pradhanagara
නොහොත්	nohoth
පියන්ගල්	piyangal
දක්නට	daknata
ඇත.	atha.
</s>	</s>
වඩාත්	Wadath
මහේච්ඡ	mahechcha
අරමුණක්	aramunak
ලෙසින්	lesin
ඉන්දියානු	indiyanu
රජය	rajaya
පණත	panatha
1935	1935
තුල	thula
අඩංගුවූ	adanguwoo
සන්ධියන	sandeeyana
උපක්‍රමයක්	upakramayak
තිබූ	thibu
අතර,	athara,
එය	eya
විසින්	wisin
බලාපොරොත්තු	balaporoththu
වූයේ,	wooye,
කුමාර	kumara
රාජ්‍යයන්	rajyayan
සහ	saha
බ්‍රිතාන්‍ය	brithanya
ඉන්දියාව,	indiyawa,
ෆෙඩරල්	federal
රජයක්	rajayak
යටතේ	yatate
එක්සත්	eksath
වීමයි.	weemai.
</s>	</s>
මෙම	Mema
මණ්ඩපය	mandapaya
මහාබලිපුරම්හි	mahabalipuramhi
වැදගත්ම	wedagathma
ලෙන්	len
අතරින්	atharin
එකකි.	ekaki.
</s>	</s>
ශිව	Shiva
දෙවියන්	deviyan
සමග	samaga
පෙනී	penee
සිටින	sitina
කල්හි	kalhi
ඇය	aya
සුපිපුණු	supipuna
පියුමක්	piyumak
දරයි.	darai.
</s>	</s>
සම්පූර්ණ	Sampoorna
හමුදාවට	hamudawata
මෙන්ම	menma
හමුදා	hamuda
ඒකක	ekaka
පාලනය	palana
හා	ha
සංවිධානයට	sanvidanayata
අවශ්‍ය	awashya
ප්‍රශස්ථ	prashastha
ක්‍රමවේදයන්	kramawedayan
සංවර්ධනය	sanwardanaya
කරයි.	karai.
</s>	</s>
ලොව	Lowa
මුල්ම	mulma
චායාරූපය-වහලය	chayaroopaya-vahalaya
</s>	</s>
සාප්පු	Sappu
හා	ha
කර්යාල	karyala
සේවක	sewaka
පනත	panatha
අදාලවන	adalawana
සේවකයින්	sewakayin
4ක්	4k
හෝ	ho
ඊට	eta
වැඩි	wedi
සේවක	sewaka
සංඛ්‍යාවක්	sankayawak
සේවය	sewaya
කරන	karana
තොග	thoga
හා	ha
සිල්ලර	sillara
වෙළදාම	welandama
සදහා	sandaha
ද,	da,
සේවකයින්	Sewakayin
10ක්	10k
හෝ	ho
ඊට	eta
වැඩි	wedi
සංඛ්‍යාවක්	sankayawak
සේවය	sewaya
කරන	karana
හෝටල්	hotel
හා	ya
භෝජනාගාර	bhojanagara
සේවකයින්	sewakayin
සදහාද	sandahada
පඩි	padi
පාලක	palaka
පනත	panatha
යටතේ	yatathe
වැටුප්	wetup
නියම	niyama
කර	kara
ඇත.	atha.
</s>	</s>
රතු	Rathu
ආලෝකය	alokaya
සඳහා	sandaha
සිලිකන්	silikon
ප්‍රභාසංස්ලේෂණය	prabhasansleshanaya
ඉතා	itha
සංවේදී	sanwedee
වේ.	we.
</s>	</s>
තණ්හාව	Thanhawa
තමයි	thamai
දුක්ඛ	dukkha
සමුය	samuya
කියන්නේ.	kiyanne
</s>	</s>
ඔප්ටිකල්	Optical
මවුස	mousa
LED	LED
(හෝ	(ho
අධෝරක්ත	adoraktha
ඩයෝඩය)	diodaya)
ආලෝකය	alokaya
විහිදුවන	vihiduwana
රූපයක්	roopayak
මත	matha
පදනම්ව,	padanamwa,
ඔප්ටිකල්	optical
මවුස	mausa
විවිධ	wiwida
වර්ණැති	warnethi
මූසික	moosika
පුවරු	puwaru
භාවිතා	bhawitha
කිරීම	kireema
නිසා	nisa
අනාරක්ෂිත	anarakshitha
කාර්ය	karya
සාධනයක්	sadhanayak
ඇති	athi
විය	wiya
හැක.	heka.
</s>	</s>
ඉලෙක්ට්‍රෝනයක්	Electronayaka
භෞම	bhowma
අවස්ථාවේදී	awasthawedi
න්‍යෂ්ටියට	niyashtiyata
ආසන්නතම	asannathama
අඩු	adu
ම	ma
ශක්ති	shakthi
මට්ටමක	mattamaka
පවතී.	pawathi.
</s>	</s>
ඝනැනි	Ghanani
මුද්‍රාවක්	mudrawak
වැනි	weni
සිප්පි	sippi
කටුවකින්	katuwakin
තනන	thanana
ලද	lada
මාලිමාවක්	malimawak
ලෙස	lesa
භාවිතා	bhawitha
කරන	karana
ලද	lada
වස්තුවක්	wasthuwak
හමු	hamu
වී	wee
ඇති	athi
අතර	athara
එය	Eya
සිරස්ව	siraswa
හෝ	ho
තිරස්ව	thiraswa
අංශක	anshaka
40	40
කොටස්	kotas
මඟින්	magin
අංශක	anshaka
360	360
දක්වා	dakwa
මිනුම්	minum
ගැනීමේ	geneeme
හැකියාව	hekiyawa
සහිත	sahitha
විය.	wiya.
</s>	</s>
ටෙක්නීටියම්වල	Technigiyamwala
විකිරණශීලී	wikiranasheelee
පසුබිම	pasubima
මෙම	mema
විඛාදන	vikhadana
ආරක්ෂණය	arakshanaya
ප්‍රායෝගික	prayogika
නොවන	nowana
තත්වයට	thathwayata
පත්	path
කරයි.	karai.
</s>	</s>
මඩලගම	Madalagama
වජිර	vajira
බද්ධි	bhaddi
හිමි	himi
එම	ema
සිරිත්	sirith
24	24
පහත	pahatha
ආකාරයට	akarayata
හඳුන්වා	handunwa
දී	dee
ඇත.	etha.
</s>	</s>
1987	1987
ඉන්දු	Indu
ලංකා	lanka
ගිවිසුම	givisuma
ඔස්සේ	osse
පළාත්	palath
සභා	sabha
ස්ථාපිත	sthapitha
කිරීමත්	kireemath
සමග	samaga
බොහෝ	boho
දෙමළ	demala
සංවිධාන	sanvidhana
ප‍්‍රජාතන්ත‍්‍රවාදී	prajathanthrawadi
පාලන	palana
ව්‍යුහයට	viyuhayata
පිවිසිනි.	pivisini
</s>	</s>
තුමා	Thuma
විසින්	wisin
පෞද්ගලික ව	paudgalikawa
ඇගයීමට	agayeemata
ලක්කරමින්	lakkaramin
‘රිදී	'ridee
වෘකයා’	wurkaya'
සම්මානය	sammanaya
ද	da
ප්‍රදානය	pradanaya
කරන	karana
ලද්දේ	ladde
ය.	ya.
</s>	</s>
විද්‍යාවේ	Vidyawe
එළියට	eliyata
පණ	pana
ගන්වා	ganwa
</s>	</s>
ඵල	Pala
බවට	bawata
බිඳ	binda
වැටේ.	wete.
</s>	</s>
ජීව	Jeewa
විද්‍යාව	vidyawa
ද	da
ශාක	shaka
හා	ha
සතුන්	sathun
කෙරේ	kere
ඇතිවන	athiwana
භීතිකා	bheethika
තත්වයන්	thathwayan
විරෝධාකල්පයන්	wirodakalpayan
පිළිකුල	pilikula
හැගීවීමට	hengaweemata
භීතිකා	bheethika
යව	yana
වදන	wadana
යොදාගනී	yodaganee.
</s>	</s>
මෙම	Mema
විද්‍යාත්මක	vidyathmaka
ක්‍රමයන්	kramayan
පසුකාලිනව	pasukaleenawa
ඇමරිකානු	amerikanu
පුනර්ජිවනයේ	punarjeewanaye
සිතන	sithana
ආකාරයට	akarayata
පත්	path
විය.	wiya.
</s>	</s>
සප්ත	Saptha
යෝගය	yogaya
-	-
ඉන්ද්‍ර	indra
ගුරුළුව,	guruluwa,
පංච	pancha
පක්ෂිය,	pakshiya,
යමකාලය,	yamakalaya,
දඩු	dadu
මරණය,	maranaya,
දින	dina
මුර්තුව,	murthuwa,
ඊසකය,	eesakaya,
ශිවා	shiwa
ලිඛිතය	likihithaya
</s>	</s>
තෙත්	Theth
කාලයට	kalayata
වඩා	wada
වියළි	wiyali
කාලයේ	kalaye
ඕසෝන්	ooson
මට්ටම	mattama
වැඩිය.	wediya.
</s>	</s>
එබැවින්	Ebawin
විදුහල්පතිවරයාගේ	viduhalpathiwarayage
නිසි	nisi
කළමනාකරණයට	kalamanakaranayata
ලක්	lak
නොවීමෙන්	noweemen
ඒවා	ewa
සක්‍රීය	sakriya
අන්දමින්	andamin
ක්‍රියාත්මක	kriyathmaka
නොවේ.	nowe.
</s>	</s>
අතීතයේ	Atheethaye
සතුන්	sathun
සමූහයක්(පට්ටියක්)	samoohayak(pattiyak)
ලෙස	lesa
රැකබලා	rekabala
ගැනීම	geneema
සාමාන්‍ය	samanya
දෙයක්	deyak
විය.	wiya.
</s>	</s>
මෙම	Mema
පුවත්පත	puwathpatha
කිහිපවතාවක්	kihipawathawak
පහරදීමට	paharadeemata
ලක්ව,	lakwa,
අවිගත්	avigath
කණ්ඩායම්	kandayam
සහ	saha
අනෙකුත්	anekuth
හමුදා	hamuda
බලකායන්	balakayan
විසින්	wisin
එහි	ehi
කාර්ය	karya
මණ්ඩලයෙහි	mandalayehi
කිහිප	kihipa
දෙනෙකු	deneku
ඝාතනයට	ghathanayata
ලක්වී	lakwee
ඇති	athi
අතර,	athara,
එය	eya
නිතොරම	nithorama
තර්ජනයන්ට	tharjanayantha
ලක්වෙයි.	lakwei.
</s>	</s>
සෘතුමය	Irthumaya
ශීත	sheetha
වීමට	weemata
ප්‍රතිචාර	prathichara
ලෙස	lesa
ගංගා	ganga
හා	ha
විල්වල	wilwala
අයිස්	ice
ඇති	athi
වේ.	we.
</s>	</s>
ෆ්ලැක්ට	Flakta
අනූව	anuwa
රොසෙන්බර්ග්	Rosenberg
සමහර	samahara
මතයන්	mathayan
මානව	manawa
ස්වභාවයේ,	swabhawage,
සාහිත්‍යයයේ	sahithye
හා	ha
කලාවේ	kalawe
සංකීර්ණතාවයන්	sankeernathawayan
හා	ha
නොගැලපෙන	nogalapena
සරල	sarala
පිළිතුරු	pilithuru
බවට	bawata
පත්	path
වී	wee
ඇත.	atha.
</s>	</s>
හස්තීන්	Hastheen
විසින්	wisin
ඔවුන්ගේ	owunge
සතුරන්	sathuran
පාගා	paga
දමන	damana
අතර,	athara,
එබැවින්ම	ebawinma
හැනිබල්	henibal
වැනි	weni
සේනාධිපතීන්	senadipatheen
විසින්	wisin
ප්‍රචලිත	prachalitha
ලෙසින්	lesin
යුද්ධ	yudda
හස්තීන්	hastheen
භාවිතා	bhawitha
කළ	kala
බව	bawa
පෙනෙයි.	penei.
</s>	</s>
ඵම	Ema
නිවාස	niwasa
තැනින්	thenin
තැනට	thenata
රෑගෙන	regena
යැමට	yamata
හැකි	heki
වු	wu
අතර	athara
ඕනෑම	onama
පුද්ගලයක්ට	pudgalayekta
ඇතු‍ළු	athulu
වීමටත්	weematath
ඉන්	in
පිටවීමටත්	pitaweematath
නිදහස	nidahasa
තිබුණි.	thibuni.
</s>	</s>
මෙය	Meya
ඩිම්බ	dimba
මෝචනයට	mochanayata
හේතු	hethu
වේ.	we.
</s>	</s>
තවද	Thawada
චීනයේ	cheenaye
ප්‍රධාන	pradhana
ආර්ථික	arthika
මධ්‍යස්ථානය	madyasthanaya
ෂැංහයි	shanhai
වේ.	we.
</s>	</s>
19වන	19wana
සියවසේ	siyawase
අග	aga
දක්වාම	dakwama
පිරිමින්ට	piriminta
පමණක්	pamanak
සීමාවූ	seemawu
නැටුමකි.	netumaki.
</s>	</s>
තරල	Tharala
ගතිවිද්‍යාවේ	gathiwidyawe
ගැටළු	getalu
වල	wala
විසඳුම්	visandum
සෙවීමේ	seweeme
දී	dee
බොහෝ	boho
විට	wita
තරලයෙහි	tharalayehi
ප්‍රවේගය,	prawegaya,
පීඩනය,	peedanaya,
ඝනත්වය	ghanathwaya
හා	ha
උෂ්ණත්වය	ushnathwaya
වැනි	weni
ගුණයන්	gunayan
අවකාශය	awakashaya
හා	ha
කාලයෙහි	kalayehi
ශ්‍රිතයක්	srithayan
ලෙස	lesa
ගණනය	gananaya
කිරීම	kireema
ඇතුලත්	athulath
වේ.	we.
</s>	</s>
සමහර	Samahara
අවස්ථාවලදී	awasthawaladi
වාර්තා	wartha
කරුවන්	karuwan
සිය	siya
නැඹුරුවන්	nemburuwan
ඉවත්	iwath
කිරීමට	kireemata
උත්සාහ	uthsaha
කළද	kalada
ඇතැම්	atham
ඒවා	ewa
පවතින්නේ	pawathinne
යැයි	yai
ඔවුන්	owun
නොදැනුවත්ව	nodanuwathwa
සිටිය	sitiya
හැක.	heka.
</s>	</s>
'සියන්	Siyan
ඔෆ්’	of'
ද	da
ලාස්	last
ඩේස්	days
ඔෆ්	of
ටෙලිවිෂන්	television
යන	yana
කෘතිය	kruthiya
ලියූ	liyoo
එඩ්වින්	Edwin
ඩයමන්	Diamon
“	“
ඩිස්කො	disko
පත්‍රකලාවේදය	pathrakalawedaya
”	”
නම්	nam
යෙදුමක්	yedumak
නර්මාණ	nirmana
කළ	kala
ද	da
පසුව	pasuwa
ඔහු	ohu
එය	eya
ප්‍රතික්ෂේප	prathikshepa
කළේය.	kaleya.
</s>	</s>
ගුප්ත	Guptha
සමාජය	samajaya
සංවිධානය	sanvidanaya
වූයේ	wooye
හින්දු	hindu
අදහස්	adahas
පදනම්	padanam
කරගනිමිනි.	karaganimini.
</s>	</s>
ගෘහ	Gruha
පාලනය	palanaya
ඔ‍බේ	obe
කාර්යයන්ට	karyayanta
විශාල	wishala
වශයෙන්	washayen
බලපාන්නේ	balapanne
කෙසේද?	keseda?
</s>	</s>
එනම්	Enam
බුද්ධ	buddha
දේශනාවල	deshanawala
බොහෝ	boho
තැන්වල	thenwala
දක්නට	daknata
ලැබෙන	labena
‘එතං	éthan
මෙ	me
එසො	eso
හමස්මි	hamasmi
එසො	eso
මෙ	me
අත්තා’	aththa'
යන	yana
ප්‍රකාශය	prakashaya
අනුව	anuwa
සිතීමෙනි.	sitheemeni.
</s>	</s>
උන්	Un
කරන්නේ	karanne
මේ	me
අවස්ථාවේදී	awasthawedi
උගේ	uge
කකුල්	kakul
අකුළලා	akulala
ශරීරය	shareeraya
ඇතුළට	athulata
ගැනීමයි.	geneemai.
</s>	</s>
සංස්ථාපිත	Sansthapitha
ගිවිසුම්,	givisum,
කුලියට	kuliyata
දීමේ	deeme
පරිචයන්	parichayan
සහ	saha
පාරිභෝගික	paribogika
භාණ්ඩ	bhanda,
නිෂ්පාදනය	nishpadanaya
සහ	saha
විකිණීම	wikineema
යනාදිය	yanadiya
සම්බන්ධයෙන්	sambandayen
නියාමනය	niyamana
කිරීම	kireema
වානිජ	wanija
නීතිය	neethiya
විසින්	wisin
සිදු	sidu
කරනු	karanu
ලබයි.	labai.
</s>	</s>
වෙදකමට	Wedakamata
අධිපති	adipathi
භෛසජ්‍යගුරු	hisajyaguru
බුදුන්	budun
(යඔෂි	(yaoshi
ෆෝ)	fo)
මෙට්‍රොපොලිටන්	metropolitan
කලා	kala
කෞතුකාගාරය	kauthukagaraya
</s>	</s>
ආහාරයන්	Aharayan
වෙනුවට,	wenuwata,
ඇඳුම්	andum
පැළදුම්	pelandum
රෑපවාහිනී	roopavahini
වැඩසටහන්,	wedasatahan,
තමා	thama
කැමති	kemathi
පුද්ගලයින්	pudgalayin
වැනි	weni
මනවඩනා	manawadana
රෑපයන්	roopayin
ආදේශ	adesha
කර	kara
