තන්ත්‍රයන්ට අනුව මහා තත්ත්වය (පරබ්‍රහ්මන්) ද්විත්වයන් මත රඳා පවතී.	Thanthrayanta anuwa maha thathwaya (parabrahman) dwithwayan matha randa pawathee.
හස්තීන් විසින් ඔවුන්ගේ සතුරන් පාගා දමන අතර, එබැවින්ම හැනිබල් වැනි සේනාධිපතීන් විසින් ප්‍රචලිත ලෙසින් යුද්ධ හස්තීන් භාවිතා කළ බව පෙනෙයි.	Hastheen wisin owunge sathuran paga damana athara, ebawinma henibal weni senadipatheen wisin prachalitha lesin yudda hastheen bhawitha kala bawa penei.
ඵම නිවාස තැනින් තැනට රෑගෙන යැමට හැකි වු අතර ඕනෑම පුද්ගලයක්ට ඇතු‍ළු වීමටත් ඉන් පිටවීමටත් නිදහස තිබුණි.	Ema niwasa thenin thenata regena yamata heki wu athara onama pudgalayekta athulu weematath in pitaweematath nidahasa thibuni.
මෙය ඩිම්බ මෝචනයට හේතු වේ.	Meya dimba mochanayata hethu we.
තවද චීනයේ ප්‍රධාන ආර්ථික මධ්‍යස්ථානය ෂැංහයි වේ.	Thawada cheenaye pradhana arthika madyasthanaya shanhai we.
19වන සියවසේ අග දක්වාම පිරිමින්ට පමණක් සීමාවූ නැටුමකි.	19wana siyawase aga dakwama piriminta pamanak seemawu netumaki.
තරල ගතිවිද්‍යාවේ ගැටළු වල විසඳුම් සෙවීමේ දී බොහෝ විට තරලයෙහි ප්‍රවේගය, පීඩනය, ඝනත්වය හා උෂ්ණත්වය වැනි ගුණයන් අවකාශය හා කාලයෙහි ශ්‍රිතයක් ලෙස ගණනය කිරීම ඇතුලත් වේ.	Tharala gathiwidyawe getalu wala visandum seweeme dee boho wita tharalayehi prawegaya, peedanaya, ghanathwaya ha ushnathwaya weni gunayan awakashaya ha kalayehi srithayan lesa gananaya kireema athulath we.
සමහර අවස්ථාවලදී වාර්තා කරුවන් සිය නැඹුරුවන් ඉවත් කිරීමට උත්සාහ කළද ඇතැම් ඒවා පවතින්නේ යැයි ඔවුන් නොදැනුවත්ව සිටිය හැක.	Samahara awasthawaladi wartha karuwan siya nemburuwan iwath kireemata uthsaha kalada atham ewa pawathinne yai owun nodanuwathwa sitiya heka.
'සියන් ඔෆ්’ ද ලාස් ඩේස් ඔෆ් ටෙලිවිෂන් යන කෘතිය ලියූ එඩ්වින් ඩයමන් “ ඩිස්කො පත්‍රකලාවේදය ” නම් යෙදුමක් නර්මාණ කළ ද පසුව ඔහු එය ප්‍රතික්ෂේප කළේය.	Siyan of' da last days of television yana kruthiya liyoo Edwin Diamon “ disko pathrakalawedaya ” nam yedumak nirmana kala da pasuwa ohu eya prathikshepa kaleya.
ගුප්ත සමාජය සංවිධානය වූයේ හින්දු අදහස් පදනම් කරගනිමිනි.	Guptha samajaya sanvidanaya wooye hindu adahas padanam karaganimini.
ගෘහ පාලනය ඔ‍බේ කාර්යයන්ට විශාල වශයෙන් බලපාන්නේ කෙසේද?	Gruha palanaya obe karyayanta wishala washayen balapanne keseda?
එනම් බුද්ධ දේශනාවල බොහෝ තැන්වල දක්නට ලැබෙන ‘එතං මෙ එසො හමස්මි එසො මෙ අත්තා’ යන ප්‍රකාශය අනුව සිතීමෙනි.	Enam buddha deshanawala boho thenwala daknata labena éthan me eso hamasmi eso me aththa' yana prakashaya anuwa sitheemeni.
උන් කරන්නේ මේ අවස්ථාවේදී උගේ කකුල් අකුළලා ශරීරය ඇතුළට ගැනීමයි.	Un karanne me awasthawedi uge kakul akulala shareeraya athulata geneemai.
සංස්ථාපිත ගිවිසුම්, කුලියට දීමේ පරිචයන් සහ පාරිභෝගික භාණ්ඩ නිෂ්පාදනය සහ විකිණීම යනාදිය සම්බන්ධයෙන් නියාමනය කිරීම වානිජ නීතිය විසින් සිදු කරනු ලබයි.	Sansthapitha givisum, kuliyata deeme parichayan saha paribogika bhanda, nishpadanaya saha wikineema yanadiya sambandayen niyamana kireema wanija neethiya wisin sidu karanu labai.
වෙදකමට අධිපති භෛසජ්‍යගුරු බුදුන් (යඔෂි ෆෝ) මෙට්‍රොපොලිටන් කලා කෞතුකාගාරය	Wedakamata adipathi hisajyaguru budun (yaoshi fo) metropolitan kala kauthukagaraya
ආහාරයන් වෙනුවට, ඇඳුම් පැළදුම් රෑපවාහිනී වැඩසටහන්, තමා කැමති පුද්ගලයින් වැනි මනවඩනා රෑපයන් ආදේශ කර අස්ථංගමය මෙනෙහි කළ හැක.	Aharayan wenuwata, andum pelandum roopavahini wedasatahan, thama kemathi pudgalayin weni manawadana roopayin adesha kara asthangamaya menehi kala heka.
දේශනය පවත්වනවා ද නැතිනම් තම දිවියේ අවසන් දින කිහිපය තම පවුලේ ය සමග ගත කරනවා ද යන සිතුවිලි අතර දෝලනය වෙමින් ඔහු කාලය ගත කළේය.	Deshanaya pawathwanawa de nethinam thama diviye awasan dina kihipaya thama pawule aya samaga gatha karanawa da yana sithuwili athara dolanaya wemin ohu kalaya gatha kaleya.
ඉර්ෆාන් ඛාන්, කථිකයා ලෙස	Irfan khan, kathikaya lesa
මෙවැනි අභීයෝග රැසක් වරින් වර මතු වුවද ඒවා සාක් සංවිධානයේ ප‍්‍රගතියට එතරම් බාධාකාරී නොවීය.	Mewani abhiyoga resak warin wara mathu wuwada ewa saark sanvidanaye pragathiyata etharam bhadakaree noweeya
අගයක් නැති නොවන පිළිතුරක් පැවතීම සඳහා,	Agayak nethi nowana pilithurak pewatheema sandaha,
ස්ත්‍රිය සිටගෙන හෝ පුටුවක වාඩිවී සිටින විට පුරුෂයා දන ගසාගෙන තම මුවින් යෝනිය හා භගමණිය උරාබීම හා ලෙවකෑම.	Sthriya sitagena ho putuwaka wadiwee sitina wita purushaya dana gasagena thama muwin yoniya ha hagamaniya urabeema ha lewakema.
බහුතරයක් ඊජිප්තුවේදීන් විශ්වාස කරන්නේ මෙය ඊජිප්තු පුරාණෝක්තිවේදයේ හුදු සංකේතාත්මක රූ පමණක් බව ය.	Bahutharayak igyptuwedeen vishwasa karanne meya egyptu puranokthiwedaye hudu sankethathmaka roo pamanak bhawa ya.
සිංගප්පුරුව, චීනය, ඉන්දියාව හා ජපානය යන රටවලින් සමන්විත සන්ධානයක් ඩොලර් මිලියන 500 ක් නව විශ්ව විද්‍යාලය තැනීමටත්, තවත් ඩොලර් මිලියන 500 ක් අවශ්‍ය යටිතල පහසුකම් ඇති කිරීම සඳහාත් රැස් කිරීමට බලාපොරොත්තු වේ.	Singappooruwa, cheenaya, indiyawa ha japanaya yana ratawalin samanwitha sandhanayak dollar milliona 500 k nawa wishwa vidyalaya Theneematath, thawath dollar milliona 500 k awashya yatithala pahasukam athi kireema sandahath res kireemata balaporoththu we.
කෙසේවෙතත්, මෙම ක්‍රියා පිළිවෙත එකල වන විට හොඳින් තහවුරුව තිබූ අතර 19වන සියවස දක්වා අඛණ්ඩව භාවිතා වුනි.	Kesewethath, mema kriya piliwetha ekala wana wita hondin thahawuruwa thiboo athara 19wana siyawasa dakwa akhandawa bhawitha wuni.
ජ්‍යාමිතියේ දී පිරමීඩයක් (ඉංග්‍රීසි: Pyramid) යනු ත්‍රිකෝණාකාර මුහුණත් සතරකුත් චතුරස්‍රාකාර පාදමකුත් සහිත වස්තුවකි.	Jyamithiye di pirameedayak (english Pyramid) yanu thrikonakara muhunath satharakuth chathurashakara padamakuth sahitha wasthuwaki.
තමන්ට සරදම් කරන්නේ යැයි සිතන ඉන්දු ඔහුව නොමඟ යවයි.	Thamantha saradam karanne yei sithana indu ohuwa nomaga yawai.
එමෙන්ම ශාක වැඩි වශයෙන් දක්නට ලැබෙන ප්‍රදේශ වලද විහේෂයෙන් අක්ෂාංශ 14 ට වැඩි ප්‍රතිකුල ගඟ සහිත ප්‍රදේශ වලද දැක ගත හැකිය.	Emenma shaka wedi washayen daknata labena pradesha welada visheshayen akshansha 14 ta wedi prathikula ganga sahitha pradesha walada deka gatha hekiya.
අනුරාධපුරයේ රජ ලෙසින් පිලිය මාර රාජ්‍ය පාලනය සිදු කලේ ක්‍රිපූ 91 සිට ක්‍රිපූ 90 දක්වා වෙයි.	Anuradhapuraye raja lesin piliy mara rajya palanaya sidu kale kripu 91 sita kripu 90 dakwa wei.
මෙහි ඊට අමතරව ඇල්කේන, ඩ්‍රැගන්ස් බ්ලඩ් (වර්ණය සඳහා) සහ වයින් (වර්ණය සඳහා) වැනි විවිධාකාර ද්‍රව්‍ය අඩංගු වේ.	Mehi eta amatharawa alkena, dragons blood (warnaya sandaha) saha vine (warnaya sandaha) wani vividhakara drawya adangu we.
එහෙයින් පෘතුගිසින්ගේ මුල්ම ආක්‍රමණ කොට්ටේ රාජධානියට එරෙහිව සිදුවිය.	Ehein pruthugeesinge mulma akramana kotte rajadhaniyata erehiwa sidhuwiya.
විශේෂයෙන්ම මුක්කුවාර්වරු ජීවත්වූ මාන්තිව්, නාවක්කුඩා, හා මාන්පුරි ප්‍රදේශවලටද එතුමන්ගේ සේවය හිමිවිය.	Wisheshayenma mukkuwarwaru jeewathwuu manthiwu, nawakkuda, ha manpuri pradeshawalatada ethumange sewaya himiwiya.
තවත් වැදගත් නිගමනයක් වන්නේ, ඩොප්ලර් ආචරණය පොදුවේ කාලය මත ද රඳා පවතින බව යි.	Thawath wedagath nigamanayak wanne, doplar awaranaya poduwe kalaya matha da randa pawathina bhawa i.
1993 සිට ඔවුන්ට ස්වයංක්‍රිය ගිනි අවි නිකුත් කර ඇත.	1993 sita owunta swayankreeya gini awi nikuth kara atha.
