پاڪستان	Pakistan
</s>	</s>
سندس	sandas
انسيت	ansyat
جي	jee
ايم	aen
سيد،	sayed,
شيخ	shaikh
عبدالمجيد	Abdul Majeed
سنڌي	sindhi
۽	aen
ذوالفقار	Zulfiqaar
علي	Ali
ڀٽي	Bhati
سان	saan
گهڻي	ghani
هئي.	hui.
</s>	</s>
ان	una
جذبات	jzbat
۾	men
پوءِ	poi
هوءَ	hoa
نه	na
ٿي	thi
ڏسي	disi
سفر	safaru
جي	je
ڏکيائي،	dkheaie,
رستي	raste
جو	jo
ثمر،	smr,
نه	na
منزل	manzil
جي	je
ڄاڻ،	jaana,
عشق	ishiq
۾	men
ديوانو	diwaano
ٿي	thi
نتيجي	natije
تي	te
غور	gor
ڪرڻ	karanu
بنا	binaa
پيار	piyaar
حاصل	haasil
ڪرڻ	karanu
لاءِ	laai
نڪري	nikre
پوڻ	pwanu
عشق	ishiq
۾	men
عجيب	ajeeb
ڳالهه	gaalih
ڪونهي	konhe
پر	para
اهڙن	ahran
قصن	ksn
جي	je
نفسياتي	nfseute
اثر	asaru
هيٺ	heth
ڪن	kan
وڏن	wadan
مسئلن	masailan
تي	te
اسان	asan
جا	jaa
فيصلا	feeslaa
اهڙا	ahraa
ئي	ie
رهيا	rahiya
آهن.	ahin.
</s>	</s>
هن	hin
ڪتاب	kitaab
جو	jo
پنجون	pnjoon
ڇاپو،	chhapo,
ڪرائون	karaion
پرنٽنگ	printing
پريس،	press,
حيدرآباد	hyderabad
مان	maan
1944ع	1944
۾	men
ڇپيو.	chhapiyo.
</s>	</s>
چانھ	chunah
جا	jaa
مختلف	mukhtalif
قسم	qasam
ٿيندا	thindaa
آهن	ahin
جيئن	jian
دارجيلنگ،	darjelng,
سائي	saaie
چانھن,	chunhan,
۽	aen
ٻيون	biyun
جن	jin
جو	jo
نمونو	nmuno
وري	wari
مختلف	mukhtalif
ھوندو	hondo
آھي	aahe
جن	jin
۾	men
مٺي،	mthe,
داڻيدار،	dunuedar,
گلن	guln
واري	ware
۽	aen
گاھ	gah
وانگر.	wangur.
</s>	</s>
مٿي	mathe
بيان	bayaan
ڪيل	kayal
”سون	"son
ڪلچر“	kulchr"
انهن	unhan
ماڻهن	manhun
جو	jo
ئي	ie
آهي،	ahe,
جيڪي	jeke
سنڌ،	Sindh,
بلوچستان	balochistan
۽	aen
پنجاب	panaab
تائين	taaen
پکڙيل	pkhdrel
هئا،	huwa,
ميدانن	medaann
۾	men
رهندا	rahandaa
هئا.	huwa.
</s>	</s>
’ملهه	milhh
يڌ‘	edh'
شري	shre
ڪرشن	karshn
۽	aen
راجا	raajaa
ڪڻس	knrs
جي	je
وچ	wich
۾	men
به	bi
ٿي،	thi,
مهاڀارت	mahabharat
۾	men
ملهه	milhh
جو	jo
ٻيو	biyo
ذڪر	zikiru
شري	shre
ڪرشن	karshn
۽	aen
راجا	raajaa
جامنت	jamant
جي	je
وچ	wich
۾	men
مقابلي	muqable
جي	je
حوالي	hawale
سان	saan
ملي	mile
ٿو.	tho.
</s>	</s>
هن	hin
چپ	chup
جي	je
استعمال	istaemal
سان	saan
ئي	ie
ڪمپيوٽر	computer
کي	khe
ذاتي	zaati
ڪمپيوٽر	computer
(پرسنل	(personal
ڪمپيوٽر)	computer)
جو	jo
نالو	naalo
ڏيڻ	diyan
شروع	Shuru
ڪيو	kayo
ويو.	wayo.
</s>	</s>
سندس	sandas
ڪلام	kalaam
۾	men
وڏي	wade
رواني	rounae
آهي،	ahe,
اردوءَ	urdua
جي	je
شاعر	shaairu
فيض	fez
احمد	ahmad
فيض	fez
جي	je
شاعريءَ	shaairi
تي	te
حافظ	haafiz
جي	je
شاعريءَ	shaairia
جو	jo
وڏو	wado
اثر	asaru
رهيو	rahiyo
آهي.	ahe.
</s>	</s>
ڄام	jaamu
صلاح	salaha
الدين	aldinu
سنڌ	Sindh
جي	je
جدا	judaa
جدا	judaa
ڀاڱي	bhange
ڏي	de
فوجون	fojoon
موڪلي	mokule
سنڌ	Sindh
کي	khe
پنهنجي	pahinje
خودمختيار	khoodmkhtayaar
تسلط	tslt
هيٺ	heth
آندو.	aando.
</s>	</s>
رڳو	rugo
ٻولي	boli
(Bboli)	(Bboli)
جي	je
هڪجهڙائي	hikujahiraaie
به	bi
ڪنهن	kanhin
قوم	qoama
جي	je
جدا	judaa
قومي	qomi
وجود	wijood
جو	jo
بنيادي	bunyaadi
شرط	shrt
ڪونه	kona
آهي.	ahe.
</s>	</s>
اهو	uho
علائقو	ilaiqo
اسان	asan
جي	je
سڃاڻ	snjunu
موجب	mojib
اروڙ	arodr
جي	je
اوسي	awase
پاسي	paase
ڪاٿي	kuthi
هو.	ho.
</s>	</s>
گهوڙي	ghodre
وارو	waro
هيءُ	heu
نظم	nazam
اُن	una
جو	jo
بهترين	bahtrain
مثال	misal
آهي؟	ahe?
</s>	</s>
پيداوار	pedaawaar
جو	jo
ڪجھ	kujh
حصو	hiso
خريدار	kharidar
ڏي	de
اُماڻي	aumunue
موڪلڻ	mokulnr
ته	ta
هُو	hu
ان	una
کي	khe
ڏسي	disi
چڪاسي	chukaase
ڏسي	disi
۽	aen
پوءِ	poi
خريد	kharid
ڪري،	kare,
جيڪڏهن	jekadhin
خريدار	kharidar
ورتل	oratul
نموني	namone
تي	te
خريداري	kharidare
ڪري	kare
ٿو	tho
ته	ta
اهو	uho
نمونو	nmuno
هُو	hu
رکندو	rakhando
۽	aen
مال	maal
کي	khe
ان	una
سان	saan
ڀيٽي	bhete
ڏسي	disi
نه	na
ته	ta
ٻي	bi
صورت	soorata
۾	men
واپس	wapas
ڪندو	kando
کي	khe
نمونو	nmuno
يا	yaa
سيميپل	semepal
چئبو	chaibo
آهي.	ahe.
</s>	</s>
اهو	uho
سڄو	sajo
سامان	saamaan
ٻن	bin
طريقن	trekn
سان	saan
هتي	hite
پهتو.	puhto.
</s>	</s>
ان	una
کي	khe
ائين	ian
به	bi
سمجھي	smjhi
سگھجي	sghje
ٿو	tho
ته	ta
صبح	subuh
کان	khan
وٺي	wathee
رات	raati
تائين	taaen
ماڻهوءَ	manhoa
جي	je
مصروف	msrof
زندگيءِ	zindagii
کي	khe
حقيقي	haqueke
زندگي	zindagi
چئبو	chaibo
آهي.	ahe.
</s>	</s>
پر	para
سندس	sandas
ماءُ	maau
شوڪت	shokt
خانم	khanum
پنهنجي	pahinje
زندگيءَ	zindagi
جو	jo
گھڻو	ghanu
تڻو	tnro
وقت	wakt
ميانوالي	miyaanoale
۾	men
گذاريو.	guzaareo.
</s>	</s>
شيرين	sheren
فرھاد	frhad
</s>	</s>
بعد	baad
۾	men
هن	hin
سنڌ	Sindh
يونيورسٽيءَ	univaristia
۾	men
امتحاني	amthunae
ڪنٽرولر،	kanttrolr,
رجسٽرار	rjsttrar
۽	aen
ايڊيشنل	aedishnl
ڊائريڪٽر	dairekttr
(سنڌالاجي)	(Sindhalaaje)
طور	toru
خدمتون	khidmaton
سرانجام	sirunajaam
ڏنيون.	dinion.
</s>	</s>
اتي	ute
ئي	ie
مهدي	mhde
سرڪار	sarkaar
جي	je
اجازت	ijaazat
سان	saan
سندس	sandas
پهريون	pahriyun
طالب	talb
(مريد)	(murid)
محمد	muhammad
پناهه	pnahh
ٿهيم	thhem
ٿيو	thiyo
۽	aen
جيل	jel
کان	khan
نڪرڻ	nkaranu
کانپوءِ	khapoi
سندن	sandan
مريدي	muride
جو	jo
اهو	uho
سلسلو	silsilo
وڌيڪ	wadheeka
پراثر	paraasaru
بنجي	banji
ويو.	wayo.
</s>	</s>
ڪئناڊا	kinada
جي	je
صوبي	sobe
برٽش	brttsh
ڪولمبيا	kolmbyaa
۾	men
وهڻ	ohnr
وارو	waro
هڪ	hiku
درياھ.	daruyaah.
</s>	</s>
ليڪن	lekhakan
بروهي	brohe
خانه	khanuh
بدوش	bdosh
قوم	qoama
آهي،	ahe,
تعليم	taileema
نه	na
هئڻ	huwan
ڪري	kare
خريدار	kharidar
اٽي	ate
۾	men
لوڻ	lwanu
جيترا	jetra
مس	masa
آهن.	ahin.
</s>	</s>
ڌرتيءَ	dhartia
جي	je
اتر	utar
۽	aen
ڏکڻ	dakhanu
تي	te
برف	brf
ئي	ie
برف	brf
آهي.	ahe.
</s>	</s>
جڏهن	jadahin
ته	ta
روزاني	rozunae
‘سوڀ‘	'sobh'
جي	je
مئگزين	migzen
انچارج	unachaarj
طور	toru
پڻ	pinu
ذميواريون	zmewariyun
نڀايون..	nbhaeon..
</s>	</s>
اڄ	aju
به	bi
خطاط	khatuat
خوبصورت	khubsurat
نموني	namone
قرآن	quraan
شريف	sharif
۽	aen
ٻين	biyan
ڪتابن	kithe
جي	je
ڪتابت	kitaabt
ڪري	kare
داد	dad
حاصل	haasil
ڪندا	kandaa
آهن.	ahin.
</s>	</s>
مشتري	mshtre
۾	men
زمين	zamin
جي	je
مقابلي	muqable
۾	men
317.7	317.7
سيڪڙو	sekro
مادو	mado
موجود	mojod
آھي.	aahe.
</s>	</s>
آيو	aayo
IO	IO
جوپيٽر	jopetur
جو	jo
پنجون	pnjoon
چنڊ	chandu
۽	aen
ٽيون	tiyun
سڀني	sabhni
کان	khan
وڏو	wado
چنڊ	chandu
آھي.	aahe.
</s>	</s>
گلن	guln
جي	je
موسم	mosam
مارچ	march
مهينو	mheno
اٿس.	athas.
</s>	</s>
ان	una
کان	khan
سواءِ،	sawai,
ڪي	ke
بُتَ	buta
به	bi
اڃا	ajan
سلامت	salaamat
موجود	mojod
آهن.	ahin.
</s>	</s>
روزآني	rozaane
جي	je
مشاهدي	mshaahde
مان	maan
ان	una
ڳالهه	gaalih
جي	je
ڄاڻ	jaana
پئجي	paije
رهي	rahe
آهي	ahe
ته	ta
ناول	naavil
جي	je
ضرورت	zaroorat
وڌندي	wadhnde
پئي	paee
وڃي.	waji.
</s>	</s>
ان	una
مان	maan
ميلادالنبي	meladaalnabi
جي	je
موقعي	moqe
تي	te
جھنڊا	jhinada
لڳائڻ	lagainr
جي	je
اصل	asal
بہ	b
ثابت	saabitu
ٿي۔	thi-
</s>	</s>
اهڙيءَ	ahria
طرح	taraha
عبدالله	abdullah
الاشتر	alaashtr
علويءَ	aloea
جو	jo
سنڌ	Sindh
۾	men
خاتمو	khatmo
ٿيو.	thiyo.
</s>	</s>
ان	una
جو	jo
هڪ	hiku
روپ	roop
ڪارا	kaara
ڪڪر	kkar
آهن،	ahin,
جي	je
سورج	soorj
ديوتا،	deota,
چندرما	chandrma
ديوتا	deota
(چنڊ)	(chandu)
۽	aen
گرهن	grahan
۽	aen
تارن	tarn
کي	khe
ڍڪين	dhkeen
ٿا،	thaa,
ڄڻ	jaanu
ته	ta
اهڙي	ahre
ڪنهن	kanhin
بندي	bande
خاني	khanue
۾	men
کين	khen
بند	band
ڪن	kan
ٿا،	thaa,
جو	jo
ڪي	ke
ڏينهن	denhan
ساندهه	saandhh
اهي	uhe
ڏسڻ	disanu
۾	men
به	bi
ڪونه	kona
ٿا	thaa
اچن،	achan,
جنهنڪري	jahinkare
هاي	haae
ديوتائن	deotain
جا	jaa
دشمن	dushman
ڪوٺيا	kwatheea
ويا	wiya
آهن.	ahin.
</s>	</s>
حيدرآباد	Hyderabad
شھر	shhar
جا	jaa
سڀ	sabhu
کان	khan
وڏا	wadaa
تعليمي	taelimi
ادارا	adaara
ھن	hin
تعلقي	tailqe
۾	men
واقع	oaka
آھن	aahin
جن	jin
۾	men
بيڪن	bekan
ھائوس،	haiwas,
سٽي	ste
اسڪول	iskool
۽	aen
سينٽ	seentt
بوناوينچر	bonoenchr
اسڪول	iskool
شامل	shaamil
آھن.	aahin.
</s>	</s>
پٺتي	pthte
پيل	piyal
ملڪن	mulkan
۾	men
گهڻي	ghani
ڀاڱي	bhange
اهي	uhe
بيماريون	bimaareon
وڌيڪ	wadheeka
ڏسڻ	disanu
۾	men
اچن	achan
ٿيون،	thiyun,
جيڪي	jeke
گند،	gnd,
صفائي	sfaie
جي	je
نه	na
هئڻ	huwan
۽	aen
پيئڻ	pian
جي	je
صاف	saafu
پاڻي	paani
نه	na
ملڻ	milan
جي	je
صورت	soorata
۾	men
پکڙجن	pkhdrjin
ٿيون.	thiyun.
</s>	</s>
ڪرائون	karaion
سائيز	saaiz
واري	ware
هن	hin
ڪتاب	kitaab
۾	men
صفحا	sufhaa
59	59
آهن	ahin
۽	aen
قيمت	qeemat
6	6
-آنا-	aana
ڄاڻايل	jaanaayal
آهي.	ahe.
</s>	</s>
مولود	molod
عربيءَ	arbia
جو	jo
لفظ	lafuzu
اھي	uhe
جنھن	jahin
جي	je
معنيٰ اھي	mainauhe
”نئون	"naon
ڄاول	jawal
ٻار“،	baaru" ,
پر	para
سنڌي	sindhi
شاعريءَ	shaairia
۾	men
نبي	nabi
اڪرم	akarm
صلي	sle
لله	llh
عليھ	alih
والھ	oalh
وسلم	wasalam
جي	je
ولادت	olaadt
کي	khe
بنياد	bunyaad
بڻائي	bnraie
سندس	sandas
صفت	sft
شان	shuna
جي	je
بيان	bayaan
کي	khe
مولود	molod
چوندا	chawandaa
اھن.	ahina.
</s>	</s>
انگريزي	angrezi
ماڻهو	manhun
هن	hin
کي	khe
عربي	arbi
ياسمين	yaasmen
چوندا	chawandaa
آهن.	ahin.
</s>	</s>
ڪوهاٽ	kohaatt
جي	je
ويجهو	wejho
116	116
فوٽ	fotu
اوچو،	awicho,
2200	2200
فوٽ	fot
ڊگهو	dgho
بند	band
تعمير	taamir
ڪيو	kayo
ويو،	wayo,
جيڪو	jeko
ٽنڊا	tinda
ڊئم	dim
جي	je
نالي	naale
سان	saan
مشهور	mashuru
آهي.	ahe.
</s>	</s>
جيڪي	jeke
عورتون	auraton
پيٽ	petu
سان	saan
ھونديون	hondeon
آھن	aahin
انھن	unhan
کي	khe
بہ	b
اميد	umida
واري	ware
ماء ي	maau
ٿيندڙ	thindar
ماءُ ی	maau
بائلاجیڪل	bailaajikul
ماء	ma
پڻ	pinu
سڏيو	sadiyo
ويندوآهي.	windoahe.
</s>	</s>
پنهنجي	pahinje
ادب	adabu
کي	khe
مالا	maala
مال	maal
ڪيو	kayo
۽	aen
حالتن	haalatun
جي	je
تقاضا	tkaza
موجب	mojib
بنايو	binaaeo
آهي.	ahe.
</s>	</s>
ان	una
ڏس	disu
۾	men
تمام	tamam
گهڻي	ghani
ڪم	kam
ڪرڻ	karanu
جي	je
ضرورت	zaroorat
آهي.	ahe.
</s>	</s>
ان	una
کان	khan
پوءِ	poi
اها	uha
جاگير	jaager
شيرويه	sheroeh
سلطان	sultaan
کي	khe
ملي،	mile,
جو	jo
نشئي	nshie
هو.	ho.
</s>	</s>
سنڌ	Sindh
جي	je
فتح	fateh
متعلق	mtailq
ان	una
۾	men
ڪي	ke
ٿورا	thora
مختصر	mukhtasir
حوالا	hoalaa
ڏنل	dinal
آهن.	ahin.
</s>	</s>
خاصيت:	khaaset:
هن	hin
جي	je
دل	dil
ڪاري	kaari
ڪپڙي	kpdre
۾	men
ٻڌي	budhi
ڳچيءَ	gchea
۾	men
ٻڌئڻ	bdhinr
سان	saan
ٻيئڙ	biidr
۽	aen
ٽيئڙ	teidr
تپ	tp
کي	khe
خاص	khaas
طرح	taraha
فائدو	faido
ڪندي،	kande,
هن	hin
جو	jo
رت	ratu
اک	akh
جي	je
ڦلي،	phle,
کاڌ،	khadhu,
خارش	kharsh
۽	aen
نظر	nazara
جي	je
واڌاري	oadhaare
لاءِ	laai
ڪم	kam
اچي	ache
ٿو.	tho.
</s>	</s>
2014ع	2014
جي	je
رمضان	rmzuna
مهيني	mahine
۾	men
هن	hin
مسجد	masjid
۾	men
خيراتي	kherute
پيسئن	pesin
لاءِ	laai
دنيا	duniyaa
جو	jo
وڏي	wade
۾	men
وڏو	wado
ڪاٺ	khaathu
جو	jo
دٻو	dbo
رکيو	rakhiyo
ويو،	wayo,
جيڪو	jeko
گينز	genz
ورلڊ	orld
رڪارڊ	rkaard
هو.	ho.
</s>	</s>
هڪ	hiku
عام	aam
سادو	saado
ڪمپاس	kampaas
زمين	zamin
جي	je
هيٺ	heth
ان	una
ڪري	kare
ڪم	kam
ڪري	kare
ٿو	tho
جو	jo
ان	una
جو	jo
مقناطيسي	mknatese
ڪانٽو	kunatto
يا	yaa
سوئي،	swai,
اُتر	autr
۽	aen
ڏکڻ	dakhanu
قطبن	ktbin
مان	maan
نڪرندڙ	nkarnddr
مقناطيسي	mknatese
ميدان	medaan
سان	saan
لاڳاپي	laguape
۾	men
اچي	ache
وڃي	waji
ٿي.	thi.
</s>	</s>
اهي	uhe
ٻئي	biay
تارا	tara
اتر	utar
اڌ	adhu
گول	gol
واري	ware
ڌرتيءَ	dhartia
تي	te
روزانو	rozunao
نظر	nazara
اچن	achan
ٿا.	thaa.
</s>	</s>
هي	he
لس	ls
ٻيلي	bile
جي	je
ڄامن	jaamun
جي	je
خاندان	khandaan
مان	maan
هو.	ho.
</s>	</s>
شهر	shahr
خواهه	khwah
آسپاس	aaspaas
جا	jaa
ڀائيبند	bhaieband
هن	hin
مــَـنڊليءَ	mandlea
لاءِ	laai
دل	dil
کولي	khole
امداد	amdad
ڏيندا	dindaa
هئا.	huwa.
</s>	</s>
سونهين	sonuhen
عرض	arzu
ڪيو	kayo
ته	ta
ٿورو	thoro
ترسڻ	trsnr
گهرجي.	ghurje.
</s>	</s>
ھن	hin
خارجي	kharje
پاليسي	palese
۾	men
قدامت	kdamt
پسند	pasnad
رجحان	rjhuna
رکندي	rakhande
اوباما	obama
جي	je
سخت	sakht
مخالفت	mkhalft
ڪئي.	kai.
</s>	</s>
ڇا	chhaa
اڙدو،	adrdo,
ھندوستان	hinadostuna
۾	men
مسلمانن	musalman
جي	je
اوج	oj
وارن	waaran
ڏينھن	denhan
۾	men
مسلمانن	musalman
جي	je
زبان	zibaan
ھئي؟	hui?
</s>	</s>
2003ع	2003a
ڌاري	dhaare
-بدر-	bdaru
ابڙي	abdre
به	bi
-ان-	una
سلسلي	silsile
۾	men
ڪنهن	kanhin
هنڌ	handu
ڊائنو	daino
ٿيريم	thirem
جو	jo
سڄو	sajo
سارو	saaro
هڏائون	hdaion
پڃرو	pnjro
ڏٺو	ditho
آهي.	ahe.
</s>	</s>
سو	so
تون	tun
وڃ	waju
مون	mun
کي	khe
نانهن	nunhan
(عدم،	(adm,
ڪجهه	kujh
به	bi
نه)	na)
جي	je
ضرورت	zaroorat
آهي.	ahe.
</s>	</s>
بدل	bdil
صلح	slh
سزا	sazaa
ناھي	nuhe
بلڪ	balik
ٻنھي	binhi
ڌرين	dhren
جو	jo
راضپي	razpe
سان	saan
طئي	tie
ڪيل	kayal
معاوضو	maozo
آھي	aahe
تنھنڪري	tinhnikre
ان	una
۾	men
ديت	det
جا	jaa
مٿيان	mthiyaan
لازمي	laazme
شرط	shrt
لاڳو	laguo
ناھن	nahin
ٿيندا.	thindaa.
</s>	</s>
شروعات	shuruaat
۾	men
حيدرآباد	Hyderabad
جي	je
نو	no
ودياليه	odyaaleh
اسڪول	iskool
۾	men
ماستر	masatar
ٿيو.	thiyo.
</s>	</s>
انهن	unhan
موسمي	mosame
پکين	pkhen
کان	khan
سواءِ	sawai
ٻيا	biyaa
جهنگ	jhinag
جا	jaa
پکي	pakhi
هيٺين	hethen
نمونن	nmunn
سان	saan
شڪار	shikaar
ڪبا	kba
آهن:	ahin:
چاڙهڪو،	chadrhikuo,
ٻولي،	boli,
هُشڪر،	hushkar,
چُوڻِ	chuwanui
۽	aen
اُڏارو	audaro
وغيره.	wagaira.
</s>	</s>
سندس	sandas
فن	fanu
جي	je
مڃتا	mnjta
طور ادبي	torueesviabi
تنظيم	tinzem
”ڪاروانِ ادب	"kaarwaneeesviab
سنڌ“	sindh"
۽	aen
آءِ.	aai.
</s>	</s>
هن	hin
اداري	idaare
کي	khe
شروعات	shuruaat
۾	men
وزارت	wazarat
تعليم	taileem
جي	je
ماتحتيءَ	mathtea
۾	men
ڏنو	dino
ويو.	wayo.
</s>	</s>
صادق	saadiq
آئل	aail
اينڊ	aend
الائيڊ	alaaied
ملز	milz
جو	jo
افتتاح	afttah
وزيراعظم	waziruaezam
خواجه	khawajaa
ناظم	nazm
الدين	aldinu
ھٿان	hathuna
1952	1952
۾	men
ٿيو	thiyo
۽	aen
ان	una
سال	saala
پاڪستان	pakistan
۾	men
ڊالڊا	dalda
بناسپتي	binaaspte
گھ	gh
جي	je
شروعات	shuruaat
ڪئي	kai
وئي.	wai.
</s>	</s>
سياحت	syaaht
کاتي	khaate
جي	je
درخواست	darukhoasata
تي	te
لاڙڪاڻي	laarkaane
ايڪسپريس	aekspress
جو	jo
’موهن	'mohan
جو	jo
دڙو	ddro
ايڪسپريس‘	aekspress'
نالو	naalo
رکيو	rakhiyo
ويو.	wayo.
</s>	</s>
اي	ae
آنـڪ	aan-k
ترا	tra
نظام	nazaam
الــــــدين	Aldin
مــــــي	me
خوانـند،	Khawanand,
</s>	</s>
ھن	hin
مولود	molod
۽	aen
مداحون	mdahon
چيون	chayon
آھن.	aahin.
</s>	</s>
لڏپلاڻ	ldpalunu
جو	jo
سبب	sababu
ملڪي	mulkue
سماجي	samaji
ابتري	abtre
ھئي.	hui.
</s>	</s>
192	192
۾	main
جرمنيءَ	Germany
فرانس	France
تي	te
قبضو	qabzo
ڪيو	kayo
تہ	ta
کيس	khes
آزاد	aazad
ڪري	kare
جنوري	january
1943	1943
۾	main
روم	rom
موڪليو	moklyo
جتي	jite
ان	an
جو	jo
شاندار	shunadar
استقبال	asatakbal
ٿيو	thiyo
۽	aen
آزادي	aazaadi
جي	je
جدوجھد	jdojhd
۾	men
مدد	madad
جي	je
خاطري	khatire
ڪرائي	karaae
وئي.7	wai.7
اپريل	april
1943	1943
۾	men
تيونس	teons
موٽي	moti
آيو.1945	aayo.1945
۾	men
فرانس	frunas
کي	khe
تيونس	teons
جي	je
آزاديءَ	aazaadia
لاءِ	laai
ڳالھين	galhin
ٻولھين	bolhin
جي	je
آڇ	aachh
ڪيائين	kayain
۽	aen
فرانس	frunas
کان	khan
موٽ	mwati
نہ	n
ملڻ	milan
تي	te
لبيا	lbyaa
کان	khan
ٿي	thi
قاھرہ	kahar
پھتو	phto
جتي	jite
پنھنجي	pahinje
ھيڊ	hid
ڪوارٽر	kwaarttr
جو	jo
بنياد	bunyaad
وڌائين	wadhian
جنھن	jahin
جو	jo
نالو	naalo
مغرب	mgrb
آفيس	office
رکيائين.	rakheian.
</s>	</s>
مٿئين	mthiayn
مثال	misal
مان	maan
ئي	ie
پتو	pato
پئجي	paije
سگهندو	saghando
ته	ta
جاگرافيائي	jaagrafyaaie
وحدت	ohadat
جو	jo
دليل	dilel
ڪيتري	ketre
قدر	qadar
غلط	galat
۽	aen
بي	be
بنياد	bunyaad
آهي.	ahe.
</s>	</s>
مگر،	magar,
جڏهن	jadahin
محلات	mhlaat
۾	men
آيو،	aayo,
تڏهن	tadahin
ڌيءُ	dheu
کي	khe
سمجهايائين	smjhaaeian
ته	ta
اهو	uho
متصدي	mtsadi
ڏاڍو	daadho
ظالم	zalm
آهي.	ahe.
</s>	</s>
ڊي	di
ڪئي	kai
اٿس.	athas.
</s>	</s>
مسجدن	masjidn
جي	je
ڀرسان	bharsaan
مڪتب	mkutib
۽	aen
مدرسا	mdarusaa
هئا،	huwa,
جن	jin
۾	men
ديني	dinue
خواه	khoah
دنيوي	dneoe
علمن	ilimun
